Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d4,1,0.000738,11.390425,[56 14] ; [15 17],[48.7254902 21.2745098] ; [22.2745098  9.7254902],1
a8,1,0.775201,0.081555,[ 5 56] ; [ 3 27],[ 5.36263736 55.63736264] ; [ 2.63736264 27.36263736],0
d2,1,0.792534,0.06918,[32 38] ; [16 17],[32.62135922 37.37864078] ; [15.37864078 17.62135922],0
p11,1,0.81528,0.054579,[42 28] ; [19 14],[41.45631068 28.54368932] ; [19.54368932 13.45631068],0
s2,1,0.819221,0.052234,[26 42] ; [13 19],[26.52 41.48] ; [12.48 19.52],0
p1,1,0.824625,0.049107,[ 5 64] ; [ 2 31],[ 4.73529412 64.26470588] ; [ 2.26470588 30.73529412],0
a4,1,0.872102,0.025918,[23 47] ; [10 22],[22.64705882 47.35294118] ; [10.35294118 21.64705882],0
s7,1,0.884809,0.020989,[23 43] ; [10 20],[22.6875 43.3125] ; [10.3125 19.6875],0
p10,1,0.898658,0.01622,[21 49] ; [10 22],[21.2745098 48.7254902] ; [ 9.7254902 22.2745098],0
p5,1,0.961106,0.002378,[ 2 68] ; [ 1 32],[ 2.03883495 67.96116505] ; [ 0.96116505 32.03883495],0
a1,1,0.961106,0.002378,[ 2 68] ; [ 1 32],[ 2.03883495 67.96116505] ; [ 0.96116505 32.03883495],0
s8,1,0.977743,0.000778,[19 50] ; [ 9 24],[18.94117647 50.05882353] ; [ 9.05882353 23.94117647],0
b1,1,0.980298,0.00061,[38 32] ; [18 15],[38.05825243 31.94174757] ; [17.94174757 15.05825243],0
