Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,42.0,[15 65] ; [27  5],[30. 50.] ; [12. 20.],1
v2,1,0.062483,3.470215,[37 44] ; [22 12],[41.55652174 39.44347826] ; [17.44347826 16.55652174],0
a2,1,0.067378,3.345773,[19 65] ; [14 22],[23.1 60.9] ; [ 9.9 26.1],0
d3,1,0.070621,3.268526,[53 30] ; [29  7],[57.19327731 25.80672269] ; [24.80672269 11.19327731],0
p6,1,0.085547,2.956229,[12 71] ; [10 26],[15.34453782 67.65546218] ; [ 6.65546218 29.34453782],0
p12,1,0.106332,2.60791,[ 3 81] ; [ 4 32],[ 4.9 79.1] ; [ 2.1 33.9],0
b2,1,0.108666,2.573509,[18 29] ; [ 6 23],[14.84210526 32.15789474] ; [ 9.15789474 19.84210526],0
b3,1,0.108666,2.573509,[18 29] ; [ 6 23],[14.84210526 32.15789474] ; [ 9.15789474 19.84210526],0
u2,1,0.118574,2.436052,[13 14] ; [9 3],[15.23076923 11.76923077] ; [6.76923077 5.23076923],0
r1,1,0.125047,2.352941,[56 28] ; [29  7],[59.5 24.5] ; [25.5 10.5],0
v1,1,0.138886,2.190264,[27 56] ; [16 18],[30.5042735 52.4957265] ; [12.4957265 21.5042735],0
a4,1,0.14193,2.156911,[34 49] ; [20 16],[37.66386555 45.33613445] ; [16.33613445 19.66386555],0
a5,1,0.181151,1.788156,[55 29] ; [28  8],[58.1 25.9] ; [24.9 11.1],0
b5,1,0.204894,1.607143,[53 31] ; [27  9],[56. 28.] ; [24. 12.],0
b4,1,0.251293,1.316099,[49 35] ; [25 11],[51.8 32.2] ; [22.2 13.8],0
p5,1,0.290044,1.119419,[ 5 78] ; [ 4 30],[ 6.38461538 76.61538462] ; [ 2.61538462 31.38461538],0
a6,1,0.312627,1.019545,[57 26] ; [28  8],[59.28571429 23.71428571] ; [25.71428571 10.28571429],0
v3,1,0.339492,0.912348,[28 54] ; [14 18],[30.21052632 51.78947368] ; [11.78947368 20.21052632],0
p3,1,0.436005,0.606775,[24 59] ; [13 23],[25.80672269 57.19327731] ; [11.19327731 24.80672269],0
n2,1,0.469221,0.52381,[20 13] ; [8 3],[21. 12.] ; [7. 4.],0
b1,1,0.471063,0.519481,[36 48] ; [18 18],[37.8 46.2] ; [16.2 19.8],0
n1,1,0.641581,0.21668,[12 20] ; [5 6],[12.65116279 19.34883721] ; [4.34883721 6.65116279],0
p7,1,0.677246,0.173242,[26 57] ; [12 22],[26.95726496 56.04273504] ; [11.04273504 22.95726496],0
a1,1,0.690328,0.15873,[ 9 75] ; [ 3 33],[ 8.4 75.6] ; [ 3.6 32.4],0
u3,1,0.707852,0.140432,[14 13] ; [7 5],[14.53846154 12.46153846] ; [6.46153846 5.53846154],0
p8,1,0.719313,0.129152,[21 62] ; [ 8 28],[20.22689076 62.77310924] ; [ 8.77310924 27.22689076],0
s4,1,0.756494,0.096155,[14 68] ; [ 7 29],[14.59322034 67.40677966] ; [ 6.40677966 29.59322034],0
a3,1,0.759015,0.09411,[57 25] ; [24 12],[56.28813559 25.71186441] ; [24.71186441 11.28813559],0
n3,1,0.803075,0.062185,[19 13] ; [7 4],[19.34883721 12.65116279] ; [6.65116279 4.34883721],0
p1,1,0.835927,0.042893,[ 8 76] ; [ 3 33],[ 7.7 76.3] ; [ 3.3 32.7],0
a8,1,0.955683,0.003088,[10 70] ; [ 4 29],[ 9.91150442 70.08849558] ; [ 4.08849558 28.91150442],0
