Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.001542,10.027795,[ 5 29] ; [12 10],[10.32142857 23.67857143] ; [ 6.67857143 15.32142857],0
s7,1,0.616674,0.25057,[ 6 27] ; [ 5 16],[ 6.72222222 26.27777778] ; [ 4.27777778 16.72222222],0
p3,1,0.640263,0.218398,[ 6 28] ; [ 5 17],[ 6.67857143 27.32142857] ; [ 4.32142857 17.67857143],0
d2,1,0.659605,0.194004,[17 16] ; [10 12],[16.2 16.8] ; [10.8 11.2],0
b4,1,0.671649,0.179679,[22 12] ; [13  9],[21.25 12.75] ; [13.75  8.25],0
a2,1,0.752044,0.099822,[ 4 30] ; [ 2 20],[ 3.64285714 30.35714286] ; [ 2.35714286 19.64285714],0
a1,1,0.752044,0.099822,[ 4 30] ; [ 2 20],[ 3.64285714 30.35714286] ; [ 2.35714286 19.64285714],0
n4,1,0.756873,0.095846,[23 11] ; [14  8],[22.46428571 11.53571429] ; [14.53571429  7.46428571],0
n3,1,0.772059,0.083916,[9 7] ; [4 4],[8.66666667 7.33333333] ; [4.33333333 3.66666667],0
n1,1,0.789561,0.071225,[8 8] ; [4 5],[7.68 8.32] ; [4.32 4.68],0
p9,1,0.821339,0.050996,[15 17] ; [11 11],[15.40740741 16.59259259] ; [10.59259259 11.40740741],0
u1,1,0.828214,0.047086,[ 2 32] ; [ 1 21],[ 1.82142857 32.17857143] ; [ 1.17857143 20.82142857],0
d1,1,0.841411,0.040035,[13 21] ; [ 9 13],[13.35714286 20.64285714] ; [ 8.64285714 13.35714286],0
b1,1,0.921705,0.00966,[19 15] ; [12 10],[18.82142857 15.17857143] ; [12.17857143  9.82142857],0
