Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,31.528246,[14 18] ; [96 11],[25.32374101  6.67625899] ; [84.67625899 22.32374101],1
b3,1,0.458902,0.548571,[ 9 12] ; [39 36],[10.5 10.5] ; [37.5 37.5],0
b2,1,0.458902,0.548571,[ 9 12] ; [39 36],[10.5 10.5] ; [37.5 37.5],0
s3,1,0.493502,0.468881,[21 11] ; [63 44],[19.3381295 12.6618705] ; [64.6618705 42.3381295],0
s5,1,0.51831,0.417255,[11 19] ; [45 59],[12.53731343 17.46268657] ; [43.46268657 60.53731343],0
v4,1,0.519919,0.414055,[27  3] ; [100   7],[27.81021898  2.18978102] ; [99.18978102  7.81021898],0
a1,1,0.586339,0.296098,[ 3 29] ; [  7 100],[ 2.30215827 29.69784173] ; [ 7.69784173 99.30215827],0
p12,1,0.678169,0.172194,[ 2 28] ; [  5 100],[ 1.55555556 28.44444444] ; [ 5.44444444 99.55555556],0
n1,1,0.773753,0.082639,[9 7] ; [11  7],[9.41176471 6.58823529] ; [10.58823529  7.41176471],0
s4,1,0.800174,0.064071,[ 6 26] ; [18 89],[ 5.52517986 26.47482014] ; [18.47482014 88.52517986],0
n3,1,0.848846,0.036325,[12  4] ; [14  4],[12.23529412  3.76470588] ; [13.76470588  4.23529412],0
b5,1,0.889303,0.019373,[16 16] ; [55 52],[16.34532374 15.65467626] ; [54.65467626 52.34532374],0
b4,1,0.911766,0.012279,[18 14] ; [59 48],[17.72661871 14.27338129] ; [59.27338129 47.72661871],0
s2,1,0.939348,0.00579,[18 14] ; [61 46],[18.18705036 13.81294964] ; [60.81294964 46.18705036],0
