Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,4.9e-05,16.50274,[226  78] ; [30 32],[212.63387978  91.36612022] ; [43.36612022 18.63387978],1
p2,1,0.286277,1.137049,[257  48] ; [48 13],[254.16666667  50.83333333] ; [50.83333333 10.16666667],0
b4,1,0.29277,1.106841,[197 110] ; [36 27],[193.32702703 113.67297297] ; [39.67297297 23.32702703],0
d2,1,0.313222,1.017041,[127 177] ; [22 41],[123.42234332 180.57765668] ; [25.57765668 37.42234332],0
s3,1,0.318214,0.996272,[110 189] ; [27 35],[113.47091413 185.52908587] ; [23.52908587 38.47091413],0
u3,1,0.329547,0.950676,[63 59] ; [15  9],[65.17808219 56.82191781] ; [12.82191781 11.17808219],0
b3,1,0.334345,0.931996,[ 57 110] ; [ 9 26],[ 54.56435644 112.43564356] ; [11.43564356 23.56435644],0
b2,1,0.334345,0.931996,[ 57 110] ; [ 9 26],[ 54.56435644 112.43564356] ; [11.43564356 23.56435644],0
v4,1,0.405706,0.691348,[288  16] ; [58  5],[286.60490463  17.39509537] ; [59.39509537  3.60490463],0
n3,1,0.422151,0.644318,[49 17] ; [15  3],[50.28571429 15.71428571] ; [13.71428571  4.28571429],0
v2,1,0.467908,0.526913,[157 132] ; [29 30],[154.46551724 134.53448276] ; [31.53448276 27.46551724],0
u1,1,0.48182,0.49474,[ 39 268] ; [ 6 57],[ 37.33783784 269.66216216] ; [ 7.66216216 55.33783784],0
p5,1,0.485053,0.487481,[ 22 284] ; [ 3 60],[ 20.73170732 285.26829268] ; [ 4.26829268 58.73170732],0
p1,1,0.510644,0.432747,[ 27 277] ; [ 4 59],[ 25.67847411 278.32152589] ; [ 5.32152589 57.67847411],0
v1,1,0.52426,0.405505,[153 146] ; [28 32],[150.74930362 148.25069638] ; [30.25069638 29.74930362],0
p12,1,0.552367,0.353095,[ 21 284] ; [ 3 59],[ 19.94550409 285.05449591] ; [ 4.05449591 57.94550409],0
s2,1,0.635505,0.224669,[ 88 213] ; [20 42],[ 89.55371901 211.44628099] ; [18.44628099 43.55371901],0
a1,1,0.655098,0.199533,[ 11 296] ; [ 3 60],[ 11.61621622 295.38378378] ; [ 2.38378378 60.61621622],0
r3,1,0.666294,0.185968,[293  11] ; [60  3],[292.40326975  11.59673025] ; [60.59673025  2.40326975],0
u4,1,0.671832,0.179466,[  3 303] ; [ 1 62],[  3.31707317 302.68292683] ; [ 0.68292683 62.31707317],0
a3,1,0.771009,0.084713,[184 123] ; [39 24],[185.02972973 121.97027027] ; [37.97027027 25.02972973],0
s6,1,0.77611,0.080879,[152 145] ; [31 32],[150.975 146.025] ; [32.025 30.975],0
p6,1,0.806121,0.060238,[ 89 216] ; [16 42],[ 88.2231405 216.7768595] ; [16.7768595 41.2231405],0
a8,1,0.875226,0.024657,[ 32 250] ; [ 7 51],[ 32.34705882 249.65294118] ; [ 6.65294118 51.34705882],0
p7,1,0.923847,0.009137,[172 130] ; [34 25],[172.33240997 129.66759003] ; [33.66759003 25.33240997],0
