Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,3.8e-05,16.985123,[ 1 27] ; [14 12],[ 7.77777778 20.22222222] ; [ 7.22222222 18.77777778],1
p7,1,0.510941,0.432139,[ 7 21] ; [ 4 19],[ 6.03921569 21.96078431] ; [ 4.96078431 18.03921569],0
b2,1,0.511098,0.431818,[ 9 10] ; [ 7 12],[ 8. 11.] ; [ 8. 11.],0
b3,1,0.511098,0.431818,[ 9 10] ; [ 7 12],[ 8. 11.] ; [ 8. 11.],0
p2,1,0.512593,0.42877,[11 17] ; [ 8 18],[ 9.85185185 18.14814815] ; [ 9.14814815 16.85185185],0
n3,1,0.524116,0.405785,[9 9] ; [5 8],[8.12903226 9.87096774] ; [5.87096774 7.12903226],0
d2,1,0.538127,0.379022,[10 18] ; [11 14],[11.09433962 16.90566038] ; [ 9.90566038 15.09433962],0
a3,1,0.574536,0.315152,[14 12] ; [16 10],[15. 11.] ; [15. 11.],0
r4,1,0.609688,0.26063,[ 3 25] ; [ 4 22],[ 3.62962963 24.37037037] ; [ 3.37037037 22.62962963],0
s4,1,0.63417,0.226448,[ 5 23] ; [ 6 20],[ 5.7037037 22.2962963] ; [ 5.2962963 20.7037037],0
s6,1,0.636259,0.223669,[ 7 21] ; [ 8 18],[ 7.77777778 20.22222222] ; [ 7.22222222 18.77777778],0
v1,1,0.645258,0.211931,[ 8 20] ; [ 6 20],[ 7.25925926 20.74074074] ; [ 6.74074074 19.25925926],0
p8,1,0.690901,0.158111,[ 6 21] ; [ 7 19],[ 6.62264151 20.37735849] ; [ 6.37735849 19.62264151],0
p6,1,0.761303,0.092276,[ 5 22] ; [ 4 22],[ 4.58490566 22.41509434] ; [ 4.41509434 21.58490566],0
a1,1,0.807541,0.059341,[ 5 23] ; [ 4 22],[ 4.66666667 23.33333333] ; [ 4.33333333 21.66666667],0
n2,1,0.836697,0.042486,[11  8] ; [8 5],[11.28125  7.71875] ; [7.71875 5.28125],0
p11,1,0.859724,0.031232,[ 8 20] ; [ 8 18],[ 8.2962963 19.7037037] ; [ 7.7037037 18.2962963],0
s2,1,0.896694,0.016858,[ 5 23] ; [ 5 21],[ 5.18518519 22.81481481] ; [ 4.81481481 21.18518519],0
p9,1,0.910431,0.012655,[10 16] ; [10 15],[10.19607843 15.80392157] ; [ 9.80392157 15.19607843],0
p5,1,0.968689,0.001541,[ 2 25] ; [ 2 24],[ 2.03773585 24.96226415] ; [ 1.96226415 24.03773585],0
