Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,0.0,48.106113,[ 18 104] ; [126 114],[48.53038674 73.46961326] ; [ 95.46961326 144.53038674],1
v4,1,0.042444,4.117403,[108  13] ; [228  12],[112.62049861   8.37950139] ; [223.37950139  16.62049861],0
s5,1,0.04457,4.034833,[28 90] ; [ 80 154],[36.20454545 81.79545455] ; [ 71.79545455 162.20454545],0
b4,1,0.048567,3.890254,[80 42] ; [132 109],[71.25068871 50.74931129] ; [140.74931129 100.25068871],0
p7,1,0.071048,3.258652,[58 60] ; [141  97],[65.96067416 52.03932584] ; [133.03932584 104.96067416],0
p11,1,0.138845,2.190713,[86 36] ; [187  54],[91.75206612 30.24793388] ; [181.24793388  59.75206612],0
n3,1,0.141613,2.160344,[23 14] ; [53 17],[26.28037383 10.71962617] ; [49.71962617 20.28037383],0
p2,1,0.157839,1.994807,[89 32] ; [193  48],[94.25966851 26.74033149] ; [187.74033149  53.25966851],0
p6,1,0.169017,1.891636,[31 89] ; [ 79 161],[36.66666667 83.33333333] ; [ 73.33333333 166.66666667],0
r3,1,0.170881,1.875195,[107  13] ; [224  16],[110.33333333   9.66666667] ; [220.66666667  19.33333333],0
p12,1,0.173044,1.856371,[  5 116] ; [ 19 221],[  8.04432133 112.95567867] ; [ 15.95567867 224.04432133],0
p5,1,0.180703,1.791833,[  7 114] ; [ 24 217],[ 10.36187845 110.63812155] ; [ 20.63812155 220.36187845],0
a1,1,0.198123,1.656158,[  3 119] ; [ 13 228],[  5.37741047 116.62258953] ; [ 10.62258953 230.37741047],0
b5,1,0.223535,1.481532,[72 50] ; [126 115],[66.54545455 55.45454545] ; [131.45454545 109.54545455],0
n1,1,0.232415,1.426023,[10 27] ; [27 43],[12.79439252 24.20560748] ; [24.20560748 45.79439252],0
a7,1,0.284987,1.143152,[78 42] ; [170  71],[82.43767313 37.56232687] ; [165.56232687  75.43767313],0
s1,1,0.321729,0.981903,[  6 114] ; [  7 232],[  4.3454039 115.6545961] ; [  8.6545961 230.3454039],0
v3,1,0.33779,0.918803,[29 89] ; [ 70 168],[32.81460674 85.18539326] ; [ 66.18539326 171.81460674],0
s3,1,0.368939,0.807236,[57 62] ; [126 112],[61. 58.] ; [122. 116.],0
u2,1,0.391504,0.734266,[28 37] ; [28 27],[30.33333333 34.66666667] ; [25.66666667 29.33333333],0
p8,1,0.403748,0.697136,[52 70] ; [112 125],[55.73259053 66.26740947] ; [108.26740947 128.73259053],0
s2,1,0.439089,0.598663,[51 70] ; [111 128],[54.45 66.55] ; [107.55 131.45],0
a8,1,0.515597,0.422692,[15 98] ; [ 24 197],[13.19461078 99.80538922] ; [ 25.80538922 195.19461078],0
b1,1,0.601656,0.272506,[49 73] ; [ 90 151],[46.71625344 75.28374656] ; [ 92.28374656 148.71625344],0
p1,1,0.677438,0.173024,[ 11 109] ; [ 19 222],[  9.97229917 110.02770083] ; [ 20.02770083 220.97229917],0
s4,1,0.71979,0.128694,[22 97] ; [ 48 191],[23.26815642 95.73184358] ; [ 46.73184358 192.26815642],0
n2,1,0.76952,0.085851,[24 12] ; [50 22],[24.66666667 11.33333333] ; [49.33333333 22.66666667],0
u3,1,0.770977,0.084738,[29 36] ; [26 29],[29.79166667 35.20833333] ; [25.20833333 29.79166667],0
