Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,41.332894,[238 105] ; [ 92 127],[201.40569395 141.59430605] ; [128.59430605  90.40569395],1
b3,1,0.179477,1.801949,[ 99 134] ; [44 81],[ 93.0698324 139.9301676] ; [49.9301676 75.0698324],0
b2,1,0.179477,1.801949,[ 99 134] ; [44 81],[ 93.0698324 139.9301676] ; [49.9301676 75.0698324],0
s4,1,0.193607,1.689957,[ 53 295] ; [ 44 183],[ 58.70608696 289.29391304] ; [ 38.29391304 188.70608696],0
a1,1,0.231572,1.431179,[ 20 333] ; [  8 221],[ 16.98281787 336.01718213] ; [ 11.01718213 217.98281787],0
d2,1,0.28316,1.151861,[182 170] ; [107 120],[175.69602763 176.30397237] ; [113.30397237 113.69602763],0
n6,1,0.302326,1.063908,[323  28] ; [205  24],[319.53103448  31.46896552] ; [208.46896552  20.53103448],0
d3,1,0.317963,0.997309,[248 104] ; [151  76],[242.56994819 109.43005181] ; [156.43005181  70.56994819],0
a7,1,0.391415,0.734541,[253  99] ; [157  72],[248.39931153 103.60068847] ; [161.60068847  67.39931153],0
a2,1,0.489308,0.478048,[ 97 256] ; [ 57 172],[ 93.40549828 259.59450172] ; [ 60.59450172 168.40549828],0
b4,1,0.489937,0.476666,[206 147] ; [127 102],[201.9742268 151.0257732] ; [131.0257732  97.9742268],0
n4,1,0.490837,0.47469,[314  38] ; [200  29],[311.40791738  40.59208262] ; [202.59208262  26.40791738],0
a8,1,0.565631,0.330047,[ 52 265] ; [ 31 182],[ 49.64339623 267.35660377] ; [ 33.35660377 179.64339623],0
r3,1,0.567954,0.326118,[337  15] ; [215  12],[335.58549223  16.41450777] ; [216.41450777  10.58549223],0
s7,1,0.619274,0.24689,[187 148] ; [117 101],[184.15913201 150.84086799] ; [119.84086799  98.15913201],0
p1,1,0.626496,0.236842,[ 35 317] ; [ 20 209],[ 33.32185886 318.67814114] ; [ 21.67814114 207.32185886],0
a6,1,0.676406,0.174199,[239 112] ; [159  69],[241.2746114 109.7253886] ; [156.7253886  71.2746114],0
n2,1,0.681838,0.168064,[46 12] ; [51 11],[46.88333333 11.11666667] ; [50.11666667 11.88333333],0
a4,1,0.740748,0.10947,[172 179] ; [109 120],[170.05344828 180.94655172] ; [110.94655172 118.05344828],0
n3,1,0.78084,0.077409,[41 16] ; [46 16],[41.67226891 15.32773109] ; [45.32773109 16.67226891],0
n1,1,0.802014,0.062871,[27 31] ; [27 34],[26.31932773 31.68067227] ; [27.68067227 33.31932773],0
s3,1,0.814806,0.054864,[202 146] ; [134  93],[203.35304348 144.64695652] ; [132.64695652  94.35304348],0
u2,1,0.891048,0.018763,[42 37] ; [38 32],[42.41610738 36.58389262] ; [37.58389262 32.41610738],0
b1,1,0.939124,0.005832,[133 220] ; [ 87 142],[133.43642612 219.56357388] ; [ 86.56357388 142.43642612],0
