Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.0,98.733772,[155   4] ; [81 87],[114.75229358  44.24770642] ; [121.24770642  46.75229358],1
b4,1,0.130643,2.284848,[103  57] ; [95 74],[96.29179331 63.70820669] ; [101.70820669  67.29179331],0
v4,1,0.136275,2.21952,[142  17] ; [138  27],[137.40740741  21.59259259] ; [142.59259259  22.40740741],0
p11,1,0.141909,2.157133,[109  51] ; [102  67],[102.61398176  57.38601824] ; [108.38601824  60.61398176],0
u4,1,0.157326,1.99974,[  4 156] ; [  1 168],[  2.43161094 157.56838906] ; [  2.56838906 166.43161094],0
p1,1,0.184928,1.757572,[  4 156] ; [  9 159],[  6.34146341 153.65853659] ; [  6.65853659 161.34146341],0
b5,1,0.188211,1.731566,[105  55] ; [99 70],[99.20972644 60.79027356] ; [104.79027356  64.20972644],0
p10,1,0.192253,1.700266,[108  51] ; [100  64],[102.39009288  56.60990712] ; [105.60990712  58.39009288],0
u2,1,0.207444,1.589175,[24 14] ; [38 37],[20.84955752 17.15044248] ; [41.15044248 33.84955752],0
s3,1,0.268707,1.223337,[83 75] ; [77 89],[78.02469136 79.97530864] ; [81.97530864 84.02469136],0
a8,1,0.287186,1.132766,[ 15 130] ; [ 23 137],[ 18.06557377 126.93442623] ; [ 19.93442623 140.06557377],0
s4,1,0.290205,1.118668,[ 23 135] ; [ 32 137],[ 26.57492355 131.42507645] ; [ 28.42507645 140.57492355],0
u3,1,0.295649,1.093718,[23 16] ; [37 39],[20.34782609 18.65217391] ; [39.65217391 36.34782609],0
s5,1,0.300645,1.071329,[ 40 113] ; [ 35 130],[ 36.08490566 116.91509434] ; [ 38.91509434 126.08490566],0
a1,1,0.39496,0.723616,[  7 153] ; [ 11 158],[  8.75379939 151.24620061] ; [  9.24620061 159.75379939],0
s1,1,0.434846,0.609844,[  5 153] ; [  8 156],[  6.37888199 151.62111801] ; [  6.62111801 157.37888199],0
n5,1,0.519158,0.415566,[106  53] ; [105  61],[103.22769231  55.77230769] ; [107.77230769  58.22769231],0
p6,1,0.566988,0.327749,[ 29 128] ; [ 27 141],[ 27.05230769 129.94769231] ; [ 28.94769231 139.05230769],0
n1,1,0.571359,0.320413,[20 42] ; [23 39],[21.5 40.5] ; [21.5 40.5],0
v1,1,0.573073,0.317567,[58 99] ; [66 99],[60.45962733 96.54037267] ; [ 63.54037267 101.45962733],0
n3,1,0.575282,0.313924,[38 24] ; [41 21],[39.5 22.5] ; [39.5 22.5],0
b3,1,0.594157,0.283899,[37 63] ; [31 62],[35.23316062 64.76683938] ; [32.76683938 60.23316062],0
b2,1,0.594157,0.283899,[37 63] ; [31 62],[35.23316062 64.76683938] ; [32.76683938 60.23316062],0
p5,1,0.673093,0.178005,[  5 154] ; [  4 164],[  4.37614679 154.62385321] ; [  4.62385321 163.37614679],0
b1,1,0.749901,0.101614,[ 56 104] ; [ 62 107],[ 57.38601824 102.61398176] ; [ 60.61398176 108.38601824],0
p2,1,0.788286,0.072112,[102  57] ; [106  63],[100.82926829  58.17073171] ; [107.17073171  61.82926829],0
p7,1,0.877818,0.023635,[ 52 104] ; [ 56 108],[ 52.65 103.35] ; [ 55.35 108.65],0
p12,1,0.916138,0.011088,[  7 152] ; [  7 161],[  6.80733945 152.19266055] ; [  7.19266055 160.80733945],0
