Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,8e-05,15.550042,[202  31] ; [69 32],[189.0508982  43.9491018] ; [81.9491018 19.0508982],1
a4,1,0.59352,0.284881,[114 122] ; [53 50],[116.25958702 119.74041298] ; [50.74041298 52.25958702],0
n3,1,0.625605,0.238068,[36 18] ; [14  9],[35.06493506 18.93506494] ; [14.93506494  8.06493506],0
r1,1,0.641184,0.217197,[200  34] ; [86 17],[198.58753709  35.41246291] ; [87.41246291 15.58753709],0
a1,1,0.742855,0.107633,[ 16 220] ; [ 6 97],[ 15.31563422 220.68436578] ; [ 6.68436578 96.31563422],0
a6,1,0.765459,0.088994,[156  79] ; [66 36],[154.80712166  80.19287834] ; [67.19287834 34.80712166],0
u1,1,0.779356,0.078489,[ 56 180] ; [23 80],[ 54.99705015 181.00294985] ; [24.00294985 78.99705015],0
b1,1,0.823258,0.049888,[ 97 139] ; [41 62],[ 96.07079646 139.92920354] ; [41.92920354 61.07079646],0
d1,1,0.860947,0.030684,[149  87] ; [64 39],[148.28318584  87.71681416] ; [64.71681416 38.28318584],0
p1,1,0.877783,0.023648,[ 24 210] ; [10 93],[ 23.60830861 210.39169139] ; [10.39169139 92.60830861],0
n2,1,0.929935,0.007731,[41 13] ; [18  6],[40.84615385 13.15384615] ; [18.15384615  5.84615385],0
n4,1,0.93177,0.007331,[203  31] ; [89 14],[202.7537092  31.2462908] ; [89.2462908 13.7537092],0
p2,1,0.959813,0.002539,[199  36] ; [87 16],[198.84615385  36.15384615] ; [87.15384615 15.84615385],0
r3,1,0.962196,0.002247,[227   9] ; [98  4],[226.92307692   9.07692308] ; [98.07692308  3.92307692],0
r2,1,0.971986,0.001233,[223   9] ; [97  4],[222.94294294   9.05705706] ; [97.05705706  3.94294294],0
a8,1,0.999194,1e-06,[ 44 169] ; [19 73],[ 43.99672131 169.00327869] ; [19.00327869 72.99672131],0
