Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,2.5e-05,17.758234,[197  58] ; [17 21],[186.24573379  68.75426621] ; [27.75426621 10.24573379],1
a3,1,0.36888,0.807433,[205  57] ; [28 11],[202.81063123  59.18936877] ; [30.18936877  8.81063123],0
p2,1,0.382325,0.763212,[235  28] ; [33  6],[233.39072848  29.60927152] ; [34.60927152  4.39072848],0
p10,1,0.387224,0.747641,[234  28] ; [33  6],[232.40531561  29.59468439] ; [34.59468439  4.40531561],0
u2,1,0.409608,0.679937,[33 23] ; [5 6],[31.76119403 24.23880597] ; [6.23880597 4.76119403],0
s4,1,0.476293,0.50734,[ 63 197] ; [ 7 30],[ 61.27946128 198.72053872] ; [ 8.72053872 28.27946128],0
s1,1,0.563379,0.333887,[ 12 250] ; [ 1 38],[ 11.31561462 250.68438538] ; [ 1.68438538 37.31561462],0
a5,1,0.564638,0.331736,[200  63] ; [28 11],[198.55629139  64.44370861] ; [29.44370861  9.55629139],0
v2,1,0.576303,0.312249,[154  98] ; [22 17],[152.41237113  99.58762887] ; [23.58762887 15.41237113],0
v1,1,0.581037,0.304562,[151 107] ; [21 18],[149.41414141 108.58585859] ; [22.58585859 16.41414141],0
a6,1,0.607856,0.263309,[176  84] ; [28 11],[177.39130435  82.60869565] ; [26.60869565 12.39130435],0
p8,1,0.637625,0.221861,[172  91] ; [27 12],[173.3013245  89.6986755] ; [25.6986755 13.3013245],0
n5,1,0.650807,0.204884,[214  47] ; [30  8],[212.98996656  48.01003344] ; [31.01003344  6.98996656],0
a2,1,0.674122,0.176818,[ 76 187] ; [10 29],[ 74.89403974 188.10596026] ; [11.10596026 27.89403974],0
a8,1,0.708716,0.139563,[ 48 201] ; [ 6 30],[ 47.17894737 201.82105263] ; [ 6.82105263 29.17894737],0
u3,1,0.787573,0.07261,[33 23] ; [6 5],[32.59701493 23.40298507] ; [6.40298507 4.59701493],0
b3,1,0.801183,0.063412,[ 68 102] ; [ 9 12],[ 68.53403141 101.46596859] ; [ 8.46596859 12.53403141],0
b2,1,0.801183,0.063412,[ 68 102] ; [ 9 12],[ 68.53403141 101.46596859] ; [ 8.46596859 12.53403141],0
p3,1,0.802629,0.062473,[160 102] ; [23 16],[159.28903654 102.71096346] ; [23.71096346 15.28903654],0
u1,1,0.869325,0.027066,[ 57 206] ; [ 8 31],[ 56.60596026 206.39403974] ; [ 8.39403974 30.60596026],0
a1,1,0.94975,0.003972,[ 21 242] ; [ 3 36],[ 20.90066225 242.09933775] ; [ 3.09933775 35.90066225],0
v4,1,0.966001,0.001817,[254   7] ; [38  1],[254.04   6.96] ; [37.96  1.04],0
d3,1,0.98739,0.00025,[192  69] ; [28 10],[192.04013378  68.95986622] ; [27.95986622 10.04013378],0
a7,1,0.993895,5.9e-05,[186  76] ; [27 11],[186.02  75.98] ; [26.98 11.02],0
