Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,2e-06,23.012446,[15 55] ; [17  5],[24.34782609 45.65217391] ; [ 7.65217391 14.34782609],1
a4,1,0.308749,1.036021,[24 46] ; [ 5 17],[22.06521739 47.93478261] ; [ 6.93478261 15.06521739],0
d2,1,0.332282,0.939984,[30 39] ; [ 7 15],[28.05494505 40.94505495] ; [ 8.94505495 13.05494505],0
u1,1,0.376657,0.781585,[ 3 68] ; [ 2 20],[ 3.8172043 67.1827957] ; [ 1.1827957 20.8172043],0
n2,1,0.43437,0.611111,[17 19] ; [5 3],[18. 18.] ; [4. 4.],0
a1,1,0.437366,0.603183,[ 7 64] ; [ 1 21],[ 6.10752688 64.89247312] ; [ 1.89247312 20.10752688],0
r1,1,0.455877,0.555999,[22 49] ; [ 5 17],[20.61290323 50.38709677] ; [ 6.38709677 15.61290323],0
n5,1,0.470607,0.520551,[44 26] ; [15  6],[45.38461538 24.61538462] ; [13.61538462  7.38461538],0
v2,1,0.542885,0.370218,[20 48] ; [ 5 17],[18.88888889 49.11111111] ; [ 6.11111111 15.88888889],0
a8,1,0.55704,0.344856,[ 4 61] ; [ 2 18],[ 4.58823529 60.41176471] ; [ 1.41176471 18.58823529],0
u3,1,0.588809,0.292208,[10 25] ; [2 8],[ 9.33333333 25.66666667] ; [2.66666667 7.33333333],0
v3,1,0.594243,0.283766,[13 57] ; [ 3 19],[12.17391304 57.82608696] ; [ 3.82608696 18.17391304],0
b4,1,0.623399,0.241119,[41 30] ; [14  8],[41.98924731 29.01075269] ; [13.01075269  8.98924731],0
d1,1,0.627768,0.235099,[25 46] ; [ 9 13],[25.95698925 45.04301075] ; [ 8.04301075 13.95698925],0
n1,1,0.647141,0.209524,[12 24] ; [2 6],[11.45454545 24.54545455] ; [2.54545455 5.45454545],0
b1,1,0.685328,0.164189,[32 39] ; [11 11],[32.82795699 38.17204301] ; [10.17204301 11.82795699],0
a7,1,0.709872,0.138405,[35 35] ; [12 10],[35.76086957 34.23913043] ; [11.23913043 10.76086957],0
v4,1,0.748368,0.102907,[40 29] ; [13  8],[40.63333333 28.36666667] ; [12.36666667  8.63333333],0
u2,1,0.777008,0.080214,[14 20] ; [4 7],[13.6 20.4] ; [4.4 6.6],0
s1,1,0.843238,0.039106,[ 4 67] ; [ 1 21],[ 3.8172043 67.1827957] ; [ 1.1827957 20.8172043],0
b5,1,0.86245,0.030018,[37 34] ; [11 11],[36.64516129 34.35483871] ; [11.35483871 10.64516129],0
s5,1,0.869262,0.027092,[10 60] ; [ 3 16],[10.2247191 59.7752809] ; [ 2.7752809 16.2247191],0
a3,1,0.906921,0.013671,[36 34] ; [11 11],[35.76086957 34.23913043] ; [11.23913043 10.76086957],0
a2,1,0.915191,0.011341,[ 7 64] ; [ 2 20],[ 6.87096774 64.12903226] ; [ 2.12903226 19.87096774],0
r2,1,0.972539,0.001185,[38 29] ; [12  9],[38.06818182 28.93181818] ; [11.93181818  9.06818182],0
s4,1,0.98498,0.000354,[16 55] ; [ 5 17],[16.03225806 54.96774194] ; [ 4.96774194 17.03225806],0
