Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,81.505665,[350  91] ; [ 74 102],[303.0534846 137.9465154] ; [120.9465154  55.0534846],1
n5,1,0.528674,0.39694,[330 109] ; [135  39],[333.00978793 105.99021207] ; [131.99021207  42.00978793],0
v3,1,0.532428,0.389756,[179 244] ; [ 68 104],[175.59831933 247.40168067] ; [ 71.40168067 100.59831933],0
u4,1,0.541261,0.373207,[  9 434] ; [  5 171],[ 10.01938611 432.98061389] ; [  3.98061389 172.01938611],0
s2,1,0.545676,0.36512,[202 236] ; [76 99],[198.63621533 239.36378467] ; [79.36378467 95.63621533],0
n1,1,0.616062,0.251441,[28 54] ; [17 27],[29.28571429 52.71428571] ; [15.71428571 28.28571429],0
v1,1,0.664165,0.188504,[240 186] ; [93 78],[237.61809045 188.38190955] ; [95.38190955 75.61809045],0
n3,1,0.809499,0.058116,[62 21] ; [32 12],[61.43307087 21.56692913] ; [32.56692913 11.43307087],0
a1,1,0.845348,0.038047,[ 21 422] ; [  9 167],[ 21.47011309 421.52988691] ; [  8.52988691 167.47011309],0
s1,1,0.871811,0.026037,[ 11 425] ; [  4 170],[ 10.72131148 425.27868852] ; [  4.27868852 169.72131148],0
n2,1,0.89664,0.016876,[61 21] ; [33 12],[60.69291339 21.30708661] ; [33.30708661 11.69291339],0
s3,1,0.902841,0.014902,[227 205] ; [91 84],[226.31960461 205.68039539] ; [91.68039539 83.31960461],0
p5,1,0.918208,0.010545,[ 57 382] ; [ 23 150],[ 57.38562092 381.61437908] ; [ 22.61437908 150.38562092],0
d2,1,0.931968,0.007288,[210 231] ; [84 91],[210.47727273 230.52272727] ; [83.52272727 91.47727273],0
a3,1,0.974463,0.001025,[317 125] ; [126  50],[316.8381877 125.1618123] ; [126.1618123  49.8381877],0
s7,1,0.975877,0.000914,[193 226] ; [79 92],[193.16610169 225.83389831] ; [78.83389831 92.16610169],0
a4,1,0.980454,0.0006,[194 248] ; [77 98],[194.13614263 247.86385737] ; [76.86385737 98.13614263],0
p6,1,0.981496,0.000538,[153 284] ; [ 59 110],[152.87788779 284.12211221] ; [ 59.12211221 109.87788779],0
