Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.000107,15.005448,[91 12] ; [6 7],[86.12931034 16.87068966] ; [10.87068966  2.12931034],1
a4,1,0.474911,0.510526,[25 78] ; [ 2 11],[23.97413793 79.02586207] ; [3.02586207 9.97413793],0
s6,1,0.575972,0.312792,[60 38] ; [9 4],[60.91891892 37.08108108] ; [8.08108108 4.91891892],0
p3,1,0.600295,0.274551,[39 63] ; [4 9],[38.13913043 63.86086957] ; [4.86086957 8.13913043],0
d1,1,0.611229,0.258389,[40 63] ; [6 7],[40.84482759 62.15517241] ; [5.15517241 7.84482759],0
a6,1,0.622079,0.242956,[55 48] ; [6 7],[54.1637931 48.8362069] ; [6.8362069 6.1637931],0
s8,1,0.66507,0.187424,[38 65] ; [4 9],[37.29310345 65.70689655] ; [4.70689655 8.29310345],0
p12,1,0.68382,0.165858,[ 5 95] ; [ 1 12],[ 5.30973451 94.69026549] ; [ 0.69026549 12.30973451],0
n2,1,0.729034,0.12,[17  8] ; [3 2],[16.66666667  8.33333333] ; [3.33333333 1.66666667],0
s2,1,0.748158,0.103086,[44 58] ; [5 8],[43.46086957 58.53913043] ; [5.53913043 7.46086957],0
b5,1,0.76183,0.091857,[60 43] ; [7 6],[59.49137931 43.50862069] ; [7.50862069 5.49137931],0
p5,1,0.790136,0.070827,[13 89] ; [ 2 11],[13.30434783 88.69565217] ; [ 1.69565217 11.30434783],0
p10,1,0.791074,0.070181,[72 27] ; [9 4],[71.59821429 27.40178571] ; [9.40178571 3.59821429],0
p8,1,0.8291,0.046594,[43 57] ; [6 7],[43.36283186 56.63716814] ; [5.63716814 7.36283186],0
d3,1,0.857541,0.032222,[66 37] ; [8 5],[65.70689655 37.29310345] ; [8.29310345 4.70689655],0
n3,1,0.880212,0.022711,[20  6] ; [4 1],[20.12903226  5.87096774] ; [3.87096774 1.12903226],0
p11,1,0.887135,0.020144,[81 22] ; [10  3],[80.80172414 22.19827586] ; [10.19827586  2.80172414],0
d4,1,0.909738,0.012852,[77 25] ; [10  3],[77.16521739 24.83478261] ; [9.83478261 3.16521739],0
p4,1,0.925761,0.008682,[48 53] ; [6 7],[47.84210526 53.15789474] ; [6.15789474 6.84210526],0
p6,1,0.960642,0.002435,[37 61] ; [5 8],[37.08108108 60.91891892] ; [4.91891892 8.08108108],0
b4,1,0.966631,0.00175,[64 39] ; [8 5],[63.93103448 39.06896552] ; [8.06896552 4.93103448],0
a3,1,0.971557,0.001271,[56 47] ; [7 6],[55.93965517 47.06034483] ; [7.06034483 5.93965517],0
