Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,2e-06,22.246937,[26  6] ; [ 9 28],[16.23188406 15.76811594] ; [18.76811594 18.23188406],1
n3,1,0.780914,0.077355,[6 5] ; [9 6],[6.34615385 4.65384615] ; [8.65384615 6.34615385],0
s4,1,0.812992,0.055964,[13 19] ; [14 23],[12.52173913 19.47826087] ; [14.47826087 22.52173913],0
n2,1,0.824016,0.049454,[8 3] ; [11  5],[7.74074074 3.25925926] ; [11.25925926  4.74074074],0
a6,1,0.826085,0.04828,[19 13] ; [21 16],[18.55072464 13.44927536] ; [21.44927536 15.55072464],0
s7,1,0.847343,0.03706,[13 16] ; [17 19],[13.38461538 15.61538462] ; [16.61538462 19.38461538],0
s3,1,0.854567,0.033597,[22 10] ; [24 12],[21.64705882 10.35294118] ; [24.35294118 11.64705882],0
u1,1,0.900791,0.015541,[ 4 28] ; [ 5 32],[ 4.17391304 27.82608696] ; [ 4.82608696 32.17391304],0
r2,1,0.903312,0.014757,[30  2] ; [34  2],[30.11764706  1.88235294] ; [33.88235294  2.11764706],0
a3,1,0.906357,0.013838,[20 12] ; [22 14],[19.76470588 12.23529412] ; [22.23529412 13.76470588],0
v2,1,0.906995,0.013649,[16 16] ; [18 17],[16.23880597 15.76119403] ; [17.76119403 17.23880597],0
d2,1,0.966223,0.001793,[14 18] ; [16 21],[13.91304348 18.08695652] ; [16.08695652 20.91304348],0
