Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,109.021563,[ 6 45] ; [135  16],[35.5990099 15.4009901] ; [105.4009901  45.5990099],1
a4,1,0.186327,1.746424,[21 31] ; [79 76],[25.12077295 26.87922705] ; [74.87922705 80.12077295],0
a6,1,0.192316,1.699788,[35 17] ; [117  36],[38.55609756 13.44390244] ; [113.44390244  39.55609756],0
p5,1,0.199858,1.643409,[15 37] ; [ 31 122],[11.66829268 40.33170732] ; [ 34.33170732 118.66829268],0
d4,1,0.239222,1.385175,[43  9] ; [137  17],[45.4368932  6.5631068] ; [134.5631068  19.4368932],0
r4,1,0.251954,1.312439,[47  5] ; [147   8],[48.73429952  3.26570048] ; [145.26570048   9.73429952],0
u3,1,0.278587,1.173971,[7 6] ; [24 10],[8.57446809 4.42553191] ; [22.42553191 11.57446809],0
d3,1,0.339746,0.911389,[39 13] ; [125  29],[41.39805825 10.60194175] ; [122.60194175  31.39805825],0
p2,1,0.37509,0.786732,[43  9] ; [134  19],[44.89756098  7.10243902] ; [132.10243902  20.89756098],0
n3,1,0.394234,0.725844,[11  5] ; [24  6],[12.17391304  3.82608696] ; [22.82608696  7.17391304],0
v3,1,0.455084,0.557959,[21 31] ; [70 81],[23.31034483 28.68965517] ; [67.68965517 83.31034483],0
u1,1,0.464138,0.535897,[13 39] ; [ 47 108],[15.07246377 36.92753623] ; [ 44.92753623 110.07246377],0
p7,1,0.530492,0.39345,[35 17] ; [105  41],[36.76767677 15.23232323] ; [103.23232323  42.76767677],0
n4,1,0.53894,0.377508,[38 14] ; [119  35],[39.63106796 12.36893204] ; [117.36893204  36.63106796],0
a5,1,0.547218,0.362325,[41 11] ; [128  27],[42.45410628  9.54589372] ; [126.54589372  28.45410628],0
a3,1,0.592867,0.285889,[39 13] ; [121  33],[40.38834951 11.61165049] ; [119.61165049  34.38834951],0
b1,1,0.631593,0.229907,[19 33] ; [ 51 104],[17.58454106 34.41545894] ; [ 52.41545894 102.58454106],0
b4,1,0.646203,0.210721,[30 22] ; [95 60],[31.40096618 20.59903382] ; [93.59903382 61.40096618],0
p11,1,0.648057,0.208359,[39 13] ; [121  34],[40.19323671 11.80676329] ; [119.80676329  35.19323671],0
p8,1,0.668822,0.182983,[29 22] ; [91 60],[30.2970297 20.7029703] ; [89.7029703 61.2970297],0
n1,1,0.673214,0.177866,[8 7] ; [14 16],[7.33333333 7.66666667] ; [14.66666667 15.33333333],0
p1,1,0.675722,0.174981,[ 6 46] ; [ 21 131],[ 6.88235294 45.11764706] ; [ 20.11764706 131.88235294],0
r1,1,0.68647,0.162934,[45  7] ; [128  24],[44.09803922  7.90196078] ; [128.90196078  23.09803922],0
v2,1,0.696244,0.152409,[31 21] ; [94 56],[32.17821782 19.82178218] ; [92.82178218 57.17821782],0
p3,1,0.704927,0.143397,[28 24] ; [87 66],[29.17073171 22.82926829] ; [85.82926829 67.17073171],0
b2,1,0.722699,0.125921,[14 19] ; [35 55],[13.14634146 19.85365854] ; [35.85365854 54.14634146],0
b3,1,0.722699,0.125921,[14 19] ; [35 55],[13.14634146 19.85365854] ; [35.85365854 54.14634146],0
p12,1,0.753969,0.098226,[ 8 44] ; [ 21 133],[ 7.32038835 44.67961165] ; [ 21.67961165 132.32038835],0
d2,1,0.775501,0.081332,[26 26] ; [80 73],[26.88780488 25.11219512] ; [79.11219512 73.88780488],0
u2,1,0.88668,0.020308,[7 6] ; [17 16],[6.7826087 6.2173913] ; [17.2173913 15.7826087],0
d5,1,0.972566,0.001183,[44  8] ; [130  24],[43.9223301  8.0776699] ; [130.0776699  23.9223301],0
