Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,0.00371,8.420328,[12 47] ; [13 12],[17.55952381 41.44047619] ; [ 7.44047619 17.55952381],0
p6,1,0.782199,0.076427,[18 40] ; [ 7 18],[17.46987952 40.53012048] ; [ 7.53012048 17.46987952],0
a7,1,0.783798,0.07528,[30 29] ; [13 11],[30.56626506 28.43373494] ; [12.43373494 11.56626506],0
n1,1,0.824899,0.048951,[ 6 16] ; [4 9],[ 6.28571429 15.71428571] ; [3.71428571 9.28571429],0
u3,1,0.850436,0.035556,[11 19] ; [4 6],[11.25 18.75] ; [3.75 6.25],0
n5,1,0.865796,0.028561,[35 23] ; [14 10],[34.65853659 23.34146341] ; [14.34146341  9.65853659],0
a1,1,0.890415,0.018983,[ 2 57] ; [ 1 24],[ 2.10714286 56.89285714] ; [ 0.89285714 24.10714286],0
p4,1,0.923028,0.009335,[29 30] ; [12 13],[28.79761905 30.20238095] ; [12.20238095 12.79761905],0
s6,1,0.944184,0.004902,[30 29] ; [12 12],[29.85542169 29.14457831] ; [12.14457831 11.85542169],0
b5,1,0.953845,0.00335,[35 24] ; [15 10],[35.11904762 23.88095238] ; [14.88095238 10.11904762],0
a8,1,0.963607,0.002082,[ 3 54] ; [ 1 19],[ 2.96103896 54.03896104] ; [ 1.03896104 18.96103896],0
a6,1,0.963703,0.002071,[28 31] ; [12 13],[28.0952381 30.9047619] ; [11.9047619 13.0952381],0
s8,1,0.974337,0.001035,[17 42] ; [ 7 17],[17.06024096 41.93975904] ; [ 6.93975904 17.06024096],0
