Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,1.8e-05,18.355927,[101  34] ; [19 28],[89.01098901 45.98901099] ; [30.98901099 16.01098901],1
n3,1,0.268948,1.222104,[22  4] ; [12  5],[20.55813953  5.44186047] ; [13.44186047  3.55813953],0
s8,1,0.269202,1.220809,[40 95] ; [10 37],[37.08791209 97.91208791] ; [12.91208791 34.08791209],0
v3,1,0.302079,1.064993,[45 86] ; [12 34],[42.18644068 88.81355932] ; [14.81355932 31.18644068],0
p6,1,0.375504,0.785371,[40 95] ; [10 34],[37.70949721 97.29050279] ; [12.29050279 31.70949721],0
p3,1,0.423267,0.641227,[59 76] ; [17 29],[56.68508287 78.31491713] ; [19.31491713 26.68508287],0
b4,1,0.446383,0.57982,[86 49] ; [27 20],[83.81868132 51.18131868] ; [29.18131868 17.81868132],0
d2,1,0.463335,0.537825,[60 75] ; [18 29],[57.85714286 77.14285714] ; [20.14285714 26.85714286],0
u3,1,0.526966,0.400239,[29 27] ; [12  8],[30.21052632 25.78947368] ; [10.78947368  9.21052632],0
r1,1,0.570475,0.321889,[99 35] ; [32 14],[97.52222222 36.47777778] ; [33.47777778 12.52222222],0
p4,1,0.580397,0.305594,[68 67] ; [21 25],[66.38121547 68.61878453] ; [22.61878453 23.38121547],0
p1,1,0.612793,0.256127,[  6 127] ; [ 3 44],[  6.65 126.35] ; [ 2.35 44.65],0
n2,1,0.622358,0.242567,[19  6] ; [14  3],[19.64285714  5.35714286] ; [13.35714286  3.64285714],0
a5,1,0.680063,0.170055,[85 50] ; [28 19],[83.81868132 51.18131868] ; [29.18131868 17.81868132],0
p12,1,0.686806,0.162565,[ 11 123] ; [ 3 44],[ 10.36464088 123.63535912] ; [ 3.63535912 43.36464088],0
a8,1,0.702314,0.146076,[ 12 119] ; [ 5 40],[ 12.65340909 118.34659091] ; [ 4.34659091 40.65340909],0
n1,1,0.717146,0.131243,[ 8 17] ; [ 6 10],[ 8.53658537 16.46341463] ; [ 5.46341463 10.53658537],0
a3,1,0.730257,0.118876,[78 56] ; [26 21],[76.99447514 57.00552486] ; [27.00552486 19.99447514],0
d4,1,0.734722,0.11482,[106  29] ; [38  9],[106.81318681  28.18681319] ; [37.18681319  9.81318681],0
a4,1,0.763277,0.090709,[46 88] ; [15 32],[45.16022099 88.83977901] ; [15.83977901 31.16022099],0
b5,1,0.817438,0.053288,[83 52] ; [28 19],[82.33516484 52.66483516] ; [28.66483516 18.33516484],0
s2,1,0.827883,0.047271,[80 55] ; [27 20],[79.36813187 55.63186813] ; [27.63186813 19.36813187],0
a6,1,0.918496,0.010471,[93 42] ; [32 15],[92.71978022 42.28021978] ; [32.28021978 14.71978022],0
