Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,85.739732,[ 5 35] ; [129  19],[28.5106383 11.4893617] ; [105.4893617  42.5106383],1
p3,1,0.485154,0.487255,[13 27] ; [57 91],[14.89361702 25.10638298] ; [55.10638298 92.89361702],0
r2,1,0.535334,0.384257,[39  1] ; [141   7],[38.29787234  1.70212766] ; [141.70212766   6.29787234],0
d5,1,0.599064,0.27641,[28 12] ; [109  38],[29.30481283 10.69518717] ; [107.69518717  39.30481283],0
p7,1,0.637879,0.221527,[22 18] ; [84 58],[23.2967033 16.7032967] ; [82.7032967 59.2967033],0
a1,1,0.64509,0.212146,[ 1 39] ; [  6 142],[ 1.4893617 38.5106383] ; [  5.5106383 142.4893617],0
a4,1,0.651534,0.203972,[12 28] ; [50 98],[13.19148936 26.80851064] ; [48.80851064 99.19148936],0
n2,1,0.678752,0.171534,[11  4] ; [40 11],[11.59090909  3.40909091] ; [39.40909091 11.59090909],0
a3,1,0.704386,0.143949,[23 17] ; [90 58],[24.04255319 15.95744681] ; [88.95744681 59.04255319],0
n3,1,0.76865,0.086519,[11  5] ; [37 14],[11.46268657  4.53731343] ; [36.53731343 14.46268657],0
r1,1,0.772797,0.083358,[31  9] ; [117  30],[31.65775401  8.34224599] ; [116.34224599  30.65775401],0
u1,1,0.917893,0.010627,[ 4 36] ; [ 14 134],[ 3.82978723 36.17021277] ; [ 14.17021277 133.82978723],0
n1,1,0.95219,0.003595,[ 4 11] ; [14 37],[ 4.09090909 10.90909091] ; [13.90909091 37.09090909],0
d1,1,0.957628,0.002823,[19 21] ; [71 77],[19.14893617 20.85106383] ; [70.85106383 77.14893617],0
p4,1,0.990822,0.000132,[18 22] ; [66 81],[17.96791444 22.03208556] ; [66.03208556 80.96791444],0
u2,1,0.993848,5.9e-05,[10  7] ; [33 23],[10.01369863  6.98630137] ; [32.98630137 23.01369863],0
