Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.000153,14.331183,[ 4 23] ; [16  8],[10.58823529 16.41176471] ; [ 9.41176471 14.58823529],1
s5,1,0.290857,1.115649,[ 4 24] ; [ 6 17],[ 5.49019608 22.50980392] ; [ 4.50980392 18.49019608],0
r1,1,0.311723,1.023363,[ 9 19] ; [11 13],[10.76923077 17.23076923] ; [ 9.23076923 14.76923077],0
n4,1,0.322409,0.979147,[20  8] ; [14 10],[18.30769231  9.69230769] ; [15.69230769  8.30769231],0
a4,1,0.373934,0.790551,[ 7 20] ; [ 9 15],[ 8.47058824 18.52941176] ; [ 7.52941176 16.47058824],0
s1,1,0.377062,0.780258,[ 3 25] ; [ 1 23],[ 2.15384615 25.84615385] ; [ 1.84615385 22.15384615],0
b1,1,0.415801,0.662152,[16 12] ; [11 13],[14.53846154 13.46153846] ; [12.46153846 11.53846154],0
d2,1,0.488161,0.480577,[12 15] ; [13 11],[13.23529412 13.76470588] ; [11.76470588 12.23529412],0
s4,1,0.503008,0.448585,[ 4 24] ; [ 2 22],[ 3.23076923 24.76923077] ; [ 2.76923077 21.23076923],0
p4,1,0.508459,0.437237,[ 7 21] ; [ 8 16],[ 8.07692308 19.92307692] ; [ 6.92307692 17.07692308],0
p6,1,0.523569,0.406856,[ 3 24] ; [ 4 19],[ 3.78 23.22] ; [ 3.22 19.78],0
a7,1,0.54789,0.361111,[14 14] ; [10 14],[12.92307692 15.07692308] ; [11.07692308 12.92307692],0
a2,1,0.646329,0.21056,[ 2 26] ; [ 1 23],[ 1.61538462 26.38461538] ; [ 1.38461538 22.61538462],0
u2,1,0.656005,0.198413,[ 4 12] ; [3 6],[ 4.48 11.52] ; [2.52 6.48],0
s3,1,0.713975,0.134339,[11 16] ; [11 13],[11.64705882 15.35294118] ; [10.35294118 13.64705882],0
r2,1,0.749465,0.101981,[14 12] ; [14 10],[14.56 11.44] ; [13.44 10.56],0
p3,1,0.760576,0.092857,[ 6 22] ; [ 6 18],[ 6.46153846 21.53846154] ; [ 5.53846154 18.46153846],0
a5,1,0.764334,0.089877,[14 14] ; [13 11],[14.53846154 13.46153846] ; [12.46153846 11.53846154],0
v3,1,0.810501,0.057495,[ 4 23] ; [ 3 21],[ 3.70588235 23.29411765] ; [ 3.29411765 20.70588235],0
b3,1,0.820627,0.051411,[ 8 11] ; [6 7],[ 8.3125 10.6875] ; [5.6875 7.3125],0
b2,1,0.820627,0.051411,[ 8 11] ; [6 7],[ 8.3125 10.6875] ; [5.6875 7.3125],0
a6,1,0.829441,0.046405,[12 16] ; [11 13],[12.38461538 15.61538462] ; [10.61538462 13.38461538],0
p1,1,0.850814,0.035374,[ 4 24] ; [ 3 21],[ 3.76923077 24.23076923] ; [ 3.23076923 20.76923077],0
n1,1,0.878854,0.023232,[7 8] ; [4 4],[7.17391304 7.82608696] ; [3.82608696 4.17391304],0
p12,1,0.886974,0.020202,[ 1 27] ; [ 1 22],[ 1.09803922 26.90196078] ; [ 0.90196078 22.09803922],0
n5,1,0.893948,0.017772,[18 10] ; [15  9],[17.76923077 10.23076923] ; [15.23076923  8.76923077],0
n2,1,0.906855,0.01369,[6 9] ; [3 5],[5.86956522 9.13043478] ; [3.13043478 4.86956522],0
s2,1,0.958214,0.002745,[ 6 22] ; [ 5 19],[ 5.92307692 22.07692308] ; [ 5.07692308 18.92307692],0
