Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,35.100622,[112   4] ; [33 20],[99.52662722 16.47337278] ; [45.47337278  7.52662722],1
p5,1,0.145879,2.11482,[15 99] ; [ 3 50],[ 12.28742515 101.71257485] ; [ 5.71257485 47.28742515],0
p1,1,0.147861,2.09418,[18 97] ; [ 4 49],[15.05952381 99.94047619] ; [ 6.94047619 46.05952381],0
n2,1,0.16103,1.964526,[29  4] ; [13  5],[27.17647059  5.82352941] ; [14.82352941  3.17647059],0
p8,1,0.193792,1.68855,[56 55] ; [21 32],[52.11585366 58.88414634] ; [24.88414634 28.11585366],0
a2,1,0.196267,1.669933,[ 11 105] ; [ 2 51],[  8.92307692 107.07692308] ; [ 4.07692308 48.92307692],0
s1,1,0.223061,1.484567,[  7 105] ; [ 1 52],[  5.43030303 106.56969697] ; [ 2.56969697 50.43030303],0
a4,1,0.224979,1.472327,[29 85] ; [ 9 44],[25.94011976 88.05988024] ; [12.05988024 40.94011976],0
s3,1,0.230213,1.439542,[56 55] ; [21 31],[52.43558282 58.56441718] ; [24.56441718 27.43558282],0
p10,1,0.23658,1.400857,[84 29] ; [34 18],[80.81212121 32.18787879] ; [37.18787879 14.81212121],0
p6,1,0.282131,1.156794,[37 76] ; [13 40],[34.03614458 78.96385542] ; [15.96385542 37.03614458],0
p12,1,0.410859,0.676314,[  8 106] ; [ 2 51],[  6.82634731 107.17365269] ; [ 3.17365269 49.82634731],0
n5,1,0.423614,0.640267,[87 28] ; [37 16],[84.88095238 30.11904762] ; [39.11904762 13.88095238],0
b5,1,0.526233,0.40166,[64 52] ; [32 21],[65.89349112 50.10650888] ; [30.10650888 22.89349112],0
b1,1,0.571277,0.32055,[45 71] ; [23 30],[46.67455621 69.32544379] ; [21.32544379 31.67455621],0
n6,1,0.580217,0.305884,[94 22] ; [41 12],[92.66272189 23.33727811] ; [42.33727811 10.66272189],0
b2,1,0.633133,0.227836,[17 54] ; [ 8 20],[17.92929293 53.07070707] ; [ 7.07070707 20.92929293],0
b3,1,0.633133,0.227836,[17 54] ; [ 8 20],[17.92929293 53.07070707] ; [ 7.07070707 20.92929293],0
p7,1,0.69499,0.153736,[67 45] ; [30 23],[65.84242424 46.15757576] ; [31.15757576 21.84242424],0
n3,1,0.716655,0.13172,[27  4] ; [15  3],[26.57142857  4.42857143] ; [15.42857143  2.57142857],0
a8,1,0.790191,0.070789,[12 93] ; [ 5 45],[11.51612903 93.48387097] ; [ 5.48387097 44.51612903],0
s4,1,0.83565,0.04304,[20 94] ; [10 43],[20.47904192 93.52095808] ; [ 9.52095808 43.47904192],0
b4,1,0.893769,0.017832,[60 56] ; [28 25],[60.40236686 55.59763314] ; [27.59763314 25.40236686],0
p9,1,0.922413,0.009486,[85 28] ; [38 13],[84.75 28.25] ; [38.25 12.75],0
u2,1,0.929033,0.007932,[23 28] ; [15 19],[22.8 28.2] ; [15.2 18.8],0
d2,1,0.94751,0.004334,[29 87] ; [13 40],[28.82840237 87.17159763] ; [13.17159763 39.82840237],0
d5,1,0.955483,0.003116,[53 63] ; [24 28],[53.16666667 62.83333333] ; [23.83333333 28.16666667],0
p2,1,0.979809,0.000641,[87 28] ; [40 13],[86.93452381 28.06547619] ; [40.06547619 12.93452381],0
