Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.0,58.623116,[106   1] ; [38 34],[86.07821229 20.92178771] ; [57.92178771 14.07821229],1
a8,1,0.493086,0.469784,[15 83] ; [ 8 61],[13.49700599 84.50299401] ; [ 9.50299401 59.49700599],0
b3,1,0.508981,0.436161,[30 46] ; [14 28],[28.33898305 47.66101695] ; [15.66101695 26.33898305],0
b2,1,0.508981,0.436161,[30 46] ; [14 28],[28.33898305 47.66101695] ; [15.66101695 26.33898305],0
p3,1,0.543021,0.36997,[54 53] ; [33 39],[52.00558659 54.99441341] ; [34.99441341 37.00558659],0
a7,1,0.599006,0.276498,[76 32] ; [48 24],[74.4 33.6] ; [49.6 22.4],0
b1,1,0.622109,0.242915,[44 64] ; [32 40],[45.6 62.4] ; [30.4 41.6],0
p10,1,0.632981,0.228041,[90 18] ; [58 14],[88.8 19.2] ; [59.2 12.8],0
s4,1,0.659086,0.194635,[28 79] ; [21 51],[29.29050279 77.70949721] ; [19.70949721 52.29050279],0
s5,1,0.74539,0.105446,[42 62] ; [30 40],[43.03448276 60.96551724] ; [28.96551724 41.03448276],0
p4,1,0.754969,0.097403,[67 41] ; [43 29],[66. 42.] ; [44. 28.],0
p5,1,0.776132,0.080863,[12 96] ; [ 9 63],[12.6 95.4] ; [ 8.4 63.6],0
p6,1,0.792164,0.069433,[41 66] ; [29 43],[41.84357542 65.15642458] ; [28.15642458 43.84357542],0
v3,1,0.792257,0.069369,[30 73] ; [22 49],[30.7816092 72.2183908] ; [21.2183908 49.7816092],0
u3,1,0.817941,0.052989,[11  5] ; [15  8],[10.66666667  5.33333333] ; [15.33333333  7.66666667],0
v4,1,0.898104,0.016399,[103   5] ; [68  3],[103.17318436   4.82681564] ; [67.82681564  3.17318436],0
p1,1,0.919209,0.010288,[11 97] ; [ 7 65],[10.8 97.2] ; [ 7.2 64.8],0
p11,1,0.94311,0.005093,[82 26] ; [55 17],[82.2 25.8] ; [54.8 17.2],0
n6,1,0.95525,0.003149,[94 14] ; [62  9],[94.12290503 13.87709497] ; [61.87709497  9.12290503],0
n5,1,0.957633,0.002822,[81 27] ; [53 18],[80.84916201 27.15083799] ; [53.15083799 17.84916201],0
n1,1,0.965763,0.001842,[13 15] ; [11 13],[12.92307692 15.07692308] ; [11.07692308 12.92307692],0
