Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,37.975,[29 16] ; [ 2 46],[15. 30.] ; [16. 32.],1
n2,1,0.152881,2.043269,[14  2] ; [12  6],[12.23529412  3.76470588] ; [13.76470588  4.23529412],0
s4,1,0.196517,1.668072,[ 9 36] ; [ 5 43],[ 6.77419355 38.22580645] ; [ 7.22580645 40.77419355],0
a2,1,0.232102,1.427932,[ 6 39] ; [11 37],[ 8.22580645 36.77419355] ; [ 8.77419355 39.22580645],0
s1,1,0.255607,1.292395,[ 3 40] ; [ 1 47],[ 1.89010989 41.10989011] ; [ 2.10989011 45.89010989],0
p1,1,0.262677,1.254594,[ 2 43] ; [ 5 42],[ 3.42391304 41.57608696] ; [ 3.57608696 43.42391304],0
a3,1,0.290373,1.117889,[30 15] ; [36 11],[32.2826087 12.7173913] ; [33.7173913 13.2826087],0
p11,1,0.31364,1.015287,[29 16] ; [26 22],[26.61290323 18.38709677] ; [28.38709677 19.61290323],0
v3,1,0.322359,0.979351,[14 27] ; [11 34],[11.91860465 29.08139535] ; [13.08139535 31.91860465],0
r4,1,0.362661,0.828657,[33 12] ; [31 17],[30.96774194 14.03225806] ; [33.03225806 14.96774194],0
d1,1,0.366383,0.815895,[22 23] ; [19 29],[19.83870968 25.16129032] ; [21.16129032 26.83870968],0
p7,1,0.403754,0.697117,[23 20] ; [21 26],[21.02222222 21.97777778] ; [22.97777778 24.02222222],0
p9,1,0.431952,0.617569,[30 15] ; [27 19],[28.18681319 16.81318681] ; [28.81318681 17.18681319],0
r1,1,0.464892,0.534092,[34 11] ; [33 15],[32.41935484 12.58064516] ; [34.58064516 13.41935484],0
a1,1,0.51923,0.415423,[ 3 42] ; [ 5 43],[ 3.87096774 41.12903226] ; [ 4.12903226 43.87096774],0
p8,1,0.534997,0.384891,[12 33] ; [15 31],[13.35164835 31.64835165] ; [13.64835165 32.35164835],0
p3,1,0.554002,0.350196,[18 27] ; [16 31],[16.63043478 28.36956522] ; [17.36956522 29.63043478],0
a6,1,0.596276,0.280649,[27 17] ; [32 16],[28.2173913 15.7826087] ; [30.7826087 17.2173913],0
s5,1,0.596547,0.280236,[ 8 33] ; [ 7 39],[ 7.06896552 33.93103448] ; [ 7.93103448 38.06896552],0
d5,1,0.624441,0.239674,[31 13] ; [36 12],[32.04347826 11.95652174] ; [34.95652174 13.04347826],0
p4,1,0.630548,0.231318,[16 29] ; [19 28],[17.11956522 27.88043478] ; [17.88043478 29.11956522],0
p6,1,0.635182,0.225099,[ 8 36] ; [10 35],[ 8.8988764 35.1011236] ; [ 9.1011236 35.8988764],0
v2,1,0.68555,0.163945,[20 23] ; [19 26],[19.05681818 23.94318182] ; [19.94318182 25.05681818],0
n3,1,0.754725,0.097603,[8 7] ; [10  7],[8.4375 6.5625] ; [9.5625 7.4375],0
a5,1,0.804091,0.061532,[32 13] ; [33 15],[31.4516129 13.5483871] ; [33.5483871 14.4516129],0
n5,1,0.858217,0.031914,[28 17] ; [29 19],[27.58064516 17.41935484] ; [29.41935484 18.58064516],0
a7,1,0.858217,0.031914,[28 17] ; [29 19],[27.58064516 17.41935484] ; [29.41935484 18.58064516],0
p2,1,0.878173,0.023497,[31 14] ; [31 15],[30.65934066 14.34065934] ; [31.34065934 14.65934066],0
b4,1,0.893006,0.018091,[25 20] ; [26 22],[24.67741935 20.32258065] ; [26.32258065 21.67741935],0
b1,1,0.893006,0.018091,[25 20] ; [26 22],[24.67741935 20.32258065] ; [26.32258065 21.67741935],0
n1,1,0.89842,0.016296,[7 8] ; [ 8 10],[6.81818182 8.18181818] ; [8.18181818 9.81818182],0
v1,1,0.909178,0.013013,[18 24] ; [20 28],[17.73333333 24.26666667] ; [20.26666667 27.73333333],0
a8,1,0.926096,0.008604,[ 7 36] ; [ 7 38],[ 6.84090909 36.15909091] ; [ 7.15909091 37.84090909],0
u1,1,0.934855,0.006681,[ 3 42] ; [ 3 45],[ 2.90322581 42.09677419] ; [ 3.09677419 44.90322581],0
p5,1,0.964533,0.001977,[ 2 43] ; [ 2 45],[ 1.95652174 43.04347826] ; [ 2.04347826 44.95652174],0
