Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,0.005256,7.789235,[59 14] ; [10 10],[54.16129032 18.83870968] ; [14.83870968  5.16129032],0
p3,1,0.243025,1.362963,[56 16] ; [13  7],[54. 18.] ; [15.  5.],0
a7,1,0.276354,1.184935,[53 20] ; [12  8],[51.02150538 21.97849462] ; [13.97849462  6.02150538],0
s5,1,0.353815,0.859726,[45 25] ; [10  9],[43.25842697 26.74157303] ; [11.74157303  7.25842697],0
v4,1,0.476376,0.507149,[68  4] ; [18  2],[67.30434783  4.69565217] ; [18.69565217  1.30434783],0
v2,1,0.495103,0.465417,[41 29] ; [10 10],[39.66666667 30.33333333] ; [11.33333333  8.66666667],0
d3,1,0.500149,0.454621,[49 23] ; [12  8],[47.73913043 24.26086957] ; [13.26086957  6.73913043],0
p11,1,0.562498,0.335398,[62 11] ; [18  2],[62.79569892 10.20430108] ; [17.20430108  2.79569892],0
p9,1,0.618915,0.247395,[66  6] ; [19  1],[66.52173913  5.47826087] ; [18.47826087  1.52173913],0
b4,1,0.621681,0.243512,[43 30] ; [13  7],[43.95698925 29.04301075] ; [12.04301075  7.95698925],0
p4,1,0.631335,0.230255,[60 11] ; [16  4],[59.2967033 11.7032967] ; [16.7032967  3.2967033],0
s1,1,0.636086,0.223898,[ 5 68] ; [ 2 18],[ 5.49462366 67.50537634] ; [ 1.50537634 18.49462366],0
b1,1,0.677836,0.172572,[33 40] ; [ 8 12],[32.1827957 40.8172043] ; [ 8.8172043 11.1827957],0
p8,1,0.689412,0.159722,[57 15] ; [15  5],[56.34782609 15.65217391] ; [15.65217391  4.34782609],0
p2,1,0.689901,0.159193,[64  9] ; [16  3],[63.47826087  9.52173913] ; [16.52173913  2.47826087],0
b5,1,0.703191,0.145174,[33 40] ; [10 10],[33.75268817 39.24731183] ; [ 9.24731183 10.75268817],0
p7,1,0.734749,0.114796,[55 15] ; [15  5],[54.44444444 15.55555556] ; [15.55555556  4.44444444],0
b2,1,0.741912,0.108453,[28 29] ; [6 5],[28.5 28.5] ; [5.5 5.5],0
b3,1,0.741912,0.108453,[28 29] ; [6 5],[28.5 28.5] ; [5.5 5.5],0
p12,1,0.742802,0.107679,[18 55] ; [ 4 15],[17.45652174 55.54347826] ; [ 4.54347826 14.45652174],0
d4,1,0.749778,0.101718,[59 13] ; [17  3],[59.47826087 12.52173913] ; [16.52173913  3.47826087],0
n3,1,0.808605,0.058673,[10  6] ; [4 3],[9.73913043 6.26086957] ; [4.26086957 2.73913043],0
u3,1,0.830696,0.045714,[9 5] ; [6 4],[8.75 5.25] ; [6.25 3.75],0
v1,1,0.895062,0.017398,[46 25] ; [12  7],[45.75555556 25.24444444] ; [12.24444444  6.75555556],0
p10,1,0.942206,0.005256,[64  8] ; [17  2],[64.08791209  7.91208791] ; [16.91208791  2.08791209],0
r3,1,0.970491,0.001368,[65  7] ; [18  2],[64.95652174  7.04347826] ; [18.04347826  1.95652174],0
a6,1,0.982119,0.000502,[43 29] ; [12  8],[43.04347826 28.95652174] ; [11.95652174  8.04347826],0
