Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,50.00817,[235  99] ; [ 97 141],[193.86013986 140.13986014] ; [138.13986014  99.86013986],1
d2,1,0.363825,0.824648,[184 158] ; [122 122],[178.58703072 163.41296928] ; [127.41296928 116.58703072],0
n2,1,0.376282,0.782812,[37 10] ; [42 17],[35.02830189 11.97169811] ; [43.97169811 15.02830189],0
s4,1,0.380496,0.7691,[ 46 293] ; [ 39 202],[ 49.68103448 289.31896552] ; [ 35.31896552 205.68103448],0
v4,1,0.419784,0.650919,[329  11] ; [232  11],[327.16981132  12.83018868] ; [233.83018868   9.16981132],0
s7,1,0.506074,0.442176,[181 143] ; [123 109],[177.15107914 146.84892086] ; [126.84892086 105.15107914],0
u3,1,0.516162,0.421554,[41 34] ; [35 36],[39.04109589 35.95890411] ; [36.95890411 34.04109589],0
p1,1,0.526282,0.401564,[ 35 308] ; [ 21 222],[ 32.778157 310.221843] ; [ 23.221843 219.778157],0
n3,1,0.662812,0.190125,[36 11] ; [43 16],[35.02830189 11.97169811] ; [43.97169811 15.02830189],0
a6,1,0.769062,0.086202,[232 110] ; [169  76],[233.63202726 108.36797274] ; [167.36797274  77.63202726],0
b4,1,0.777215,0.080061,[199 144] ; [145 100],[200.66666667 142.33333333] ; [143.33333333 101.66666667],0
b1,1,0.851844,0.034882,[129 214] ; [ 94 151],[130.08333333 212.91666667] ; [ 92.91666667 152.08333333],0
u2,1,0.948696,0.00414,[40 34] ; [38 33],[39.80689655 34.19310345] ; [38.19310345 32.80689655],0
