Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.000503,12.105651,[62  6] ; [206  85],[50.7632312 17.2367688] ; [217.2367688  73.7632312],1
p12,1,0.509763,0.434554,[ 7 63] ; [ 38 257],[ 8.63013699 61.36986301] ; [ 36.36986301 258.63013699],0
n5,1,0.511706,0.430578,[55 15] ; [241  53],[56.92307692 13.07692308] ; [239.07692308  54.92307692],0
a1,1,0.561337,0.337395,[ 3 67] ; [ 18 278],[ 4.01639344 65.98360656] ; [ 16.98360656 279.01639344],0
a4,1,0.584643,0.298789,[36 34] ; [141 154],[33.94520548 36.05479452] ; [143.05479452 151.94520548],0
d5,1,0.611576,0.257887,[61  9] ; [250  45],[59.64383562 10.35616438] ; [251.35616438  43.64383562],0
u3,1,0.625406,0.238342,[14  7] ; [45 29],[13.04210526  7.95789474] ; [45.95789474 28.04210526],0
d4,1,0.68291,0.166868,[60 10] ; [247  48],[58.87671233 11.12328767] ; [248.12328767  46.87671233],0
p2,1,0.762001,0.091721,[63  7] ; [268  26],[63.65384615  6.34615385] ; [267.34615385  26.65384615],0
r3,1,0.809783,0.05794,[66  3] ; [284  11],[66.34615385  2.65384615] ; [283.65384615  11.34615385],0
a2,1,0.823484,0.049759,[18 52] ; [ 80 216],[18.7431694 51.2568306] ; [ 79.2568306 216.7431694],0
r1,1,0.852716,0.034467,[57 13] ; [243  52],[57.53424658 12.46575342] ; [242.46575342  52.53424658],0
n1,1,0.871001,0.026369,[6 8] ; [19 28],[5.73770492 8.26229508] ; [19.26229508 27.73770492],0
p1,1,0.896473,0.016931,[ 9 61] ; [ 36 257],[ 8.67768595 61.32231405] ; [ 36.32231405 256.67768595],0
s8,1,0.902201,0.0151,[37 33] ; [153 141],[36.53846154 33.46153846] ; [153.46153846 140.53846154],0
n2,1,0.930232,0.007666,[10  4] ; [33 14],[9.86885246 4.13114754] ; [33.13114754 13.86885246],0
b5,1,0.9965,1.9e-05,[39 31] ; [165 131],[39.01639344 30.98360656] ; [164.98360656 131.01639344],0
