Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,9e-06,19.658733,[ 8 15] ; [83 20],[16.61111111  6.38888889] ; [74.38888889 28.61111111],1
s8,1,0.342946,0.899388,[11 12] ; [61 43],[13.03937008  9.96062992] ; [58.96062992 45.03937008],0
n4,1,0.393503,0.728091,[17  6] ; [85 19],[18.47244094  4.52755906] ; [83.52755906 20.47244094],0
v2,1,0.420549,0.648782,[10 12] ; [56 46],[11.70967742 10.29032258] ; [54.29032258 47.70967742],0
b5,1,0.458314,0.550009,[11 12] ; [41 63],[ 9.41732283 13.58267717] ; [42.58267717 61.41732283],0
a6,1,0.534502,0.385825,[10 13] ; [38 66],[ 8.69291339 14.30708661] ; [39.30708661 64.69291339],0
b1,1,0.571237,0.320617,[10 13] ; [52 52],[11.22834646 11.77165354] ; [50.77165354 53.22834646],0
u2,1,0.585276,0.297782,[7 4] ; [19 16],[6.2173913 4.7826087] ; [19.7826087 15.2173913],0
r3,1,0.601143,0.273276,[21  2] ; [98  6],[21.5511811  1.4488189] ; [97.4488189  6.5511811],0
p1,1,0.623563,0.240892,[ 3 20] ; [10 94],[ 2.35433071 20.64566929] ; [10.64566929 93.35433071],0
p9,1,0.624849,0.239111,[19  4] ; [90 14],[19.74015748  3.25984252] ; [89.25984252 14.74015748],0
n2,1,0.648807,0.207407,[4 3] ; [14  7],[4.5 2.5] ; [13.5  7.5],0
n1,1,0.662521,0.190476,[3 4] ; [11 10],[3.5 3.5] ; [10.5 10.5],0
p12,1,0.663304,0.189535,[ 1 22] ; [ 7 96],[ 1.46031746 21.53968254] ; [ 6.53968254 96.46031746],0
a2,1,0.670345,0.181199,[ 1 22] ; [ 7 97],[ 1.4488189 21.5511811] ; [ 6.5511811 97.4488189],0
v4,1,0.77973,0.078216,[22  1] ; [97  6],[21.72222222  1.27777778] ; [97.27777778  5.72222222],0
u1,1,0.786923,0.073067,[ 1 22] ; [ 6 98],[ 1.26771654 21.73228346] ; [ 5.73228346 98.26771654],0
n6,1,0.811038,0.057163,[19  4] ; [88 16],[19.37795276  3.62204724] ; [87.62204724 16.37795276],0
n5,1,0.867866,0.027679,[18  5] ; [83 21],[18.29133858  4.70866142] ; [82.70866142 21.29133858],0
u4,1,0.91086,0.012534,[ 1 22] ; [  4 100],[ 0.90551181 22.09448819] ; [ 4.09448819 99.90551181],0
b2,1,0.993581,6.5e-05,[5 7] ; [28 39],[5.01265823 6.98734177] ; [27.98734177 39.01265823],0
b3,1,0.993581,6.5e-05,[5 7] ; [28 39],[5.01265823 6.98734177] ; [27.98734177 39.01265823],0
