Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.0,57.496181,[103   2] ; [19 22],[87.73972603 17.26027397] ; [34.26027397  6.73972603],1
d3,1,0.142726,2.148323,[69 36] ; [21 19],[65.17241379 39.82758621] ; [24.82758621 15.17241379],0
s8,1,0.155629,2.016194,[17 87] ; [ 3 38],[14.34482759 89.65517241] ; [ 5.65517241 35.34482759],0
d4,1,0.172252,1.863234,[80 24] ; [27 14],[76.74482759 27.25517241] ; [30.25517241 10.74482759],0
p10,1,0.175385,1.836304,[66 38] ; [21 20],[62.4 41.6] ; [24.6 16.4],0
p4,1,0.17707,1.822049,[43 61] ; [12 29],[39.44827586 64.55172414] ; [15.55172414 25.44827586],0
p1,1,0.227489,1.456493,[  3 101] ; [ 3 38],[ 4.30344828 99.69655172] ; [ 1.69655172 39.30344828],0
v1,1,0.343715,0.896527,[40 64] ; [12 28],[37.55555556 66.44444444] ; [14.44444444 25.55555556],0
v3,1,0.396637,0.718498,[26 73] ; [ 8 33],[24.04285714 74.95714286] ; [ 9.95714286 31.04285714],0
p6,1,0.453946,0.560779,[18 84] ; [ 5 35],[16.52112676 85.47887324] ; [ 6.47887324 33.52112676],0
p12,1,0.487367,0.482333,[  1 104] ; [ 1 40],[  1.43835616 103.56164384] ; [ 0.56164384 40.43835616],0
b3,1,0.530699,0.393052,[13 37] ; [ 7 14],[14.08450704 35.91549296] ; [ 5.91549296 15.08450704],0
b2,1,0.530699,0.393052,[13 37] ; [ 7 14],[14.08450704 35.91549296] ; [ 5.91549296 15.08450704],0
a8,1,0.662037,0.191058,[ 4 93] ; [ 1 38],[ 3.56617647 93.43382353] ; [ 1.43382353 37.56617647],0
u1,1,0.686337,0.163079,[ 7 98] ; [ 2 39],[ 6.47260274 98.52739726] ; [ 2.52739726 38.47260274],0
n5,1,0.738036,0.111861,[35 69] ; [15 26],[35.86206897 68.13793103] ; [14.13793103 26.86206897],0
b5,1,0.745331,0.105497,[62 43] ; [23 18],[61.13013699 43.86986301] ; [23.86986301 17.13013699],0
a2,1,0.765088,0.089285,[11 94] ; [ 5 36],[11.50684932 93.49315068] ; [ 4.49315068 36.50684932],0
s7,1,0.775585,0.081269,[21 81] ; [ 7 31],[20.4 81.6] ; [ 7.6 30.4],0
s3,1,0.782065,0.076523,[23 81] ; [ 8 32],[22.38888889 81.61111111] ; [ 8.61111111 31.38888889],0
s5,1,0.782142,0.076468,[17 86] ; [ 6 35],[16.45138889 86.54861111] ; [ 6.54861111 34.45138889],0
a1,1,0.837964,0.041819,[  2 103] ; [ 1 40],[  2.15753425 102.84246575] ; [ 0.84246575 40.15753425],0
d2,1,0.838302,0.041643,[34 71] ; [14 27],[34.52054795 70.47945205] ; [13.47945205 27.52054795],0
p5,1,0.866289,0.02835,[ 6 99] ; [ 2 38],[ 5.79310345 99.20689655] ; [ 2.20689655 37.79310345],0
b4,1,0.878311,0.023443,[60 45] ; [24 17],[60.4109589 44.5890411] ; [23.5890411 17.4109589],0
a4,1,0.886334,0.020433,[32 73] ; [12 29],[31.64383562 73.35616438] ; [12.35616438 28.64383562],0
n1,1,0.897435,0.016616,[ 8 26] ; [ 6 18],[ 8.20689655 25.79310345] ; [ 5.79310345 18.20689655],0
a3,1,0.94826,0.004211,[61 44] ; [23 17],[60.82758621 44.17241379] ; [23.17241379 16.82758621],0
s4,1,0.957002,0.002907,[15 90] ; [ 6 35],[15.10273973 89.89726027] ; [ 5.89726027 35.10273973],0
