Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,7.8e-05,15.610257,[56 15] ; [11 18],[47.57 23.43] ; [19.43  9.57],1
s4,1,0.373115,0.793265,[16 55] ; [ 9 20],[17.75 53.25] ; [ 7.25 21.75],0
s5,1,0.393699,0.727487,[21 43] ; [11 15],[22.75555556 41.24444444] ; [ 9.24444444 16.75555556],0
n3,1,0.460967,0.543545,[16  5] ; [5 3],[15.20689655  5.79310345] ; [5.79310345 2.20689655],0
n2,1,0.501594,0.451561,[16  5] ; [7 1],[16.65517241  4.34482759] ; [6.34482759 1.65517241],0
s7,1,0.506746,0.44078,[36 33] ; [13 16],[34.5 34.5] ; [14.5 14.5],0
d1,1,0.512879,0.428189,[32 39] ; [11 18],[30.53 40.47] ; [12.47 16.53],0
d5,1,0.531852,0.390851,[51 20] ; [19 10],[49.7 21.3] ; [20.3  8.7],0
p7,1,0.564916,0.331263,[39 30] ; [17 10],[40.25 28.75] ; [15.75 11.25],0
a3,1,0.565465,0.330331,[45 26] ; [16 12],[43.74747475 27.25252525] ; [17.25252525 10.74747475],0
a1,1,0.580685,0.305129,[ 5 66] ; [ 3 26],[ 5.68 65.32] ; [ 2.32 26.68],0
b1,1,0.598274,0.277607,[31 40] ; [11 18],[29.82 41.18] ; [12.18 16.82],0
p4,1,0.633788,0.226959,[38 33] ; [14 15],[36.92 34.08] ; [15.08 13.92],0
d3,1,0.641839,0.216345,[38 33] ; [17 12],[39.05 31.95] ; [15.95 13.05],0
u1,1,0.64909,0.20705,[ 4 67] ; [ 1 28],[ 3.55 67.45] ; [ 1.45 27.55],0
u3,1,0.650506,0.205263,[12 14] ; [7 6],[12.66666667 13.33333333] ; [6.33333333 6.66666667],0
v2,1,0.658247,0.19566,[31 36] ; [12 17],[30.01041667 36.98958333] ; [12.98958333 16.01041667],0
d2,1,0.690048,0.159033,[30 41] ; [11 18],[29.11 41.89] ; [11.89 17.11],0
a7,1,0.690048,0.159033,[41 30] ; [18 11],[41.89 29.11] ; [17.11 11.89],0
p3,1,0.701559,0.146856,[36 35] ; [13 15],[35.14141414 35.85858586] ; [13.85858586 14.14141414],0
p1,1,0.724207,0.124497,[ 6 65] ; [ 3 25],[ 6.45454545 64.54545455] ; [ 2.54545455 25.45454545],0
a4,1,0.736392,0.113324,[22 49] ; [ 8 21],[21.3 49.7] ; [ 8.7 20.3],0
s2,1,0.789355,0.071368,[47 24] ; [20  9],[47.57 23.43] ; [19.43  9.57],0
p5,1,0.801102,0.063464,[ 6 63] ; [ 2 26],[ 5.69072165 63.30927835] ; [ 2.30927835 25.69072165],0
v4,1,0.859161,0.031486,[59 11] ; [24  4],[59.28571429 10.71428571] ; [23.71428571  4.28571429],0
a2,1,0.893542,0.017909,[ 8 63] ; [ 3 26],[ 7.81 63.19] ; [ 3.19 25.81],0
n1,1,0.900552,0.015616,[ 9 10] ; [4 4],[9.14814815 9.85185185] ; [3.85185185 4.14814815],0
a6,1,0.935941,0.00646,[41 30] ; [17 12],[41.18 29.82] ; [16.82 12.18],0
p12,1,0.979327,0.000671,[ 5 66] ; [ 2 27],[ 4.97 66.03] ; [ 2.03 26.97],0
b5,1,0.992755,8.2e-05,[44 27] ; [18 11],[44.02 26.98] ; [17.98 11.02],0
