Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.0,37.02086,[131 118] ; [80 10],[154.98230088  94.01769912] ; [56.01769912 33.98230088],1
n6,1,0.066169,3.375594,[200  49] ; [80 10],[205.66371681  43.33628319] ; [74.33628319 15.66371681],0
p9,1,0.07802,3.105673,[181  64] ; [74 15],[187.0508982  57.9491018] ; [67.9491018 21.0508982],0
p2,1,0.080453,3.055727,[183  66] ; [76 16],[189.12316716  59.87683284] ; [69.87683284 22.12316716],0
r1,1,0.086887,2.931118,[186  63] ; [76 15],[191.87647059  57.12352941] ; [70.12352941 20.87647059],0
n3,1,0.089572,2.882057,[41 26] ; [20  5],[44.42391304 22.57608696] ; [16.57608696  8.42391304],0
r2,1,0.114681,2.488502,[220  24] ; [86  4],[223.54491018  20.45508982] ; [82.45508982  7.54491018],0
v3,1,0.118611,2.435564,[ 77 164] ; [37 53],[ 83.00302115 157.99697885] ; [30.99697885 59.00302115],0
a4,1,0.157958,1.993671,[105 142] ; [47 45],[110.74926254 136.25073746] ; [41.25073746 50.74926254],0
a6,1,0.172107,1.864493,[166  83] ; [54 38],[160.64516129  88.35483871] ; [59.35483871 32.64516129],0
n5,1,0.174111,1.847184,[203  46] ; [79 11],[207.13274336  41.86725664] ; [74.86725664 15.13274336],0
d1,1,0.183482,1.769195,[132 118] ; [56 36],[137.42690058 112.57309942] ; [50.57309942 41.42690058],0
d5,1,0.186661,1.743774,[189  60] ; [76 16],[193.50439883  55.49560117] ; [71.49560117 20.50439883],0
d4,1,0.200398,1.639472,[192  57] ; [76 15],[196.27058824  52.72941176] ; [71.72941176 19.27058824],0
b1,1,0.211958,1.558001,[ 85 165] ; [38 54],[ 89.9122807 160.0877193] ; [33.0877193 58.9122807],0
a2,1,0.225415,1.469562,[ 50 200] ; [24 68],[ 54.09356725 195.90643275] ; [19.90643275 72.09356725],0
b5,1,0.290909,1.115411,[157  93] ; [52 40],[152.77777778  97.22222222] ; [56.22222222 35.77777778],0
b2,1,0.329086,0.952492,[ 49 100] ; [24 36],[52.0430622 96.9569378] ; [20.9569378 39.0430622],0
b3,1,0.329086,0.952492,[ 49 100] ; [24 36],[52.0430622 96.9569378] ; [20.9569378 39.0430622],0
a3,1,0.367341,0.81264,[168  80] ; [67 25],[171.41176471  76.58823529] ; [63.58823529 28.41176471],0
n2,1,0.40347,0.697959,[50 20] ; [20  5],[51.57894737 18.42105263] ; [18.42105263  6.57894737],0
b4,1,0.437639,0.602465,[146 104] ; [58 34],[149.12280702 100.87719298] ; [54.87719298 37.12280702],0
a8,1,0.479854,0.499195,[ 38 192] ; [16 64],[ 40.06451613 189.93548387] ; [13.93548387 66.06451613],0
r3,1,0.529262,0.395809,[224  25] ; [83  7],[225.49557522  23.50442478] ; [81.50442478  8.49557522],0
u3,1,0.546237,0.364102,[37 45] ; [13 12],[38.31775701 43.68224299] ; [11.68224299 13.31775701],0
s1,1,0.563127,0.334319,[ 10 235] ; [ 5 85],[ 10.97014925 234.02985075] ; [ 4.02985075 85.97014925],0
v2,1,0.610922,0.258834,[115 122] ; [46 43],[117.04601227 119.95398773] ; [43.95398773 45.04601227],0
u1,1,0.630861,0.230895,[ 33 217] ; [14 78],[ 34.35672515 215.64327485] ; [12.64327485 79.35672515],0
a1,1,0.645611,0.211478,[ 14 236] ; [ 4 88],[ 13.15789474 236.84210526] ; [ 4.84210526 87.15789474],0
p11,1,0.694341,0.154426,[185  65] ; [70 22],[186.40350877  63.59649123] ; [68.59649123 23.40350877],0
u2,1,0.695675,0.153011,[43 39] ; [11 12],[42.17142857 39.82857143] ; [11.82857143 11.17142857],0
a7,1,0.756365,0.09626,[172  78] ; [61 30],[170.82111437  79.17888563] ; [62.17888563 28.82111437],0
n1,1,0.841354,0.040065,[30 39] ; [11 13],[30.41935484 38.58064516] ; [10.58064516 13.41935484],0
d3,1,0.884353,0.021157,[163  86] ; [61 31],[163.5659824  85.4340176] ; [60.4340176 31.5659824],0
