Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.0,103.884511,[293   9] ; [10 14],[280.69325153  21.30674847] ; [22.30674847  1.69325153],1
n2,1,0.108104,2.581728,[73 22] ; [6 5],[70.80188679 24.19811321] ; [8.19811321 2.80188679],0
u3,1,0.126103,2.339829,[38 33] ; [2 6],[35.94936709 35.05063291] ; [4.05063291 3.94936709],0
p10,1,0.128649,2.308732,[225  74] ; [14  9],[221.92857143  77.07142857] ; [17.07142857  5.92857143],0
u2,1,0.145915,2.114441,[34 37] ; [6 2],[35.94936709 35.05063291] ; [4.05063291 3.94936709],0
v3,1,0.153982,2.032358,[101 186] ; [ 5 19],[ 97.81993569 189.18006431] ; [ 8.18006431 15.81993569],0
a2,1,0.158724,1.986338,[ 92 212] ; [ 4 20],[ 88.97560976 215.02439024] ; [ 7.02439024 16.97560976],0
s7,1,0.214362,1.541722,[130 164] ; [ 6 14],[127.33757962 166.66242038] ; [ 8.66242038 11.33757962],0
u1,1,0.23722,1.39704,[ 54 250] ; [ 2 22],[ 51.90243902 252.09756098] ; [ 4.09756098 19.90243902],0
a4,1,0.25802,1.279351,[162 140] ; [10 14],[159.33742331 142.66257669] ; [12.66257669 11.33742331],0
v2,1,0.318894,0.993477,[151 138] ; [10 14],[148.65495208 140.34504792] ; [12.34504792 11.65495208],0
s8,1,0.362301,0.829901,[116 185] ; [ 7 17],[113.91692308 187.08307692] ; [ 9.08307692 14.91692308],0
a7,1,0.367876,0.810825,[228  76] ; [16  8],[226.14634146  77.85365854] ; [17.85365854  6.14634146],0
p8,1,0.416789,0.659352,[115 180] ; [ 7 16],[113.17610063 181.82389937] ; [ 8.82389937 14.17610063],0
b5,1,0.457384,0.552288,[188 116] ; [13 11],[186.29268293 117.70731707] ; [14.70731707  9.29268293],0
a3,1,0.465849,0.531804,[232  72] ; [16  7],[230.55657492  73.44342508] ; [17.44342508  5.55657492],0
v1,1,0.479985,0.498897,[146 151] ; [10 14],[144.3364486 152.6635514] ; [11.6635514 12.3364486],0
p5,1,0.49518,0.465252,[ 16 285] ; [ 2 21],[ 16.72222222 284.27777778] ; [ 1.27777778 21.72222222],0
p9,1,0.499758,0.45545,[235  63] ; [16  6],[233.74375  64.25625] ; [17.25625  4.74375],0
p7,1,0.55378,0.35059,[140 152] ; [10 14],[138.60759494 153.39240506] ; [11.39240506 12.60759494],0
b4,1,0.637362,0.222209,[175 129] ; [15  9],[176.09756098 127.90243902] ; [13.90243902 10.09756098],0
n3,1,0.705653,0.142657,[63 28] ; [7 4],[62.45098039 28.54901961] ; [7.54901961 3.45098039],0
p1,1,0.718106,0.130315,[ 18 284] ; [ 1 23],[ 17.60122699 284.39877301] ; [ 1.39877301 22.60122699],0
p4,1,0.737028,0.112756,[123 177] ; [ 9 15],[122.22222222 177.77777778] ; [ 9.77777778 14.22222222],0
p11,1,0.807048,0.059651,[221  83] ; [18  6],[221.51219512  82.48780488] ; [17.48780488  6.51219512],0
p12,1,0.856124,0.032873,[ 15 285] ; [ 1 23],[ 14.81481481 285.18518519] ; [ 1.18518519 22.81481481],0
b3,1,0.8818,0.022108,[ 66 109] ; [5 9],[ 65.74074074 109.25925926] ; [5.25925926 8.74074074],0
b2,1,0.8818,0.022108,[ 66 109] ; [5 9],[ 65.74074074 109.25925926] ; [5.25925926 8.74074074],0
n1,1,0.892423,0.018289,[35 56] ; [4 7],[34.79411765 56.20588235] ; [4.20588235 6.79411765],0
a8,1,0.991408,0.000116,[ 38 239] ; [ 3 19],[ 37.98327759 239.01672241] ; [ 3.01672241 18.98327759],0
