Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b4,1,0.013979,6.040813,[ 5 12] ; [17  8],[8.9047619 8.0952381] ; [13.0952381 11.9047619],0
p2,1,0.439387,0.597882,[14  3] ; [18  7],[12.95238095  4.04761905] ; [19.04761905  5.95238095],0
d4,1,0.482096,0.494118,[12  5] ; [20  5],[12.95238095  4.04761905] ; [19.04761905  5.95238095],0
p9,1,0.507362,0.439505,[16  1] ; [22  3],[15.38095238  1.61904762] ; [22.61904762  2.38095238],0
n6,1,0.52369,0.406621,[10  6] ; [18  7],[10.92682927  5.07317073] ; [17.07317073  7.92682927],0
p3,1,0.542385,0.371137,[ 7 10] ; [ 8 17],[ 6.07142857 10.92857143] ; [ 8.92857143 16.07142857],0
n5,1,0.550868,0.355765,[13  4] ; [17  8],[12.14285714  4.85714286] ; [17.85714286  7.14285714],0
n4,1,0.572614,0.318328,[11  6] ; [14 11],[10.11904762  6.88095238] ; [14.88095238 10.11904762],0
r4,1,0.572614,0.318328,[ 6 11] ; [11 14],[ 6.88095238 10.11904762] ; [10.11904762 14.88095238],0
v3,1,0.615735,0.251908,[ 6 11] ; [ 7 18],[ 5.26190476 11.73809524] ; [ 7.73809524 17.26190476],0
d2,1,0.615735,0.251908,[ 6 11] ; [ 7 18],[ 5.26190476 11.73809524] ; [ 7.73809524 17.26190476],0
u2,1,0.636982,0.222711,[4 2] ; [10  3],[4.42105263 1.57894737] ; [9.57894737 3.42105263],0
s2,1,0.656627,0.197647,[ 5 12] ; [ 9 16],[ 5.66666667 11.33333333] ; [ 8.33333333 16.66666667],0
a6,1,0.662763,0.190184,[ 7 10] ; [12 13],[7.69047619 9.30952381] ; [11.30952381 13.69047619],0
p12,1,0.683296,0.16644,[ 2 15] ; [ 2 23],[ 1.61904762 15.38095238] ; [ 2.38095238 22.61904762],0
p1,1,0.793657,0.068416,[ 1 16] ; [ 2 23],[ 1.21428571 15.78571429] ; [ 1.78571429 23.21428571],0
v4,1,0.82409,0.049412,[11  6] ; [17  8],[11.33333333  5.66666667] ; [16.66666667  8.33333333],0
r1,1,0.845006,0.038218,[8 9] ; [11 14],[7.69047619 9.30952381] ; [11.30952381 13.69047619],0
d5,1,0.845006,0.038218,[9 8] ; [14 11],[9.30952381 7.69047619] ; [13.69047619 11.30952381],0
s4,1,0.848831,0.036332,[ 3 14] ; [ 5 20],[ 3.23809524 13.76190476] ; [ 4.76190476 20.23809524],0
d1,1,0.920813,0.009882,[ 5 12] ; [ 7 18],[ 4.85714286 12.14285714] ; [ 7.14285714 17.85714286],0
a5,1,0.939225,0.005813,[10  7] ; [15 10],[10.11904762  6.88095238] ; [14.88095238 10.11904762],0
