Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.002087,9.470961,[ 7 83] ; [ 8 18],[11.63793103 78.36206897] ; [ 3.36206897 22.63793103],0
p3,1,0.606244,0.265681,[25 67] ; [ 6 21],[23.96638655 68.03361345] ; [ 7.03361345 19.96638655],0
p7,1,0.618213,0.248387,[32 60] ; [ 8 19],[30.92436975 61.07563025] ; [ 9.07563025 17.92436975],0
d2,1,0.655546,0.19898,[41 50] ; [13 13],[42. 49.] ; [12. 14.],0
r3,1,0.664581,0.188006,[71 21] ; [19  7],[70.16949153 21.83050847] ; [19.83050847  6.16949153],0
a8,1,0.692459,0.156437,[ 9 75] ; [ 2 23],[ 8.47706422 75.52293578] ; [ 2.52293578 22.47706422],0
a5,1,0.742306,0.108111,[51 41] ; [14 13],[50.25210084 41.74789916] ; [14.74789916 12.25210084],0
b1,1,0.756913,0.095813,[48 44] ; [15 12],[48.70588235 43.29411765] ; [14.29411765 12.70588235],0
p4,1,0.774799,0.081855,[28 64] ; [ 9 18],[28.60504202 63.39495798] ; [ 8.39495798 18.60504202],0
b5,1,0.808412,0.058794,[59 33] ; [18  9],[59.52941176 32.47058824] ; [17.47058824  9.52941176],0
p9,1,0.811062,0.057148,[24 64] ; [ 8 19],[24.48695652 63.51304348] ; [ 7.51304348 19.48695652],0
v4,1,0.855492,0.033166,[70 22] ; [21  6],[70.35294118 21.64705882] ; [20.64705882  6.35294118],0
p11,1,0.865623,0.028636,[46 46] ; [13 14],[45.61344538 46.38655462] ; [13.38655462 13.61344538],0
s1,1,0.875455,0.024566,[ 4 87] ; [ 1 26],[ 3.8559322 87.1440678] ; [ 1.1440678 25.8559322],0
r4,1,0.91159,0.012328,[59 33] ; [17 10],[58.75630252 33.24369748] ; [17.24369748  9.75630252],0
r1,1,0.993967,5.7e-05,[54 37] ; [16 11],[53.98305085 37.01694915] ; [16.01694915 10.98305085],0
p6,1,1.0,0.0,[18 72] ; [ 5 20],[18. 72.] ; [ 5. 20.],0
