Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b1,1,0.086023,2.947261,[ 7 15] ; [8 5],[ 9.42857143 12.57142857] ; [5.57142857 7.42857143],0
n3,1,0.598161,0.277778,[2 4] ; [2 2],[2.4 3.6] ; [1.6 2.4],0
b3,1,0.598702,0.276958,[ 9 11] ; [5 4],[ 9.65517241 10.34482759] ; [4.34482759 4.65517241],0
b2,1,0.598702,0.276958,[ 9 11] ; [5 4],[ 9.65517241 10.34482759] ; [4.34482759 4.65517241],0
r4,1,0.599766,0.27535,[17  5] ; [11  2],[17.6  4.4] ; [10.4  2.6],0
n4,1,0.599766,0.27535,[17  5] ; [11  2],[17.6  4.4] ; [10.4  2.6],0
d2,1,0.631259,0.230358,[10 12] ; [7 6],[10.68571429 11.31428571] ; [6.31428571 6.68571429],0
a5,1,0.689095,0.160066,[15  7] ; [8 5],[14.45714286  7.54285714] ; [8.54285714 4.45714286],0
p7,1,0.724159,0.124542,[15  6] ; [10  3],[15.44117647  5.55882353] ; [9.55882353 3.44117647],0
s2,1,0.736183,0.11351,[ 8 14] ; [4 9],[ 7.54285714 14.45714286] ; [4.45714286 8.54285714],0
p1,1,0.783758,0.075309,[ 6 16] ; [ 3 10],[ 5.65714286 16.34285714] ; [3.34285714 9.65714286],0
p6,1,0.799681,0.064394,[12 10] ; [6 6],[11.64705882 10.35294118] ; [6.35294118 5.64705882],0
v3,1,0.800205,0.06405,[ 9 12] ; [5 8],[ 8.64705882 12.35294118] ; [5.35294118 7.64705882],0
d5,1,0.824899,0.048951,[16  6] ; [9 4],[15.71428571  6.28571429] ; [9.28571429 3.71428571],0
s3,1,0.825887,0.048391,[11 11] ; [7 6],[11.31428571 10.68571429] ; [6.68571429 6.31428571],0
p4,1,0.831981,0.045012,[18  4] ; [11  2],[18.22857143  3.77142857] ; [10.77142857  2.22857143],0
a2,1,0.831981,0.045012,[ 4 18] ; [ 2 11],[ 3.77142857 18.22857143] ; [ 2.22857143 10.77142857],0
a6,1,0.886436,0.020396,[13  9] ; [8 5],[13.2  8.8] ; [7.8 5.2],0
p9,1,0.886436,0.020396,[20  2] ; [12  1],[20.11428571  1.88571429] ; [11.88571429  1.11428571],0
p10,1,0.886436,0.020396,[19  3] ; [11  2],[18.85714286  3.14285714] ; [11.14285714  1.85714286],0
p2,1,0.911815,0.012266,[18  4] ; [10  2],[18.11764706  3.88235294] ; [9.88235294 2.11764706],0
n6,1,0.929939,0.00773,[18  3] ; [11  2],[17.91176471  3.08823529] ; [11.08823529  1.91176471],0
p12,1,0.960968,0.002395,[ 5 16] ; [ 3 10],[ 4.94117647 16.05882353] ; [3.05882353 9.94117647],0
p11,1,0.98101,0.000567,[17  5] ; [10  3],[16.97142857  5.02857143] ; [10.02857143  2.97142857],0
u2,1,1.0,0.0,[2 3] ; [2 3],[2. 3.] ; [2. 3.],0
n1,1,1.0,0.0,[3 3] ; [2 2],[3. 3.] ; [2. 2.],0
