Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,312.971823,[ 82 268] ; [314  36],[198. 152.] ; [198. 152.],1
v3,1,0.02272,5.189751,[125 221] ; [151 187],[139.61403509 206.38596491] ; [136.38596491 201.61403509],0
r2,1,0.030015,4.708423,[322  26] ; [338  13],[328.58369099  19.41630901] ; [331.41630901  19.58369099],0
n3,1,0.032264,4.584439,[62 12] ; [43 20],[56.71532847 17.28467153] ; [48.28467153 14.71532847],0
a4,1,0.036356,4.380317,[140 212] ; [168 185],[153.78156028 198.21843972] ; [154.21843972 198.78156028],0
u4,1,0.043074,4.092486,[  4 350] ; [ 12 342],[  8. 346.] ; [  8. 346.],0
d5,1,0.04848,3.893256,[276  78] ; [295  57],[286.30878187  67.69121813] ; [284.69121813  67.30878187],0
a5,1,0.053383,3.731898,[248 106] ; [270  83],[259.36633663  94.63366337] ; [258.63366337  94.36633663],0
v4,1,0.054739,3.690014,[333  19] ; [342   9],[337.98008535  14.01991465] ; [337.01991465  13.98008535],0
n4,1,0.076476,3.138257,[269  84] ; [289  65],[278.60537482  74.39462518] ; [279.39462518  74.60537482],0
p9,1,0.080981,3.045109,[303  48] ; [316  33],[310.38428571  40.61571429] ; [308.61571429  40.38428571],0
p5,1,0.081838,3.028015,[ 35 319] ; [ 49 297],[ 42.48 311.52] ; [ 41.52 304.48],0
a6,1,0.089445,2.884326,[253 101] ; [230 121],[242.52765957 111.47234043] ; [240.47234043 110.52765957],0
n6,1,0.089637,2.880875,[298  56] ; [310  40],[305.72727273  48.27272727] ; [302.27272727  47.72727273],0
a8,1,0.104552,2.634693,[ 39 280] ; [ 55 274],[ 46.27469136 272.72530864] ; [ 47.72530864 281.27469136],0
n1,1,0.10676,2.601543,[22 53] ; [26 35],[26.47058824 48.52941176] ; [21.52941176 39.47058824],0
a1,1,0.108595,2.574545,[ 12 342] ; [ 21 333],[ 16.5 337.5] ; [ 16.5 337.5],0
r1,1,0.109683,2.55878,[276  77] ; [292  60],[284.40283688  68.59716312] ; [283.59716312  68.40283688],0
s1,1,0.155468,2.017763,[  6 343] ; [ 12 339],[  8.97428571 340.02571429] ; [  9.02571429 341.97428571],0
d3,1,0.246032,1.345696,[234 120] ; [247 105],[241.18130312 112.81869688] ; [239.81869688 112.18130312],0
p8,1,0.358564,0.842915,[189 158] ; [201 146],[195. 152.] ; [195. 152.],0
b1,1,0.385733,0.752351,[118 236] ; [129 225],[123.5 230.5] ; [123.5 230.5],0
v2,1,0.482909,0.492286,[194 145] ; [203 136],[198.5 140.5] ; [198.5 140.5],0
n2,1,0.547761,0.361344,[56 19] ; [49 13],[57.48175182 17.51824818] ; [47.51824818 14.48175182],0
r4,1,0.571151,0.320761,[325  29] ; [329  25],[327.  27.] ; [327.  27.],0
u2,1,0.576953,0.311186,[67 50] ; [52 33],[68.92574257 48.07425743] ; [50.07425743 34.92574257],0
b4,1,0.646562,0.210262,[212 142] ; [206 148],[209. 145.] ; [209. 145.],0
b5,1,0.647234,0.209406,[204 150] ; [210 144],[207. 147.] ; [207. 147.],0
p2,1,0.679702,0.170462,[298  53] ; [301  49],[299.92724679  51.07275321] ; [299.07275321  50.92724679],0
a7,1,0.774284,0.08224,[252 102] ; [254  98],[253.71671388 100.28328612] ; [252.28328612  99.71671388],0
b2,1,0.776458,0.080621,[ 82 130] ; [ 92 138],[ 83.45701357 128.54298643] ; [ 90.54298643 139.45701357],0
b3,1,0.776458,0.080621,[ 82 130] ; [ 92 138],[ 83.45701357 128.54298643] ; [ 90.54298643 139.45701357],0
p1,1,0.981927,0.000513,[ 29 323] ; [ 29 321],[ 29.08262108 322.91737892] ; [ 28.91737892 321.08262108],0
