Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,1e-06,23.183619,[100   9] ; [70 38],[85.39170507 23.60829493] ; [84.60829493 23.39170507],1
a4,1,0.629765,0.232379,[55 55] ; [50 57],[53.22580645 56.77419355] ; [51.77419355 55.22580645],0
v4,1,0.682419,0.167415,[106   3] ; [103   4],[105.46759259   3.53240741] ; [103.53240741   3.46759259],0
d3,1,0.695402,0.153299,[84 26] ; [80 28],[82.75229358 27.24770642] ; [81.24770642 26.75229358],0
r3,1,0.710025,0.138252,[105   4] ; [105   3],[105.48387097   3.51612903] ; [104.51612903   3.48387097],0
u4,1,0.719202,0.129259,[  4 106] ; [  3 105],[  3.53211009 106.46788991] ; [  3.46788991 104.53211009],0
a7,1,0.729702,0.119386,[80 29] ; [77 31],[78.86175115 30.13824885] ; [78.13824885 29.86175115],0
d1,1,0.730331,0.118808,[74 36] ; [75 33],[75.18348624 34.81651376] ; [73.81651376 34.18348624],0
u2,1,0.732455,0.11687,[14  9] ; [14 11],[13.41666667  9.58333333] ; [14.58333333 10.41666667],0
d4,1,0.827588,0.047435,[93 16] ; [91 17],[92.42396313 16.57603687] ; [91.57603687 16.42396313],0
s6,1,0.843282,0.039084,[79 27] ; [77 28],[78.36966825 27.63033175] ; [77.63033175 27.36966825],0
v2,1,0.861325,0.030516,[87 22] ; [84 20],[87.50704225 21.49295775] ; [83.49295775 20.50704225],0
u3,1,0.900073,0.015768,[13 10] ; [14 10],[13.21276596  9.78723404] ; [13.78723404 10.21276596],0
s2,1,0.960643,0.002435,[64 45] ; [62 43],[64.17757009 44.82242991] ; [61.82242991 43.17757009],0
r4,1,0.976305,0.000882,[105   5] ; [103   5],[104.95412844   5.04587156] ; [103.04587156   4.95412844],0
d2,1,0.986002,0.000308,[62 48] ; [61 47],[62.06422018 47.93577982] ; [60.93577982 47.06422018],0
