Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,4e-06,21.288206,[105  67] ; [37 75],[86. 86.] ; [56. 56.],1
s3,1,0.656141,0.198246,[128  44] ; [89 27],[129.59722222  42.40277778] ; [87.40277778 28.59722222],0
v4,1,0.681381,0.168575,[167   6] ; [112   3],[167.59375   5.40625] ; [111.40625   3.59375],0
b1,1,0.739665,0.110421,[ 69 106] ; [48 68],[ 70.36082474 104.63917526] ; [46.63917526 69.36082474],0
p1,1,0.759563,0.093669,[ 20 154] ; [ 12 104],[ 19.2 154.8] ; [ 12.8 103.2],0
a6,1,0.86489,0.028952,[116  57] ; [76 39],[115.33333333  57.66666667] ; [76.66666667 38.33333333],0
p11,1,0.877691,0.023684,[149  26] ; [98 18],[148.5395189  26.4604811] ; [98.4604811 17.5395189],0
a7,1,0.892036,0.018422,[122  53] ; [80 36],[121.47766323  53.52233677] ; [80.52233677 35.47766323],0
s1,1,0.912158,0.01217,[  7 166] ; [  5 111],[  7.183391 165.816609] ; [  4.816609 111.183391],0
p2,1,0.988286,0.000216,[160  15] ; [106  10],[159.96563574  15.03436426] ; [106.03436426   9.96563574],0
u2,1,0.991125,0.000124,[17  8] ; [19  9],[16.98113208  8.01886792] ; [19.01886792  8.98113208],0
r2,1,0.996348,2.1e-05,[166   6] ; [111   4],[166.00696864   5.99303136] ; [110.99303136   4.00696864],0
