Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,1.1e-05,19.301385,[ 7 23] ; [42 16],[16.70454545 13.29545455] ; [32.29545455 25.70454545],1
r3,1,0.395326,0.722496,[25  5] ; [52  6],[26.25  3.75] ; [50.75  7.25],0
s8,1,0.416263,0.660843,[13 17] ; [20 38],[11.25 18.75] ; [21.75 36.25],0
p4,1,0.416263,0.660843,[17 13] ; [38 20],[18.75 11.25] ; [36.25 21.75],0
s4,1,0.419415,0.651955,[ 5 25] ; [14 44],[ 6.47727273 23.52272727] ; [12.52272727 45.47727273],0
p6,1,0.465832,0.531845,[12 18] ; [27 29],[13.60465116 16.39534884] ; [25.39534884 30.60465116],0
n4,1,0.500253,0.4544,[18 12] ; [39 19],[19.43181818 10.56818182] ; [37.56818182 20.43181818],0
a8,1,0.593718,0.284575,[ 3 25] ; [ 4 51],[ 2.36144578 25.63855422] ; [ 4.63855422 50.36144578],0
s7,1,0.73003,0.119084,[11 18] ; [23 32],[11.73809524 17.26190476] ; [22.26190476 32.73809524],0
n5,1,0.736686,0.11306,[20 10] ; [40 17],[20.68965517  9.31034483] ; [39.31034483 17.68965517],0
n6,1,0.743475,0.107096,[25  5] ; [49  8],[25.51724138  4.48275862] ; [48.48275862  8.51724138],0
a1,1,0.748127,0.103112,[ 2 28] ; [ 5 53],[ 2.38636364 27.61363636] ; [ 4.61363636 53.38636364],0
p5,1,0.763299,0.090692,[ 5 25] ; [11 46],[ 5.51724138 24.48275862] ; [10.48275862 46.51724138],0
p12,1,0.793049,0.068829,[ 3 26] ; [ 5 53],[ 2.66666667 26.33333333] ; [ 5.33333333 52.66666667],0
b4,1,0.860279,0.030983,[17 13] ; [34 24],[17.38636364 12.61363636] ; [33.61363636 24.38636364],0
s2,1,0.869546,0.026973,[14 16] ; [26 32],[13.63636364 16.36363636] ; [26.36363636 31.63636364],0
s3,1,0.879098,0.023138,[13 16] ; [27 31],[13.33333333 15.66666667] ; [26.66666667 31.33333333],0
u2,1,0.897374,0.016636,[11 11] ; [14 13],[11.2244898 10.7755102] ; [13.7755102 13.2244898],0
