Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1.7e-05,18.477967,[ 9 20] ; [97 36],[18.97530864 10.02469136] ; [87.02469136 45.97530864],1
s8,1,0.515803,0.422277,[ 8 21] ; [45 88],[ 9.48765432 19.51234568] ; [43.51234568 89.48765432],0
n2,1,0.521215,0.411489,[7 3] ; [31  8],[7.75510204 2.24489796] ; [30.24489796  8.75510204],0
b2,1,0.532749,0.389145,[ 5 13] ; [27 49],[ 6.12765957 11.87234043] ; [25.87234043 50.12765957],0
b3,1,0.532749,0.389145,[ 5 13] ; [27 49],[ 6.12765957 11.87234043] ; [25.87234043 50.12765957],0
a5,1,0.543315,0.369431,[15 14] ; [77 56],[16.4691358 12.5308642] ; [75.5308642 57.4691358],0
n5,1,0.574717,0.314854,[22  7] ; [94 39],[20.7654321  8.2345679] ; [95.2345679 37.7654321],0
a1,1,0.611756,0.257625,[ 3 26] ; [ 10 123],[ 2.32716049 26.67283951] ; [ 10.67283951 122.32716049],0
p7,1,0.665636,0.186749,[14 15] ; [68 61],[15.05063291 13.94936709] ; [66.94936709 62.05063291],0
s1,1,0.70766,0.140625,[ 1 28] ; [  3 130],[ 0.71604938 28.28395062] ; [  3.28395062 129.71604938],0
n3,1,0.780596,0.077586,[7 3] ; [29 10],[7.34693878 2.65306122] ; [28.65306122 10.34693878],0
p8,1,0.783038,0.075824,[12 17] ; [57 72],[12.66455696 16.33544304] ; [56.33544304 72.66455696],0
u1,1,0.79865,0.065073,[ 1 28] ; [  6 127],[ 1.25308642 27.74691358] ; [  5.74691358 127.25308642],0
a6,1,0.813469,0.055674,[15 14] ; [72 61],[15.57407407 13.42592593] ; [71.42592593 61.57407407],0
s4,1,0.814389,0.055116,[ 6 23] ; [ 25 108],[ 5.54938272 23.45061728] ; [ 25.45061728 107.54938272],0
n4,1,0.884777,0.021001,[19 10] ; [89 44],[19.33333333  9.66666667] ; [88.66666667 44.33333333],0
p11,1,0.894842,0.017472,[23  6] ; [104  29],[22.7345679  6.2654321] ; [104.2654321  28.7345679],0
r3,1,0.931415,0.007407,[25  3] ; [118  15],[24.86956522  3.13043478] ; [118.13043478  14.86956522],0
n1,1,0.953054,0.003466,[4 6] ; [16 23],[4.08163265 5.91836735] ; [15.91836735 23.08163265],0
