Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,88.429896,[364  99] ; [ 71 107],[314.20436817 148.79563183] ; [120.79563183  57.20436817],1
p8,1,0.04578,3.989658,[262 199] ; [84 91],[250.79559748 210.20440252] ; [95.20440252 79.79559748],0
d4,1,0.060345,3.52788,[391  73] ; [138  39],[382.92667707  81.07332293] ; [146.07332293  30.92667707],0
b5,1,0.061729,3.490305,[294 172] ; [98 80],[283.65217391 182.34782609] ; [108.34782609  69.65217391],0
u2,1,0.070594,3.269154,[82 48] ; [22 24],[76.81818182 53.18181818] ; [27.18181818 18.81818182],0
a5,1,0.079491,3.075287,[356 110] ; [124  54],[347.32919255 118.67080745] ; [132.67080745  45.32919255],0
n5,1,0.099055,2.720695,[349 112] ; [144  32],[356.78649922 104.21350078] ; [136.21350078  39.78649922],0
p12,1,0.115604,2.475891,[ 48 417] ; [ 11 164],[ 42.8671875 422.1328125] ; [ 16.1328125 158.8671875],0
p7,1,0.139621,2.182133,[300 154] ; [104  70],[292.06369427 161.93630573] ; [111.93630573  62.06369427],0
p3,1,0.177886,1.815196,[247 218] ; [83 93],[239.39157566 225.60842434] ; [90.60842434 85.39157566],0
a1,1,0.196095,1.67122,[ 22 444] ; [ 13 165],[ 25.32608696 440.67391304] ; [  9.67391304 168.32608696],0
p1,1,0.213557,1.547148,[ 46 417] ; [ 12 165],[ 41.959375 421.040625] ; [ 16.040625 160.959375],0
p4,1,0.268279,1.225524,[290 174] ; [101  74],[283.91862285 180.08137715] ; [107.08137715  67.91862285],0
s1,1,0.28201,1.157379,[ 15 443] ; [  3 174],[ 12.98267717 445.01732283] ; [  5.01732283 171.98267717],0
p2,1,0.282137,1.156766,[407  57] ; [147  27],[402.90909091  61.09090909] ; [151.09090909  22.90909091],0
s2,1,0.367167,0.813232,[226 236] ; [80 98],[220.89375 241.10625] ; [85.10625 92.89375],0
a8,1,0.381782,0.764956,[ 71 343] ; [ 24 145],[ 67.46140652 346.53859348] ; [ 27.53859348 141.46140652],0
s6,1,0.387551,0.746611,[305 155] ; [109  65],[300.3785489 159.6214511] ; [113.6214511  60.3785489],0
s8,1,0.4246,0.637549,[207 255] ; [86 92],[211.509375 250.490625] ; [81.490625 96.509375],0
n4,1,0.449951,0.570775,[363 102] ; [143  34],[366.4953271  98.5046729] ; [139.5046729  37.4953271],0
n6,1,0.466293,0.530748,[394  68] ; [146  30],[391.03448276  70.96551724] ; [148.96551724  27.03448276],0
u4,1,0.474487,0.511507,[ 11 455] ; [  6 172],[ 12.30124224 453.69875776] ; [  4.69875776 173.30124224],0
a3,1,0.500443,0.453997,[333 130] ; [132  45],[336.3984375 126.6015625] ; [128.6015625  48.3984375],0
b4,1,0.52751,0.399185,[272 194] ; [99 79],[268.45652174 197.54347826] ; [102.54347826  75.45652174],0
s5,1,0.551933,0.353866,[138 315] ; [ 56 114],[141.06260032 311.93739968] ; [ 52.93739968 117.06260032],0
v3,1,0.56352,0.333645,[188 255] ; [ 69 104],[184.82305195 258.17694805] ; [ 72.17694805 100.82305195],0
p5,1,0.667,0.185131,[ 60 402] ; [ 25 150],[ 61.64835165 400.35164835] ; [ 23.35164835 151.64835165],0
v1,1,0.694685,0.15406,[259 191] ; [96 76],[256.83279743 193.16720257] ; [98.16720257 73.83279743],0
p6,1,0.71903,0.129424,[171 291] ; [ 61 111],[169.05993691 292.94006309] ; [ 62.94006309 109.05993691],0
n2,1,0.753301,0.098778,[67 23] ; [36 14],[66.21428571 23.78571429] ; [36.78571429 13.21428571],0
n1,1,0.757709,0.095166,[35 54] ; [21 29],[35.85611511 53.14388489] ; [20.14388489 29.85611511],0
s7,1,0.762532,0.091299,[215 227] ; [86 86],[216.68078176 225.31921824] ; [84.31921824 87.68078176],0
a4,1,0.788763,0.07178,[214 250] ; [80 98],[212.48598131 251.51401869] ; [81.51401869 96.48598131],0
s3,1,0.807548,0.059336,[249 208] ; [94 82],[247.63191153 209.36808847] ; [95.36808847 80.63191153],0
n3,1,0.809771,0.057947,[66 24] ; [35 14],[65.39568345 24.60431655] ; [35.60431655 13.39568345],0
p11,1,0.888971,0.01949,[387  79] ; [147  31],[386.40372671  79.59627329] ; [147.59627329  30.40372671],0
d2,1,0.928982,0.007943,[221 243] ; [85 92],[221.50390016 242.49609984] ; [84.49609984 92.50390016],0
