Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,5.3e-05,16.330645,[29 25] ; [ 2 25],[20.66666667 33.33333333] ; [10.33333333 16.66666667],1
d3,1,0.095773,2.774552,[32 21] ; [11 16],[28.4875 24.5125] ; [14.5125 12.4875],0
b5,1,0.11273,2.515528,[34 20] ; [12 15],[30.66666667 23.33333333] ; [15.33333333 11.66666667],0
p9,1,0.118465,2.4375,[39 13] ; [15 11],[36. 16.] ; [18.  8.],0
p6,1,0.12797,2.316956,[15 34] ; [ 4 23],[12.25 36.75] ; [ 6.75 20.25],0
a2,1,0.134055,2.24491,[11 43] ; [ 2 25],[ 8.66666667 45.33333333] ; [ 4.33333333 22.66666667],0
n1,1,0.143235,2.142857,[ 6 10] ; [9 5],[8. 8.] ; [7. 7.],0
s7,1,0.145271,2.121216,[18 33] ; [ 5 21],[15.23376623 35.76623377] ; [ 7.76623377 18.23376623],0
d2,1,0.150121,2.071023,[25 29] ; [ 8 19],[22. 32.] ; [11. 16.],0
s6,1,0.157014,2.002747,[29 25] ; [10 17],[26. 28.] ; [13. 14.],0
u3,1,0.193931,1.6875,[7 5] ; [ 5 10],[5.33333333 6.66666667] ; [6.66666667 8.33333333],0
b4,1,0.20869,1.580488,[30 24] ; [11 16],[27.33333333 26.66666667] ; [13.66666667 13.33333333],0
p10,1,0.213365,1.548449,[33 18] ; [13 13],[30.46753247 20.53246753] ; [15.53246753 10.46753247],0
a4,1,0.328972,0.952941,[22 32] ; [ 8 19],[20. 34.] ; [10. 17.],0
v3,1,0.332723,0.938272,[14 35] ; [ 5 22],[12.25 36.75] ; [ 6.75 20.25],0
p3,1,0.339289,0.913114,[15 38] ; [ 5 22],[13.25 39.75] ; [ 6.75 20.25],0
s2,1,0.379304,0.772955,[21 32] ; [ 8 19],[19.2125 33.7875] ; [ 9.7875 17.2125],0
a8,1,0.379721,0.771606,[ 8 43] ; [ 6 19],[ 9.39473684 41.60526316] ; [ 4.60526316 20.39473684],0
p1,1,0.468304,0.525974,[ 2 52] ; [ 2 25],[ 2.66666667 51.33333333] ; [ 1.33333333 25.66666667],0
n4,1,0.485826,0.485757,[40 14] ; [18  9],[38.66666667 15.33333333] ; [19.33333333  7.66666667],0
b3,1,0.493291,0.46934,[ 7 22] ; [ 6 12],[ 8.0212766 20.9787234] ; [ 4.9787234 13.0212766],0
b2,1,0.493291,0.46934,[ 7 22] ; [ 6 12],[ 8.0212766 20.9787234] ; [ 4.9787234 13.0212766],0
p5,1,0.525539,0.403011,[ 4 49] ; [ 1 25],[ 3.35443038 49.64556962] ; [ 1.64556962 24.35443038],0
b1,1,0.525809,0.402484,[32 22] ; [14 13],[30.66666667 23.33333333] ; [15.33333333 11.66666667],0
a1,1,0.576003,0.312741,[ 4 50] ; [ 3 24],[ 4.66666667 49.33333333] ; [ 2.33333333 24.66666667],0
s3,1,0.630681,0.231139,[28 24] ; [13 14],[26.98734177 25.01265823] ; [14.01265823 12.98734177],0
s1,1,0.653794,0.201151,[ 1 49] ; [ 1 26],[ 1.2987013 48.7012987] ; [ 0.7012987 26.2987013],0
n2,1,0.680724,0.169312,[14  4] ; [10  4],[13.5  4.5] ; [10.5  3.5],0
u1,1,0.744073,0.106579,[ 3 51] ; [ 2 25],[ 3.33333333 50.66666667] ; [ 1.66666667 25.33333333],0
n3,1,0.756014,0.096547,[10  7] ; [9 5],[10.41935484  6.58064516] ; [8.58064516 5.41935484],0
s4,1,0.818604,0.052597,[ 7 47] ; [ 4 23],[ 7.33333333 46.66666667] ; [ 3.66666667 23.33333333],0
