Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,7e-06,20.094307,[39 13] ; [ 8 24],[29.0952381 22.9047619] ; [17.9047619 14.0952381],1
p3,1,0.435458,0.608222,[14 38] ; [ 6 25],[12.53012048 39.46987952] ; [ 7.46987952 23.53012048],0
b1,1,0.447521,0.576923,[32 20] ; [17 15],[30.33333333 21.66666667] ; [18.66666667 13.33333333],0
n4,1,0.447521,0.576923,[32 20] ; [17 15],[30.33333333 21.66666667] ; [18.66666667 13.33333333],0
d1,1,0.447521,0.576923,[20 32] ; [15 17],[21.66666667 30.33333333] ; [13.33333333 18.66666667],0
v2,1,0.462199,0.540564,[20 31] ; [10 22],[18.43373494 32.56626506] ; [11.56626506 20.43373494],0
b3,1,0.517557,0.418758,[10 21] ; [ 9 13],[11.11320755 19.88679245] ; [ 7.88679245 14.11320755],0
b2,1,0.517557,0.418758,[10 21] ; [ 9 13],[11.11320755 19.88679245] ; [ 7.88679245 14.11320755],0
d4,1,0.532738,0.389166,[39 13] ; [22 10],[37.76190476 14.23809524] ; [23.23809524  8.76190476],0
n1,1,0.560891,0.338164,[10 13] ; [4 8],[ 9.2 13.8] ; [4.8 7.2],0
u1,1,0.587855,0.293706,[ 5 47] ; [ 2 30],[ 4.33333333 47.66666667] ; [ 2.66666667 29.33333333],0
p5,1,0.600727,0.273901,[ 3 49] ; [ 1 30],[ 2.5060241 49.4939759] ; [ 1.4939759 29.5060241],0
v1,1,0.603848,0.269231,[14 38] ; [ 7 25],[13. 39.] ; [ 8. 24.],0
s1,1,0.713694,0.134615,[ 8 44] ; [ 4 28],[ 7.42857143 44.57142857] ; [ 4.57142857 27.42857143],0
a2,1,0.713694,0.134615,[ 8 44] ; [ 4 28],[ 7.42857143 44.57142857] ; [ 4.57142857 27.42857143],0
b5,1,0.731781,0.117483,[24 28] ; [16 16],[24.76190476 27.23809524] ; [15.23809524 16.76190476],0
p4,1,0.75346,0.098647,[11 39] ; [ 8 24],[11.58536585 38.41463415] ; [ 7.41463415 24.58536585],0
p7,1,0.83222,0.044883,[13 37] ; [ 9 23],[13.41463415 36.58536585] ; [ 8.58536585 23.41463415],0
p6,1,0.954914,0.003196,[ 5 47] ; [ 3 27],[ 5.07317073 46.92682927] ; [ 2.92682927 27.07317073],0
a3,1,0.960341,0.002473,[30 21] ; [19 13],[30.10843373 20.89156627] ; [18.89156627 13.10843373],0
a5,1,0.96562,0.001858,[29 23] ; [18 14],[29.0952381 22.9047619] ; [17.9047619 14.0952381],0
n5,1,0.96562,0.001858,[29 23] ; [18 14],[29.0952381 22.9047619] ; [17.9047619 14.0952381],0
a4,1,0.982075,0.000505,[20 32] ; [12 19],[20.04819277 31.95180723] ; [11.95180723 19.04819277],0
