Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,1e-06,24.75,[11 22] ; [55 11],[22. 11.] ; [44. 22.],1
n3,1,0.524052,0.405911,[8 1] ; [11  3],[7.43478261 1.56521739] ; [11.56521739  2.43478261],0
d4,1,0.573566,0.316753,[28  6] ; [58  9],[28.95049505  5.04950495] ; [57.04950495  9.95049505],0
d5,1,0.648729,0.207506,[25  9] ; [52 15],[25.92079208  8.07920792] ; [51.07920792 15.92079208],0
b4,1,0.729266,0.119787,[23 11] ; [43 24],[22.21782178 11.78217822] ; [43.78217822 23.21782178],0
s1,1,0.758426,0.094586,[ 2 32] ; [ 3 64],[ 1.68316832 32.31683168] ; [ 3.31683168 63.68316832],0
s7,1,0.777606,0.079773,[11 17] ; [28 38],[11.61702128 16.38297872] ; [27.38297872 38.61702128],0
s5,1,0.797857,0.065598,[10 21] ; [22 41],[10.55319149 20.44680851] ; [21.44680851 41.55319149],0
n1,1,0.808605,0.058673,[3 6] ; [ 4 10],[2.73913043 6.26086957] ; [4.26086957 9.73913043],0
p1,1,0.838391,0.041597,[ 5 28] ; [ 9 57],[ 4.66666667 28.33333333] ; [ 9.33333333 56.66666667],0
d3,1,0.911939,0.012231,[24 10] ; [48 19],[24.23762376  9.76237624] ; [47.76237624 19.23762376],0
a4,1,0.92799,0.008167,[13 21] ; [25 42],[12.79207921 21.20792079] ; [25.20792079 41.79207921],0
d1,1,0.949832,0.003959,[19 15] ; [37 30],[18.85148515 15.14851485] ; [37.14851485 29.85148515],0
s3,1,0.952205,0.003593,[18 16] ; [34 31],[17.85858586 16.14141414] ; [34.14141414 30.85858586],0
s6,1,0.958342,0.002728,[22 12] ; [43 24],[21.88118812 12.11881188] ; [43.11881188 23.88118812],0
v3,1,0.975363,0.000954,[ 9 21] ; [19 45],[ 8.93617021 21.06382979] ; [19.06382979 44.93617021],0
a1,1,0.985927,0.000311,[ 2 32] ; [ 4 63],[ 2.01980198 31.98019802] ; [ 3.98019802 63.01980198],0
