Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,2e-06,22.424907,[14 24] ; [45  8],[24.63736264 13.36263736] ; [34.36263736 18.63736264],1
d5,1,0.321256,0.983826,[21 17] ; [36 19],[23.29032258 14.70967742] ; [33.70967742 21.29032258],0
u1,1,0.329327,0.951541,[ 1 37] ; [ 4 51],[ 2.04301075 35.95698925] ; [ 2.95698925 52.04301075],0
u3,1,0.344157,0.894886,[ 7 14] ; [ 5 19],[ 5.6 15.4] ; [ 6.4 17.6],0
n6,1,0.358154,0.844357,[20 18] ; [33 20],[22.13186813 15.86813187] ; [30.86813187 22.13186813],0
p9,1,0.370664,0.801438,[16 21] ; [28 25],[18.08888889 18.91111111] ; [25.91111111 27.08888889],0
s1,1,0.370777,0.801058,[ 3 35] ; [ 2 53],[ 2.04301075 35.95698925] ; [ 2.95698925 52.04301075],0
d1,1,0.407147,0.687118,[12 26] ; [22 33],[13.89247312 24.10752688] ; [20.10752688 34.89247312],0
s4,1,0.473937,0.512782,[10 28] ; [11 44],[ 8.58064516 29.41935484] ; [12.41935484 42.58064516],0
n1,1,0.494515,0.466687,[ 5 14] ; [ 9 16],[ 6.04545455 12.95454545] ; [ 7.95454545 17.04545455],0
r2,1,0.54039,0.374817,[23 15] ; [27 23],[21.59090909 16.40909091] ; [28.40909091 21.59090909],0
v2,1,0.541095,0.373514,[ 9 28] ; [16 37],[10.27777778 26.72222222] ; [14.72222222 38.27777778],0
d3,1,0.578761,0.308242,[19 18] ; [25 30],[17.69565217 19.30434783] ; [26.30434783 28.69565217],0
p4,1,0.588357,0.292917,[12 26] ; [20 34],[13.2173913 24.7826087] ; [18.7826087 35.2173913],0
v4,1,0.597975,0.278061,[23 14] ; [30 23],[21.78888889 15.21111111] ; [31.21111111 21.78888889],0
a2,1,0.628858,0.233612,[ 3 35] ; [ 6 49],[ 3.67741935 34.32258065] ; [ 5.32258065 49.67741935],0
r1,1,0.652901,0.202262,[12 26] ; [15 40],[11.03225806 26.96774194] ; [15.96774194 39.03225806],0
a8,1,0.685542,0.163954,[ 2 33] ; [ 4 46],[ 2.47058824 32.52941176] ; [ 3.52941176 46.47058824],0
s2,1,0.728155,0.120812,[10 28] ; [16 38],[10.73913043 27.26086957] ; [15.26086957 38.73913043],0
p11,1,0.795858,0.066932,[19 19] ; [26 29],[18.38709677 19.61290323] ; [26.61290323 28.38709677],0
s5,1,0.805427,0.060678,[ 5 32] ; [ 8 44],[ 5.40449438 31.59550562] ; [ 7.59550562 44.40449438],0
u2,1,0.80725,0.059524,[ 8 13] ; [10 14],[ 8.4 12.6] ; [ 9.6 14.4],0
s3,1,0.827455,0.04751,[14 24] ; [18 34],[13.51111111 24.48888889] ; [18.48888889 33.51111111],0
p10,1,0.830367,0.045895,[19 18] ; [26 27],[18.5 18.5] ; [26.5 26.5],0
p7,1,0.83458,0.04361,[13 23] ; [18 35],[12.53932584 23.46067416] ; [18.46067416 34.53932584],0
b4,1,0.839116,0.041219,[22 16] ; [33 22],[22.47311828 15.52688172] ; [32.52688172 22.47311828],0
d4,1,0.84218,0.039643,[24 14] ; [33 21],[23.54347826 14.45652174] ; [33.45652174 20.54347826],0
b1,1,0.855603,0.033114,[18 20] ; [25 30],[17.56989247 20.43010753] ; [25.43010753 29.56989247],0
s8,1,0.898029,0.016423,[ 6 32] ; [ 8 46],[ 5.7826087 32.2173913] ; [ 8.2173913 45.7826087],0
p6,1,0.956985,0.002909,[ 7 31] ; [10 43],[ 7.0989011 30.9010989] ; [ 9.9010989 43.0989011],0
n3,1,0.976903,0.000838,[ 8 10] ; [11 14],[ 7.95348837 10.04651163] ; [11.04651163 13.95348837],0
