Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.0,79.2,[72 24] ; [ 60 196],[36. 60.] ; [ 96. 160.],1
b5,1,0.357557,0.846454,[56 40] ; [163  93],[59.72727273 36.27272727] ; [159.27272727  96.72727273],0
a1,1,0.360999,0.834416,[ 3 93] ; [ 14 242],[ 4.63636364 91.36363636] ; [ 12.36363636 243.63636364],0
d4,1,0.454804,0.558653,[77 19] ; [195  60],[74.39316239 21.60683761] ; [197.60683761  57.39316239],0
s1,1,0.470625,0.520509,[ 5 90] ; [  9 244],[ 3.82183908 91.17816092] ; [ 10.17816092 242.82183908],0
n2,1,0.472748,0.515546,[19  7] ; [63 33],[17.47540984  8.52459016] ; [64.52459016 31.47540984],0
n1,1,0.482463,0.493291,[12 14] ; [37 59],[10.44262295 15.55737705] ; [38.55737705 57.44262295],0
d3,1,0.545185,0.366014,[57 39] ; [161  95],[59.45454545 36.54545455] ; [158.54545455  97.45454545],0
u1,1,0.571569,0.320065,[15 81] ; [ 34 222],[13.36363636 82.63636364] ; [ 35.63636364 220.36363636],0
a6,1,0.63305,0.227947,[60 36] ; [167  89],[61.90909091 34.09090909] ; [165.09090909  90.90909091],0
v3,1,0.661018,0.19229,[29 60] ; [ 74 172],[27.3641791 61.6358209] ; [ 75.6358209 170.3641791],0
s4,1,0.73372,0.115723,[15 80] ; [ 44 210],[16.06017192 78.93982808] ; [ 42.93982808 211.06017192],0
u3,1,0.737438,0.112391,[17 12] ; [54 44],[16.21259843 12.78740157] ; [54.78740157 43.21259843],0
a7,1,0.816389,0.053913,[66 30] ; [172  83],[65.09401709 30.90598291] ; [172.90598291  82.09401709],0
b4,1,0.840403,0.040553,[60 36] ; [157  99],[59.18181818 36.81818182] ; [157.81818182  98.18181818],0
u2,1,0.924116,0.009073,[14 14] ; [50 48],[14.22222222 13.77777778] ; [49.77777778 48.22222222],0
b2,1,0.940459,0.005579,[21 36] ; [52 87],[21.22959184 35.77040816] ; [51.77040816 87.22959184],0
b3,1,0.940459,0.005579,[21 36] ; [52 87],[21.22959184 35.77040816] ; [51.77040816 87.22959184],0
a2,1,0.978254,0.000743,[19 77] ; [ 51 205],[19.09090909 76.90909091] ; [ 50.90909091 205.09090909],0
