Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,6e-06,20.458438,[26  7] ; [ 8 26],[16.74626866 16.25373134] ; [17.25373134 16.74626866],1
b1,1,0.720021,0.128472,[16 17] ; [15 19],[15.26865672 17.73134328] ; [15.73134328 18.26865672],0
p7,1,0.724488,0.124233,[22 10] ; [24  9],[22.64615385  9.35384615] ; [23.35384615  9.64615385],0
r4,1,0.729385,0.119677,[22 11] ; [24 10],[22.65671642 10.34328358] ; [23.34328358 10.65671642],0
a8,1,0.754247,0.097997,[ 4 29] ; [ 3 28],[ 3.609375 29.390625] ; [ 3.390625 27.609375],0
a7,1,0.799687,0.06439,[20 13] ; [21 12],[20.5 12.5] ; [20.5 12.5],0
p11,1,0.803344,0.062012,[27  6] ; [27  7],[26.59701493  6.40298507] ; [27.40298507  6.59701493],0
n1,1,0.854757,0.033508,[5 5] ; [6 7],[4.7826087 5.2173913] ; [6.2173913 6.7826087],0
d3,1,0.875315,0.024621,[20 13] ; [20 12],[20.30769231 12.69230769] ; [19.69230769 12.30769231],0
p8,1,0.917544,0.010718,[19 14] ; [20 14],[19.20895522 13.79104478] ; [19.79104478 14.20895522],0
b4,1,0.922489,0.009467,[20 13] ; [21 13],[20.19402985 12.80597015] ; [20.80597015 13.19402985],0
a4,1,0.927269,0.008332,[12 21] ; [12 22],[11.82089552 21.17910448] ; [12.17910448 21.82089552],0
p4,1,0.936473,0.006353,[23 10] ; [24 10],[23.14925373  9.85074627] ; [23.85074627 10.14925373],0
n6,1,0.949928,0.003943,[26  7] ; [27  7],[26.10447761  6.89552239] ; [26.89552239  7.10447761],0
u2,1,0.952092,0.00361,[7 4] ; [10  6],[6.92592593 4.07407407] ; [10.07407407  5.92592593],0
p5,1,0.964114,0.002024,[ 4 29] ; [ 4 30],[ 3.94029851 29.05970149] ; [ 4.05970149 29.94029851],0
r3,1,0.964114,0.002024,[29  4] ; [30  4],[29.05970149  3.94029851] ; [29.94029851  4.05970149],0
a1,1,0.969433,0.001468,[ 3 30] ; [ 3 31],[ 2.95522388 30.04477612] ; [ 3.04477612 30.95522388],0
