Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,1e-06,25.130801,[22  4] ; [ 9 32],[12.02985075 13.97014925] ; [18.97014925 22.02985075],1
r3,1,0.15779,1.995277,[27  3] ; [34 10],[24.72972973  5.27027027] ; [36.27027027  7.72972973],0
v4,1,0.232363,1.426335,[28  2] ; [37  7],[26.35135135  3.64864865] ; [38.64864865  5.35135135],0
a3,1,0.254309,1.299475,[22  8] ; [26 17],[19.7260274 10.2739726] ; [28.2739726 14.7260274],0
b4,1,0.285136,1.142447,[22  8] ; [27 17],[19.86486486 10.13513514] ; [29.13513514 14.86486486],0
a8,1,0.292781,1.10679,[ 4 22] ; [ 3 38],[ 2.71641791 23.28358209] ; [ 4.28358209 36.71641791],0
p8,1,0.309913,1.031046,[10 20] ; [19 23],[12.08333333 17.91666667] ; [16.91666667 25.08333333],0
u2,1,0.319499,0.990997,[5 3] ; [ 7 10],[3.84 4.16] ; [8.16 8.84],0
s1,1,0.320522,0.986815,[ 1 29] ; [ 4 39],[ 2.05479452 27.94520548] ; [ 2.94520548 40.05479452],0
a7,1,0.381639,0.765414,[22  8] ; [28 16],[20.27027027  9.72972973] ; [29.72972973 14.27027027],0
p5,1,0.382054,0.764082,[ 4 26] ; [ 3 39],[ 2.91666667 27.08333333] ; [ 4.08333333 37.91666667],0
n1,1,0.415522,0.662946,[3 5] ; [ 3 11],[2.18181818 5.81818182] ; [ 3.81818182 10.18181818],0
s3,1,0.491771,0.472648,[15 15] ; [18 25],[13.56164384 16.43835616] ; [19.43835616 23.56164384],0
p7,1,0.518423,0.417029,[15 14] ; [18 23],[13.67142857 15.32857143] ; [19.32857143 21.67142857],0
n2,1,0.540291,0.375,[6 2] ; [10  6],[5.33333333 2.66666667] ; [10.66666667  5.33333333],0
p1,1,0.591386,0.288185,[ 3 26] ; [ 3 41],[ 2.38356164 26.61643836] ; [ 3.61643836 40.38356164],0
s4,1,0.649806,0.206145,[ 6 24] ; [ 7 37],[ 5.27027027 24.72972973] ; [ 7.72972973 36.27027027],0
b5,1,0.665049,0.187448,[19 11] ; [30 14],[19.86486486 10.13513514] ; [29.13513514 14.86486486],0
r2,1,0.709674,0.138602,[28  2] ; [41  2],[28.35616438  1.64383562] ; [40.64383562  2.35616438],0
d4,1,0.767726,0.087232,[23  7] ; [35  9],[23.51351351  6.48648649] ; [34.48648649  9.51351351],0
a1,1,0.89562,0.017213,[ 3 27] ; [ 4 40],[ 2.83783784 27.16216216] ; [ 4.16216216 39.83783784],0
n3,1,0.897785,0.016502,[5 2] ; [11  5],[4.86956522 2.13043478] ; [11.13043478  4.86956522],0
b3,1,0.91483,0.011438,[ 5 13] ; [ 5 12],[ 5.14285714 12.85714286] ; [ 4.85714286 12.14285714],0
b2,1,0.91483,0.011438,[ 5 13] ; [ 5 12],[ 5.14285714 12.85714286] ; [ 4.85714286 12.14285714],0
d3,1,0.954037,0.003322,[22  8] ; [32 12],[21.89189189  8.10810811] ; [32.10810811 11.89189189],0
