Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,6.1e-05,16.073096,[62 11] ; [5 9],[56.2183908 16.7816092] ; [10.7816092  3.2183908],1
d3,1,0.499868,0.455216,[43 29] ; [7 7],[41.86046512 30.13953488] ; [8.13953488 5.86046512],0
p7,1,0.515186,0.423521,[41 28] ; [7 7],[39.90361446 29.09638554] ; [8.09638554 5.90361446],0
n1,1,0.545972,0.364583,[ 7 21] ; [1 6],[ 6.4 21.6] ; [1.6 5.4],0
p1,1,0.619616,0.246407,[ 3 70] ; [ 1 13],[ 3.35632184 69.64367816] ; [ 0.64367816 13.35632184],0
b3,1,0.674429,0.176465,[14 24] ; [2 5],[13.51111111 24.48888889] ; [2.48888889 4.51111111],0
b2,1,0.674429,0.176465,[14 24] ; [2 5],[13.51111111 24.48888889] ; [2.48888889 4.51111111],0
p6,1,0.697118,0.151487,[19 53] ; [ 3 11],[18.41860465 53.58139535] ; [ 3.58139535 10.41860465],0
p4,1,0.726823,0.122049,[35 38] ; [6 8],[34.40229885 38.59770115] ; [6.59770115 7.40229885],0
d2,1,0.757571,0.095279,[23 50] ; [5 9],[23.49425287 49.50574713] ; [4.50574713 9.49425287],0
a4,1,0.827843,0.047293,[23 50] ; [ 4 10],[22.65517241 50.34482759] ; [4.34482759 9.65517241],0
p11,1,0.843263,0.039094,[54 19] ; [10  4],[53.70114943 19.29885057] ; [10.29885057  3.70114943],0
u1,1,0.892119,0.018394,[ 6 67] ; [ 1 13],[ 5.87356322 67.12643678] ; [ 1.12643678 12.87356322],0
a5,1,0.946092,0.004572,[41 32] ; [8 6],[41.11494253 31.88505747] ; [7.88505747 6.11494253],0
