Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,7.2e-05,15.75301,[13 18] ; [57 13],[21.48514851  9.51485149] ; [48.51485149 21.48514851],1
v2,1,0.327588,0.958411,[12 17] ; [34 31],[14.19148936 14.80851064] ; [31.80851064 33.19148936],0
a5,1,0.341548,0.904614,[17 14] ; [46 25],[19.14705882 11.85294118] ; [43.85294118 27.14705882],0
a2,1,0.343381,0.897767,[ 3 28] ; [12 59],[ 4.55882353 26.44117647] ; [10.44117647 60.55882353],0
u3,1,0.343857,0.896,[6 4] ; [19  6],[7.14285714 2.85714286] ; [17.85714286  7.14285714],0
v3,1,0.34906,0.876872,[ 6 22] ; [21 47],[ 7.875 20.125] ; [19.125 48.875],0
d2,1,0.353698,0.860146,[13 18] ; [23 48],[10.94117647 20.05882353] ; [25.05882353 45.94117647],0
s1,1,0.372998,0.793651,[ 2 28] ; [ 2 68],[ 1.2 28.8] ; [ 2.8 67.2],0
p8,1,0.454139,0.5603,[13 18] ; [35 35],[14.73267327 16.26732673] ; [33.26732673 36.73267327],0
s2,1,0.495936,0.463622,[16 15] ; [31 39],[14.42574257 16.57425743] ; [32.57425743 37.42574257],0
p12,1,0.542601,0.370741,[ 1 30] ; [ 1 70],[ 0.60784314 30.39215686] ; [ 1.39215686 69.60784314],0
p7,1,0.58123,0.30425,[16 13] ; [41 26],[17.21875 11.78125] ; [39.78125 27.21875],0
n5,1,0.5993,0.276052,[15 15] ; [31 39],[13.8 16.2] ; [32.2 37.8],0
p4,1,0.616922,0.250217,[16 14] ; [34 37],[14.85148515 15.14851485] ; [35.14851485 35.85148515],0
s5,1,0.619854,0.246072,[ 8 22] ; [15 53],[ 7.04081633 22.95918367] ; [15.95918367 52.04081633],0
p6,1,0.633133,0.227836,[ 8 20] ; [17 54],[ 7.07070707 20.92929293] ; [17.92929293 53.07070707],0
r3,1,0.648478,0.207824,[27  4] ; [64  7],[27.65686275  3.34313725] ; [63.34313725  7.65686275],0
a3,1,0.671586,0.179753,[21 10] ; [45 26],[20.05882353 10.94117647] ; [45.94117647 25.05882353],0
n4,1,0.729198,0.119849,[16 15] ; [34 37],[15.19607843 15.80392157] ; [34.80392157 36.19607843],0
a4,1,0.760791,0.092685,[11 20] ; [23 48],[10.33333333 20.66666667] ; [23.66666667 47.33333333],0
b2,1,0.767709,0.087245,[ 6 15] ; [ 9 27],[ 5.52631579 15.47368421] ; [ 9.47368421 26.52631579],0
b3,1,0.767709,0.087245,[ 6 15] ; [ 9 27],[ 5.52631579 15.47368421] ; [ 9.47368421 26.52631579],0
n1,1,0.781814,0.076705,[4 7] ; [ 5 11],[3.66666667 7.33333333] ; [ 5.33333333 10.66666667],0
s8,1,0.812848,0.056052,[13 18] ; [28 43],[12.46078431 18.53921569] ; [28.53921569 42.46078431],0
p11,1,0.813073,0.055915,[22  9] ; [52 19],[22.49019608  8.50980392] ; [51.50980392 19.49019608],0
s6,1,0.871359,0.026222,[18 13] ; [40 31],[17.62745098 13.37254902] ; [40.37254902 30.62745098],0
n3,1,0.907008,0.013645,[8 4] ; [11  5],[8.14285714 3.85714286] ; [10.85714286  5.14285714],0
p3,1,0.944859,0.004784,[12 19] ; [28 43],[12.15686275 18.84313725] ; [27.84313725 43.15686275],0
p5,1,0.945856,0.004612,[ 2 28] ; [ 5 66],[ 2.07920792 27.92079208] ; [ 4.92079208 66.07920792],0
u2,1,0.958343,0.002728,[8 2] ; [21  5],[8.05555556 1.94444444] ; [20.94444444  5.05555556],0
s7,1,0.977891,0.000768,[12 18] ; [27 40],[12.06185567 17.93814433] ; [26.93814433 40.06185567],0
