Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.0,31.474776,[84  7] ; [22 22],[71.45185185 19.54814815] ; [34.54814815  9.45185185],1
s3,1,0.027242,4.875412,[41 49] ; [11 32],[35.18796992 54.81203008] ; [16.81203008 26.18796992],0
d2,1,0.031816,4.608362,[26 65] ; [20 22],[31.47368421 59.52631579] ; [14.52631579 27.47368421],0
s4,1,0.034841,4.452958,[25 66] ; [ 5 39],[20.22222222 70.77777778] ; [ 9.77777778 34.22222222],0
a7,1,0.037063,4.347494,[56 34] ; [19 25],[50.37313433 39.62686567] ; [24.62686567 19.37313433],0
p1,1,0.038448,4.285113,[ 6 85] ; [ 8 36],[ 9.43703704 81.56296296] ; [ 4.56296296 39.43703704],0
s7,1,0.038585,4.279057,[31 58] ; [ 7 34],[26.01538462 62.98461538] ; [11.98461538 29.01538462],0
s8,1,0.046546,3.961729,[24 67] ; [ 5 39],[19.54814815 71.45185185] ; [ 9.45185185 34.54814815],0
n3,1,0.064654,3.413773,[20  9] ; [ 7 10],[17.02173913 11.97826087] ; [9.97826087 7.02173913],0
b3,1,0.072467,3.226243,[14 35] ; [15 16],[17.7625 31.2375] ; [11.2375 19.7625],0
b2,1,0.072467,3.226243,[14 35] ; [15 16],[17.7625 31.2375] ; [11.2375 19.7625],0
r2,1,0.103156,2.656067,[71 18] ; [28 14],[67.25954198 21.74045802] ; [31.74045802 10.25954198],0
b1,1,0.127885,2.317995,[33 58] ; [22 22],[37.07407407 53.92592593] ; [17.92592593 26.07407407],0
s5,1,0.136172,2.22069,[20 69] ; [ 5 38],[16.85606061 72.14393939] ; [ 8.14393939 34.85606061],0
u3,1,0.169622,1.886285,[19 28] ; [ 4 14],[16.63076923 30.36923077] ; [ 6.36923077 11.63076923],0
n2,1,0.180746,1.791481,[21  8] ; [9 8],[18.91304348 10.08695652] ; [11.08695652  5.91304348],0
v3,1,0.199622,1.645135,[11 80] ; [ 9 35],[13.48148148 77.51851852] ; [ 6.51851852 37.48148148],0
a3,1,0.218489,1.51427,[43 47] ; [26 18],[46.34328358 43.65671642] ; [22.65671642 21.34328358],0
u2,1,0.225872,1.466667,[24 24] ; [ 6 12],[21.81818182 26.18181818] ; [8.18181818 9.81818182],0
d1,1,0.226053,1.465524,[22 69] ; [15 29],[24.94074074 66.05925926] ; [12.05925926 31.94074074],0
v1,1,0.340889,0.907085,[23 65] ; [ 8 35],[20.82442748 67.17557252] ; [10.17557252 32.82442748],0
u1,1,0.352054,0.866038,[ 3 88] ; [ 3 41],[ 4.04444444 86.95555556] ; [ 1.95555556 42.04444444],0
d5,1,0.395516,0.721916,[54 36] ; [23 21],[51.71641791 38.28358209] ; [25.28358209 18.71641791],0
a8,1,0.397857,0.714793,[10 77] ; [ 3 41],[ 8.63358779 78.36641221] ; [ 4.36641221 39.63358779],0
p5,1,0.412717,0.670961,[ 8 83] ; [ 2 40],[ 6.84210526 84.15789474] ; [ 3.15789474 38.84210526],0
a5,1,0.499897,0.455155,[44 47] ; [24 20],[45.83703704 45.16296296] ; [22.16296296 21.83703704],0
b5,1,0.516352,0.421174,[57 34] ; [25 19],[55.27407407 35.72592593] ; [26.72592593 17.27407407],0
d4,1,0.631885,0.229513,[54 37] ; [28 16],[55.27407407 35.72592593] ; [26.72592593 17.27407407],0
a4,1,0.640907,0.217558,[24 67] ; [13 30],[25.12686567 65.87313433] ; [11.87313433 31.12686567],0
n1,1,0.649836,0.206107,[10 19] ; [ 7 10],[10.7173913 18.2826087] ; [ 6.2826087 10.7173913],0
d3,1,0.658861,0.19491,[40 49] ; [18 26],[38.81203008 50.18796992] ; [19.18796992 24.81203008],0
n5,1,0.728034,0.120924,[58 32] ; [27 17],[57.08955224 32.91044776] ; [27.91044776 16.08955224],0
p12,1,0.734755,0.11479,[ 3 87] ; [ 1 43],[ 2.68656716 87.31343284] ; [ 1.31343284 42.68656716],0
n4,1,0.775506,0.081328,[52 39] ; [24 20],[51.22962963 39.77037037] ; [24.77037037 19.22962963],0
a6,1,0.939083,0.00584,[49 42] ; [24 20],[49.20740741 41.79259259] ; [23.79259259 20.20740741],0
b4,1,0.958724,0.002679,[48 43] ; [23 21],[47.85925926 43.14074074] ; [23.14074074 20.85925926],0
a2,1,0.96086,0.002408,[ 6 85] ; [ 3 41],[ 6.06666667 84.93333333] ; [ 2.93333333 41.06666667],0
