Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,5e-06,20.837779,[32  8] ; [15 33],[21.36363636 18.63636364] ; [25.63636364 22.36363636],1
p8,1,0.423156,0.641534,[23 17] ; [24 25],[21.12359551 18.87640449] ; [25.87640449 23.12359551],0
p1,1,0.449494,0.571927,[ 5 35] ; [ 9 40],[ 6.29213483 33.70786517] ; [ 7.70786517 41.29213483],0
p12,1,0.486019,0.485327,[ 3 37] ; [ 2 47],[ 2.24719101 37.75280899] ; [ 2.75280899 46.24719101],0
s1,1,0.486019,0.485327,[ 3 37] ; [ 2 47],[ 2.24719101 37.75280899] ; [ 2.75280899 46.24719101],0
n1,1,0.551848,0.354016,[5 6] ; [4 8],[4.30434783 6.69565217] ; [4.69565217 7.30434783],0
s4,1,0.563133,0.334308,[ 7 33] ; [11 38],[ 8.08988764 31.91011236] ; [ 9.91011236 39.08988764],0
b2,1,0.573618,0.316667,[10 17] ; [ 9 21],[ 9. 18.] ; [10. 20.],0
b3,1,0.573618,0.316667,[10 17] ; [ 9 21],[ 9. 18.] ; [10. 20.],0
b5,1,0.574279,0.315575,[26 14] ; [29 20],[24.71910112 15.28089888] ; [30.28089888 18.71910112],0
a3,1,0.608488,0.262382,[25 15] ; [28 21],[23.82022472 16.17977528] ; [29.17977528 19.82022472],0
v4,1,0.611137,0.258523,[35  5] ; [41  8],[34.15730337  5.84269663] ; [41.84269663  7.15730337],0
p5,1,0.709538,0.138739,[ 7 33] ; [ 7 41],[ 6.36363636 33.63636364] ; [ 7.63636364 40.36363636],0
a5,1,0.713757,0.134554,[26 14] ; [30 19],[25.16853933 14.83146067] ; [30.83146067 18.16853933],0
n3,1,0.75235,0.099567,[8 3] ; [8 4],[7.65217391 3.34782609] ; [8.34782609 3.65217391],0
p2,1,0.845466,0.037989,[32  8] ; [40  9],[32.35955056  7.64044944] ; [39.64044944  9.35955056],0
a1,1,0.907949,0.013369,[ 3 37] ; [ 4 45],[ 3.14606742 36.85393258] ; [ 3.85393258 45.14606742],0
p4,1,0.910924,0.012516,[29 11] ; [35 14],[28.76404494 11.23595506] ; [35.23595506 13.76404494],0
a8,1,0.918202,0.010547,[ 3 35] ; [ 4 43],[ 3.12941176 34.87058824] ; [ 3.87058824 43.12941176],0
u3,1,0.921972,0.009594,[7 8] ; [ 9 11],[6.85714286 8.14285714] ; [ 9.14285714 10.85714286],0
b1,1,0.992319,9.3e-05,[18 22] ; [22 27],[17.97752809 22.02247191] ; [22.02247191 26.97752809],0
