Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b5,1,1.7e-05,18.512144,[12 25] ; [62 22],[22.62809917 14.37190083] ; [51.37190083 32.62809917],1
a8,1,0.420403,0.649189,[ 1 34] ; [ 5 71],[ 1.89189189 33.10810811] ; [ 4.10810811 71.89189189],0
p10,1,0.4208,0.648081,[32  4] ; [69 14],[30.55462185  5.44537815] ; [70.44537815 12.55462185],0
v3,1,0.460685,0.544229,[13 23] ; [24 58],[11.28813559 24.71186441] ; [25.71186441 56.28813559],0
s2,1,0.472573,0.515953,[24 12] ; [60 22],[25.62711864 10.37288136] ; [58.37288136 23.62711864],0
s3,1,0.489022,0.478678,[29  7] ; [62 21],[27.52941176  8.47058824] ; [63.47058824 19.52941176],0
p9,1,0.49752,0.460222,[30  6] ; [73 10],[31.15966387  4.84033613] ; [71.84033613 11.15966387],0
s5,1,0.502289,0.450097,[19 14] ; [40 39],[17.38392857 15.61607143] ; [41.61607143 37.38392857],0
p7,1,0.517933,0.418007,[26 11] ; [52 29],[24.45762712 12.54237288] ; [53.54237288 27.45762712],0
n5,1,0.573611,0.316678,[27 10] ; [57 27],[25.68595041 11.31404959] ; [58.31404959 25.68595041],0
s6,1,0.613476,0.255144,[30  5] ; [73  9],[30.81196581  4.18803419] ; [72.18803419  9.81196581],0
p1,1,0.66228,0.190766,[ 4 33] ; [ 7 77],[ 3.36363636 33.63636364] ; [ 7.63636364 76.36363636],0
d1,1,0.704246,0.144093,[22 15] ; [53 31],[22.9338843 14.0661157] ; [52.0661157 31.9338843],0
d2,1,0.705109,0.143211,[19 18] ; [40 44],[18.04132231 18.95867769] ; [40.95867769 43.04132231],0
d5,1,0.709853,0.138424,[31  6] ; [68 16],[30.27272727  6.72727273] ; [68.72727273 15.27272727],0
p12,1,0.820508,0.05148,[ 3 33] ; [ 6 78],[ 2.7 33.3] ; [ 6.3 77.7],0
p5,1,0.827252,0.047623,[ 4 33] ; [ 8 76],[ 3.66942149 33.33057851] ; [ 8.33057851 75.66942149],0
v1,1,0.8433,0.039075,[18 19] ; [42 41],[18.5 18.5] ; [41.5 41.5],0
a4,1,0.865109,0.028857,[17 20] ; [40 44],[17.42975207 19.57024793] ; [39.57024793 44.42975207],0
u3,1,0.867695,0.027751,[7 4] ; [12  6],[7.20689655 3.79310345] ; [11.79310345  6.20689655],0
p6,1,0.891816,0.018498,[16 21] ; [37 46],[16.34166667 20.65833333] ; [36.65833333 46.34166667],0
n2,1,0.94277,0.005154,[8 3] ; [10  4],[7.92 3.08] ; [10.08  3.92],0
b3,1,0.981859,0.000517,[ 4 18] ; [ 7 32],[ 3.96721311 18.03278689] ; [ 7.03278689 31.96721311],0
b2,1,0.981859,0.000517,[ 4 18] ; [ 7 32],[ 3.96721311 18.03278689] ; [ 7.03278689 31.96721311],0
s8,1,0.986986,0.000266,[19 18] ; [43 41],[18.95867769 18.04132231] ; [43.04132231 40.95867769],0
