Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,1.1e-05,19.375415,[18  8] ; [26 82],[ 8.53731343 17.46268657] ; [35.46268657 72.53731343],1
a4,1,0.144888,2.125263,[10 16] ; [26 81],[ 7.03759398 18.96240602] ; [28.96240602 78.03759398],0
u3,1,0.149289,2.079499,[7 7] ; [15 36],[4.73846154 9.26153846] ; [17.26153846 33.73846154],0
a6,1,0.165133,1.926579,[11 15] ; [62 46],[14.1641791 11.8358209] ; [58.8358209 49.1641791],0
n2,1,0.166091,1.917873,[9 2] ; [20 14],[7.08888889 3.91111111] ; [21.91111111 12.08888889],0
p6,1,0.183444,1.769502,[ 8 18] ; [20 86],[ 5.51515152 20.48484848] ; [22.48484848 83.51515152],0
d3,1,0.220549,1.500793,[14 12] ; [43 63],[11.22727273 14.77272727] ; [45.77272727 60.22727273],0
s1,1,0.235225,1.408984,[ 2 24] ; [  3 105],[ 0.97014925 25.02985075] ; [  4.02985075 103.97014925],0
p1,1,0.244751,1.353019,[ 4 21] ; [ 9 99],[ 2.44360902 22.55639098] ; [10.55639098 97.44360902],0
a8,1,0.260906,1.263942,[ 1 24] ; [12 92],[ 2.51937984 22.48062016] ; [10.48062016 93.51937984],0
b5,1,0.261274,1.261994,[13 13] ; [67 41],[15.52238806 10.47761194] ; [64.47761194 43.52238806],0
p4,1,0.301144,1.069122,[13 13] ; [42 66],[10.67164179 15.32835821] ; [44.32835821 63.67164179],0
s8,1,0.337477,0.919992,[ 7 19] ; [20 88],[ 5.23880597 20.76119403] ; [21.76119403 86.23880597],0
n6,1,0.385644,0.752631,[20  6] ; [73 34],[18.18045113  7.81954887] ; [74.81954887 32.18045113],0
v3,1,0.441107,0.5934,[ 5 20] ; [15 93],[ 3.7593985 21.2406015] ; [16.2406015 91.7593985],0
p8,1,0.474179,0.512221,[ 8 18] ; [41 66],[ 9.57894737 16.42105263] ; [39.42105263 67.57894737],0
a2,1,0.514856,0.424185,[ 1 25] ; [  8 100],[ 1.74626866 24.25373134] ; [  7.25373134 100.74626866],0
n1,1,0.545739,0.365007,[5 6] ; [12 22],[4.15555556 6.84444444] ; [12.84444444 21.15555556],0
n4,1,0.550728,0.356014,[13 13] ; [61 47],[14.35820896 11.64179104] ; [59.64179104 48.35820896],0
p9,1,0.582259,0.302598,[19  6] ; [74 31],[17.88461538  7.11538462] ; [75.11538462 29.88461538],0
p10,1,0.592358,0.286677,[17  8] ; [66 40],[15.83969466  9.16030534] ; [67.16030534 38.83969466],0
d5,1,0.613595,0.254972,[16 10] ; [60 47],[14.85714286 11.14285714] ; [61.14285714 45.85714286],0
a5,1,0.662183,0.190883,[14 12] ; [53 55],[13. 13.] ; [54. 54.],0
p3,1,0.686865,0.1625,[10 16] ; [37 71],[ 9.11940299 16.88059701] ; [37.88059701 70.11940299],0
a3,1,0.728449,0.12054,[12 13] ; [56 52],[12.78195489 12.21804511] ; [55.21804511 52.78195489],0
p12,1,0.780138,0.077919,[ 1 25] ; [  3 104],[ 0.78195489 25.21804511] ; [  3.21804511 103.78195489],0
n3,1,0.802816,0.062353,[6 5] ; [20 14],[6.35555556 4.64444444] ; [19.64444444 14.35555556],0
a7,1,0.814252,0.055199,[15 11] ; [59 48],[14.46616541 11.53383459] ; [59.53383459 47.46616541],0
r2,1,0.857916,0.032051,[20  6] ; [79 26],[19.64885496  6.35114504] ; [79.35114504 25.64885496],0
p7,1,0.877037,0.02394,[11 14] ; [48 57],[11.34615385 13.65384615] ; [47.65384615 57.34615385],0
b2,1,0.880655,0.022542,[ 5 10] ; [23 42],[5.25 9.75] ; [22.75 42.25],0
b3,1,0.880655,0.022542,[ 5 10] ; [23 42],[5.25 9.75] ; [22.75 42.25],0
b1,1,0.884065,0.021263,[11 15] ; [44 64],[10.67164179 15.32835821] ; [44.32835821 63.67164179],0
r3,1,0.937509,0.006147,[19  7] ; [79 28],[19.15789474  6.84210526] ; [78.84210526 28.15789474],0
p11,1,0.967978,0.001612,[16 10] ; [66 42],[15.91044776 10.08955224] ; [66.08955224 41.91044776],0
u1,1,0.972553,0.001184,[ 1 25] ; [  4 104],[ 0.97014925 25.02985075] ; [  4.02985075 103.97014925],0
