Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.000326,12.916667,[114  10] ; [21 10],[108.  16.] ; [27.  4.],1
p12,1,0.58605,0.296556,[  7 117] ; [ 1 30],[  6.4 117.6] ; [ 1.6 29.4],0
p6,1,0.610148,0.259959,[45 76] ; [10 21],[43.78289474 77.21710526] ; [11.21710526 19.78289474],0
a8,1,0.629265,0.233059,[ 12 105] ; [ 4 26],[ 12.73469388 104.26530612] ; [ 3.26530612 26.73469388],0
s7,1,0.652634,0.202595,[49 70] ; [11 19],[47.91946309 71.08053691] ; [12.08053691 17.91946309],0
a7,1,0.680151,0.169956,[77 47] ; [18 13],[76. 48.] ; [19. 12.],0
p7,1,0.681246,0.168726,[73 50] ; [16 13],[72.01973684 50.98026316] ; [16.98026316 12.01973684],0
n3,1,0.682241,0.167614,[27 10] ; [11  3],[27.56862745  9.43137255] ; [10.43137255  3.56862745],0
u1,1,0.704704,0.143624,[  6 119] ; [ 1 30],[  5.60897436 119.39102564] ; [ 1.39102564 29.60897436],0
s2,1,0.713461,0.134844,[57 68] ; [13 18],[56.08974359 68.91025641] ; [13.91025641 17.08974359],0
a6,1,0.773766,0.082629,[69 56] ; [18 13],[69.71153846 55.28846154] ; [17.28846154 13.71153846],0
s3,1,0.840724,0.040388,[61 62] ; [16 15],[61.5 61.5] ; [15.5 15.5],0
a1,1,0.855553,0.033138,[  7 118] ; [ 2 29],[  7.21153846 117.78846154] ; [ 1.78846154 29.21153846],0
a2,1,0.878397,0.02341,[ 11 114] ; [ 3 28],[ 11.21794872 113.78205128] ; [ 2.78205128 28.21794872],0
s8,1,0.887177,0.020129,[42 83] ; [10 21],[41.66666667 83.33333333] ; [10.33333333 20.66666667],0
n2,1,0.912178,0.012164,[27 10] ; [10  4],[26.84313725 10.15686275] ; [10.15686275  3.84313725],0
s5,1,0.928665,0.008015,[30 86] ; [ 8 22],[30.19178082 85.80821918] ; [ 7.80821918 22.19178082],0
