Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,1e-06,24.166667,[50 10] ; [ 8 19],[40. 20.] ; [18.  9.],1
d4,1,0.255045,1.295454,[43 15] ; [23  4],[45.03529412 12.96470588] ; [20.96470588  6.03529412],0
s5,1,0.278671,1.173559,[17 41] ; [10 14],[19.09756098 38.90243902] ; [ 7.90243902 16.09756098],0
n1,1,0.284462,1.145648,[13  6] ; [7 7],[11.51515152  7.48484848] ; [8.48484848 5.51515152],0
d1,1,0.30248,1.06323,[36 24] ; [13 14],[33.79310345 26.20689655] ; [15.20689655 11.79310345],0
p6,1,0.305981,1.047943,[15 44] ; [ 4 22],[13.18823529 45.81176471] ; [ 5.81176471 20.18823529],0
n2,1,0.306702,1.044825,[16  4] ; [9 5],[14.70588235  5.29411765] ; [10.29411765  3.70588235],0
b5,1,0.320076,0.988636,[40 20] ; [15 12],[37.93103448 22.06896552] ; [17.06896552  9.93103448],0
s2,1,0.329865,0.949429,[43 17] ; [22  5],[44.82758621 15.17241379] ; [20.17241379  6.82758621],0
p12,1,0.337807,0.918737,[ 6 54] ; [ 1 25],[ 4.88372093 55.11627907] ; [ 2.11627907 23.88372093],0
u1,1,0.396365,0.719325,[11 49] ; [ 3 24],[ 9.65517241 50.34482759] ; [ 4.34482759 22.65517241],0
d3,1,0.460659,0.544292,[35 23] ; [14 13],[33.43529412 24.56470588] ; [15.56470588 11.43529412],0
p4,1,0.489197,0.478292,[22 37] ; [ 8 19],[20.58139535 38.41860465] ; [ 9.41860465 17.58139535],0
a5,1,0.515703,0.422478,[42 18] ; [17 10],[40.68965517 19.31034483] ; [18.31034483  8.68965517],0
v4,1,0.530256,0.393902,[52  8] ; [22  5],[51.03448276  8.96551724] ; [22.96551724  4.03448276],0
r1,1,0.53192,0.390723,[46 14] ; [19  8],[44.82758621 15.17241379] ; [20.17241379  6.82758621],0
a4,1,0.533059,0.388557,[29 31] ; [15 12],[30.34482759 29.65517241] ; [13.65517241 13.34482759],0
v2,1,0.537051,0.381034,[30 27] ; [15 10],[31.2804878 25.7195122] ; [13.7195122 11.2804878],0
a2,1,0.563566,0.333568,[12 48] ; [ 4 23],[11.03448276 48.96551724] ; [ 4.96551724 22.03448276],0
u2,1,0.579639,0.306818,[10  8] ; [6 3],[10.66666667  7.33333333] ; [5.33333333 3.66666667],0
s7,1,0.605376,0.266963,[35 23] ; [13 11],[33.95121951 24.04878049] ; [14.04878049  9.95121951],0
v3,1,0.63985,0.218938,[19 36] ; [ 7 17],[18.10126582 36.89873418] ; [ 7.89873418 16.10126582],0
r4,1,0.672133,0.179118,[49 11] ; [21  6],[48.27586207 11.72413793] ; [21.72413793  5.27586207],0
n3,1,0.706082,0.142222,[13  7] ; [7 5],[12.5  7.5] ; [7.5 4.5],0
d5,1,0.715855,0.132499,[43 15] ; [19  8],[42.30588235 15.69411765] ; [19.69411765  7.30588235],0
v1,1,0.741793,0.108557,[30 28] ; [15 12],[30.70588235 27.29411765] ; [14.29411765 12.70588235],0
a3,1,0.755867,0.096667,[42 18] ; [18  9],[41.37931034 18.62068966] ; [18.62068966  8.37931034],0
d2,1,0.774858,0.081811,[32 26] ; [14 13],[31.38823529 26.61176471] ; [14.61176471 12.38823529],0
b4,1,0.808429,0.058784,[35 25] ; [15 12],[34.48275862 25.51724138] ; [15.51724138 11.48275862],0
p1,1,0.874901,0.024786,[ 6 54] ; [ 3 24],[ 6.20689655 53.79310345] ; [ 2.79310345 24.20689655],0
s6,1,0.893475,0.017931,[43 17] ; [19  7],[43.25581395 16.74418605] ; [18.74418605  7.25581395],0
r2,1,0.894673,0.017528,[53  6] ; [24  3],[52.8255814  6.1744186] ; [24.1744186  2.8255814],0
a1,1,0.899618,0.015912,[ 4 56] ; [ 2 25],[ 4.13793103 55.86206897] ; [ 1.86206897 25.13793103],0
s1,1,0.919441,0.010229,[ 7 52] ; [ 3 24],[ 6.86046512 52.13953488] ; [ 3.13953488 23.86046512],0
