Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,5e-06,20.928044,[ 26 107] ; [20 14],[36.63473054 96.36526946] ; [ 9.36526946 24.63473054],1
p8,1,0.172399,1.86196,[ 39 104] ; [14 22],[ 42.34078212 100.65921788] ; [10.65921788 25.34078212],0
a4,1,0.206342,1.596911,[51 90] ; [ 9 27],[47.79661017 93.20338983] ; [12.20338983 23.79661017],0
p7,1,0.220854,1.498816,[58 82] ; [19 17],[61.25 78.75] ; [15.75 20.25],0
n4,1,0.222734,1.486666,[87 55] ; [26 10],[90.14606742 51.85393258] ; [22.85393258 13.14606742],0
r1,1,0.235703,1.406114,[96 46] ; [28  8],[98.92134831 43.07865169] ; [25.07865169 10.92134831],0
b4,1,0.239498,1.383545,[84 59] ; [25 11],[87.07821229 55.92178771] ; [21.92178771 14.07821229],0
p1,1,0.242637,1.365205,[ 12 130] ; [ 1 35],[ 10.37078652 131.62921348] ; [ 2.62921348 33.37078652],0
s5,1,0.255216,1.294524,[ 22 121] ; [ 8 26],[ 24.23728814 118.76271186] ; [ 5.76271186 28.23728814],0
a3,1,0.296604,1.089403,[77 65] ; [23 13],[79.7752809 62.2247191] ; [20.2247191 15.7752809],0
d4,1,0.32789,0.957215,[98 43] ; [28  8],[100.37288136  40.62711864] ; [25.62711864 10.37288136],0
n1,1,0.330467,0.947066,[19 37] ; [5 5],[20.36363636 35.63636364] ; [3.63636364 6.36363636],0
a8,1,0.362065,0.830718,[ 10 121] ; [ 1 31],[  8.8404908 122.1595092] ; [ 2.1595092 29.8404908],0
d2,1,0.473858,0.512966,[65 76] ; [19 17],[66.91525424 74.08474576] ; [17.08474576 18.91525424],0
p3,1,0.502294,0.450086,[ 39 102] ; [12 24],[ 40.62711864 100.37288136] ; [10.37288136 25.62711864],0
s4,1,0.518767,0.416345,[ 22 120] ; [ 7 28],[ 23.26553672 118.73446328] ; [ 5.73446328 29.26553672],0
a1,1,0.540795,0.374068,[  8 135] ; [ 3 33],[  8.7877095 134.2122905] ; [ 2.2122905 33.7877095],0
n3,1,0.62179,0.24336,[30 24] ; [7 4],[30.73846154 23.26153846] ; [6.26153846 4.73846154],0
a7,1,0.636549,0.223284,[84 57] ; [23 13],[85.23728814 55.76271186] ; [21.76271186 14.23728814],0
a6,1,0.682098,0.167773,[82 61] ; [22 14],[83.08379888 59.91620112] ; [20.91620112 15.08379888],0
b3,1,0.695215,0.153497,[26 58] ; [ 7 19],[25.2 58.8] ; [ 7.8 18.2],0
b2,1,0.695215,0.153497,[26 58] ; [ 7 19],[25.2 58.8] ; [ 7.8 18.2],0
s1,1,0.772219,0.083795,[ 10 131] ; [ 2 33],[  9.61363636 131.38636364] ; [ 2.38636364 32.61363636],0
a5,1,0.796093,0.066774,[80 63] ; [21 15],[80.68715084 62.31284916] ; [20.31284916 15.68715084],0
d3,1,0.796093,0.066774,[80 63] ; [21 15],[80.68715084 62.31284916] ; [20.31284916 15.68715084],0
b5,1,0.85402,0.033853,[77 66] ; [20 16],[77.49162011 65.50837989] ; [19.50837989 16.49162011],0
a2,1,0.932407,0.007194,[ 23 120] ; [ 6 30],[ 23.16759777 119.83240223] ; [ 5.83240223 30.16759777],0
v1,1,0.957583,0.002829,[47 96] ; [12 24],[47.13407821 95.86592179] ; [11.86592179 24.13407821],0
