Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,51.913235,[127   9] ; [13 19],[113.33333333  22.66666667] ; [26.66666667  5.33333333],1
p3,1,0.353076,0.862372,[85 52] ; [17 15],[82.68639053 54.31360947] ; [19.31360947 12.68639053],0
p9,1,0.388767,0.742794,[127  10] ; [31  1],[128.08284024   8.91715976] ; [29.91715976  2.08284024],0
s2,1,0.419048,0.652984,[110  25] ; [28  4],[111.55688623  23.44311377] ; [26.44311377  5.55688623],0
u2,1,0.453323,0.562329,[10  8] ; [7 3],[10.92857143  7.07142857] ; [6.07142857 3.92857143],0
u3,1,0.45426,0.56,[12  6] ; [8 2],[12.85714286  5.14285714] ; [7.14285714 2.85714286],0
d5,1,0.470134,0.521661,[121  15] ; [27  5],[119.80952381  16.19047619] ; [28.19047619  3.80952381],0
a2,1,0.478533,0.502204,[43 94] ; [ 8 24],[41.34319527 95.65680473] ; [ 9.65680473 22.34319527],0
p8,1,0.485771,0.485881,[89 46] ; [19 13],[87.30538922 47.69461078] ; [20.69461078 11.30538922],0
b3,1,0.634752,0.225671,[42 48] ; [9 8],[42.89719626 47.10280374] ; [8.10280374 8.89719626],0
b2,1,0.634752,0.225671,[42 48] ; [9 8],[42.89719626 47.10280374] ; [8.10280374 8.89719626],0
a6,1,0.643318,0.214428,[92 44] ; [23  9],[93.0952381 42.9047619] ; [21.9047619 10.0952381],0
v2,1,0.647141,0.209524,[87 48] ; [18 12],[85.90909091 49.09090909] ; [19.09090909 10.90909091],0
v1,1,0.692676,0.156204,[97 39] ; [21 10],[96.09580838 39.90419162] ; [21.90419162  9.09580838],0
d4,1,0.700951,0.147485,[120  16] ; [29  3],[120.61904762  15.38095238] ; [28.38095238  3.61904762],0
b5,1,0.752245,0.099654,[77 60] ; [17 15],[76.20118343 60.79881657] ; [17.79881657 14.20118343],0
u4,1,0.75402,0.098184,[  3 134] ; [ 1 31],[  3.24260355 133.75739645] ; [ 0.75739645 31.24260355],0
d1,1,0.754754,0.097579,[98 39] ; [22 10],[97.27810651 39.72189349] ; [22.72189349  9.27810651],0
s1,1,0.86886,0.02726,[  5 129] ; [ 1 31],[  4.84337349 129.15662651] ; [ 1.15662651 30.84337349],0
s3,1,0.902866,0.014894,[106  28] ; [25  7],[105.74698795  28.25301205] ; [25.25301205  6.74698795],0
a1,1,0.94743,0.004347,[  9 128] ; [ 2 30],[  8.91715976 128.08284024] ; [ 2.08284024 29.91715976],0
r3,1,0.950795,0.003808,[133   4] ; [31  1],[132.94674556   4.05325444] ; [31.05325444  0.94674556],0
r2,1,0.956092,0.003031,[132   4] ; [31  1],[131.95238095   4.04761905] ; [31.04761905  0.95238095],0
