Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,5.5e-05,16.268261,[125  32] ; [11 15],[116.67759563  40.32240437] ; [19.32240437  6.67759563],1
v1,1,0.767158,0.087672,[92 65] ; [15 12],[91.29891304 65.70108696] ; [15.70108696 11.29891304],0
p4,1,0.790035,0.070897,[103  54] ; [17 10],[102.39130435  54.60869565] ; [17.60869565  9.39130435],0
d1,1,0.803778,0.061733,[86 72] ; [14 13],[85.40540541 72.59459459] ; [14.59459459 12.40540541],0
a3,1,0.822756,0.050177,[103  55] ; [17 10],[102.48648649  55.51351351] ; [17.51351351  9.48648649],0
p8,1,0.854125,0.033804,[80 74] ; [13 13],[79.56666667 74.43333333] ; [13.43333333 12.56666667],0
a7,1,0.902902,0.014883,[113  45] ; [19  8],[112.73513514  45.26486486] ; [19.26486486  7.73513514],0
b5,1,0.923501,0.009221,[101  57] ; [17 10],[100.77837838  57.22162162] ; [17.22162162  9.77837838],0
v2,1,0.95124,0.003739,[89 67] ; [15 11],[89.14285714 66.85714286] ; [14.85714286 11.14285714],0
a6,1,0.982877,0.000461,[105  53] ; [18  9],[105.04864865  52.95135135] ; [17.95135135  9.04864865],0
n2,1,1.0,0.0,[28 12] ; [7 3],[28. 12.] ; [7. 3.],0
