Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.001944,9.601505,[32  3] ; [15 11],[26.96721311  8.03278689] ; [20.03278689  5.96721311],0
b1,1,0.442235,0.590476,[16 19] ; [15 12],[17.5 17.5] ; [13.5 13.5],0
s8,1,0.474644,0.511145,[ 6 28] ; [ 3 24],[ 5.01639344 28.98360656] ; [ 3.98360656 23.01639344],0
r1,1,0.480548,0.497619,[17 18] ; [15 11],[18.36065574 16.63934426] ; [13.63934426 12.36065574],0
a8,1,0.487998,0.480937,[ 6 26] ; [ 3 22],[ 5.05263158 26.94736842] ; [ 3.94736842 21.05263158],0
a7,1,0.514642,0.424618,[15 20] ; [ 9 17],[13.7704918 21.2295082] ; [10.2295082 15.7704918],0
d2,1,0.636011,0.223997,[11 24] ; [ 7 20],[10.16129032 24.83870968] ; [ 7.83870968 19.16129032],0
a6,1,0.678084,0.172291,[15 20] ; [13 14],[15.80645161 19.19354839] ; [12.19354839 14.80645161],0
s7,1,0.687351,0.161968,[ 5 28] ; [ 3 23],[ 4.47457627 28.52542373] ; [ 3.52542373 22.47457627],0
a4,1,0.715344,0.132997,[ 8 27] ; [ 7 19],[ 8.60655738 26.39344262] ; [ 6.39344262 19.60655738],0
p1,1,0.737348,0.112472,[ 3 32] ; [ 3 24],[ 3.38709677 31.61290323] ; [ 2.61290323 24.38709677],0
p5,1,0.757597,0.095257,[ 2 33] ; [ 2 24],[ 2.29508197 32.70491803] ; [ 1.70491803 24.29508197],0
u2,1,0.795953,0.066868,[ 7 14] ; [ 5 12],[ 6.63157895 14.36842105] ; [ 5.36842105 11.63157895],0
a5,1,0.812279,0.0564,[14 21] ; [10 17],[13.5483871 21.4516129] ; [10.4516129 16.5483871],0
s2,1,0.839932,0.040796,[ 7 27] ; [ 5 22],[ 6.68852459 27.31147541] ; [ 5.31147541 21.68852459],0
b4,1,0.848967,0.036266,[19 16] ; [14 13],[18.62903226 16.37096774] ; [14.37096774 12.62903226],0
d1,1,0.851614,0.034991,[ 1 34] ; [ 1 26],[ 1.12903226 33.87096774] ; [ 0.87096774 26.12903226],0
p12,1,0.851614,0.034991,[ 1 34] ; [ 1 26],[ 1.12903226 33.87096774] ; [ 0.87096774 26.12903226],0
a2,1,0.867451,0.027855,[ 3 32] ; [ 2 25],[ 2.82258065 32.17741935] ; [ 2.17741935 24.82258065],0
v3,1,0.917814,0.010648,[ 8 27] ; [ 6 19],[ 8.16666667 26.83333333] ; [ 5.83333333 19.16666667],0
v1,1,0.92748,0.008284,[10 25] ; [ 8 19],[10.16129032 24.83870968] ; [ 7.83870968 19.16129032],0
a3,1,1.0,0.0,[14 21] ; [10 15],[14. 21.] ; [10. 15.],0
