Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p5,1,0.000242,13.46932,[  8 109] ; [26 80],[17.83856502 99.16143498] ; [16.16143498 89.83856502],1
r1,1,0.336863,0.922335,[101  16] ; [95 10],[103.2972973  13.7027027] ; [92.7027027 12.2972973],0
a4,1,0.337931,0.918263,[51 66] ; [53 53],[54.56502242 62.43497758] ; [49.43497758 56.56502242],0
d4,1,0.350004,0.873444,[100  17] ; [95 11],[102.30941704  14.69058296] ; [92.69058296 13.30941704],0
u4,1,0.383858,0.75831,[  6 111] ; [  3 103],[  4.72197309 112.27802691] ; [  4.27802691 101.72197309],0
p10,1,0.397359,0.716305,[100  15] ; [96 10],[101.99095023  13.00904977] ; [94.00904977 11.99095023],0
d5,1,0.450903,0.568381,[101  16] ; [95 11],[102.83408072  14.16591928] ; [93.16591928 12.83408072],0
a1,1,0.457065,0.553072,[  6 111] ; [ 8 98],[  7.34529148 109.65470852] ; [ 6.65470852 99.34529148],0
s1,1,0.488041,0.480842,[  4 112] ; [  2 102],[  3.16363636 112.83636364] ; [  2.83636364 101.16363636],0
p12,1,0.507615,0.43898,[ 12 104] ; [14 92],[ 13.58558559 102.41441441] ; [12.41441441 93.58558559],0
d1,1,0.511225,0.431558,[78 39] ; [75 31],[80.2735426 36.7264574] ; [72.7264574 33.2735426],0
b3,1,0.521999,0.409941,[34 55] ; [29 38],[35.94230769 53.05769231] ; [27.05769231 39.94230769],0
b2,1,0.521999,0.409941,[34 55] ; [29 38],[35.94230769 53.05769231] ; [27.05769231 39.94230769],0
a8,1,0.54401,0.368159,[21 83] ; [16 79],[19.33668342 84.66331658] ; [17.66331658 77.33668342],0
n6,1,0.558216,0.342802,[104  13] ; [94  9],[105.3  11.7] ; [92.7 10.3],0
b4,1,0.566424,0.328702,[75 42] ; [64 42],[72.92825112 44.07174888] ; [66.07174888 39.92825112],0
u3,1,0.574103,0.315865,[19  8] ; [11  3],[19.75609756  7.24390244] ; [10.24390244  3.75609756],0
d2,1,0.625682,0.237962,[70 47] ; [60 46],[68.20627803 48.79372197] ; [61.79372197 44.20627803],0
p2,1,0.64329,0.214465,[99 18] ; [92 14],[100.21076233  16.78923767] ; [90.78923767 15.21076233],0
r4,1,0.717406,0.130992,[109   8] ; [100   6],[109.65470852   7.34529148] ; [99.34529148  6.65470852],0
n5,1,0.730658,0.118508,[95 21] ; [87 17],[95.96363636 20.03636364] ; [86.03636364 17.96363636],0
a6,1,0.734672,0.114865,[80 37] ; [74 31],[81.16216216 35.83783784] ; [72.83783784 32.16216216],0
d3,1,0.791289,0.070033,[82 35] ; [76 30],[82.89686099 34.10313901] ; [75.10313901 30.89686099],0
a7,1,0.831976,0.045015,[85 31] ; [79 27],[85.69369369 30.30630631] ; [78.30630631 27.69369369],0
r3,1,0.920604,0.009935,[115   2] ; [104   2],[114.90134529   2.09865471] ; [104.09865471   1.90134529],0
u2,1,0.933546,0.006953,[17 10] ; [9 5],[17.12195122  9.87804878] ; [8.87804878 5.12195122],0
n3,1,0.93506,0.006639,[15  5] ; [17  6],[14.88372093  5.11627907] ; [17.11627907  5.88372093],0
