Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,35.023026,[54 90] ; [121  50],[80. 64.] ; [95. 76.],1
n2,1,0.354171,0.858455,[27 14] ; [25  8],[28.81081081 12.18918919] ; [23.18918919  9.81081081],0
b1,1,0.385009,0.754645,[63 87] ; [ 66 111],[59.17431193 90.82568807] ; [ 69.82568807 107.17431193],0
s1,1,0.387468,0.746875,[  7 142] ; [  5 169],[  5.53560372 143.46439628] ; [  6.46439628 167.53560372],0
v4,1,0.403288,0.6985,[140  10] ; [168   8],[141.71779141   8.28220859] ; [166.28220859   9.71779141],0
a2,1,0.434759,0.610075,[ 31 119] ; [ 43 134],[ 33.94495413 116.05504587] ; [ 40.05504587 136.94495413],0
n1,1,0.465489,0.532665,[14 27] ; [14 19],[15.51351351 25.48648649] ; [12.48648649 20.51351351],0
a3,1,0.522804,0.408357,[99 51] ; [122  54],[101.68711656  48.31288344] ; [119.31288344  56.68711656],0
r1,1,0.554394,0.349504,[119  31] ; [145  32],[121.10091743  28.89908257] ; [142.89908257  34.10091743],0
d3,1,0.580131,0.306022,[101  48] ; [125  52],[103.29447853  45.70552147] ; [122.70552147  54.29447853],0
s8,1,0.596722,0.279968,[76 74] ; [84 92],[73.6196319 76.3803681] ; [86.3803681 89.6196319],0
p12,1,0.609306,0.261187,[  9 141] ; [ 13 162],[ 10.15384615 139.84615385] ; [ 11.84615385 163.15384615],0
r4,1,0.609796,0.260473,[133  17] ; [160  17],[134.40366972  15.59633028] ; [158.59633028  18.40366972],0
d2,1,0.625061,0.238818,[65 84] ; [82 95],[67.18711656 81.81288344] ; [79.81288344 97.18711656],0
a7,1,0.644329,0.213124,[110  40] ; [133  43],[111.80981595  38.19018405] ; [131.19018405  44.80981595],0
p5,1,0.646808,0.209948,[ 10 140] ; [ 14 161],[ 11.07692308 138.92307692] ; [ 12.92307692 162.07692308],0
d1,1,0.663706,0.189053,[82 68] ; [101  76],[83.94495413 66.05504587] ; [99.05504587 77.94495413],0
n3,1,0.678242,0.172112,[28 13] ; [24  9],[28.81081081 12.18918919] ; [23.18918919  9.81081081],0
a4,1,0.695066,0.153656,[58 92] ; [ 71 103],[59.72222222 90.27777778] ; [ 69.27777778 104.72222222],0
a1,1,0.75135,0.1004,[  7 143] ; [  7 170],[  6.42201835 143.57798165] ; [  7.57798165 169.42201835],0
p7,1,0.757895,0.095016,[90 58] ; [105  63],[91.32911392 56.67088608] ; [103.67088608  64.32911392],0
d4,1,0.851105,0.035235,[120  29] ; [144  33],[120.66257669  28.33742331] ; [143.33742331  33.66257669],0
p8,1,0.857222,0.032368,[73 76] ; [86 86],[73.80373832 75.19626168] ; [85.19626168 86.80373832],0
u3,1,0.86367,0.029482,[28 20] ; [33 22],[28.42718447 19.57281553] ; [32.57281553 22.42718447],0
a8,1,0.866299,0.028345,[ 21 121] ; [ 22 134],[ 20.48993289 121.51006711] ; [ 22.51006711 133.48993289],0
u1,1,0.90875,0.013137,[ 27 123] ; [ 31 146],[ 26.60550459 123.39449541] ; [ 31.39449541 145.60550459],0
a6,1,0.959662,0.002558,[104  45] ; [124  53],[104.20858896  44.79141104] ; [123.79141104  53.20858896],0
d5,1,0.972794,0.001163,[121  28] ; [144  33],[121.1196319  27.8803681] ; [143.8803681  33.1196319],0
r3,1,0.99166,0.000109,[144   6] ; [169   7],[144.01840491   5.98159509] ; [168.98159509   7.01840491],0
