Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,98.375697,[426 113] ; [ 83 119],[370.24426451 168.75573549] ; [138.75573549  63.24426451],1
a8,1,0.425018,0.636399,[ 75 411] ; [ 25 167],[ 71.68141593 414.31858407] ; [ 28.31858407 163.68141593],0
s4,1,0.485281,0.486971,[ 89 446] ; [ 38 164],[ 92.19131615 442.80868385] ; [ 34.80868385 167.19131615],0
n2,1,0.54549,0.36546,[75 26] ; [44 12],[76.55414013 24.44585987] ; [42.44585987 13.55414013],0
s6,1,0.569762,0.323081,[376 157] ; [134  62],[372.88065844 160.11934156] ; [137.11934156  58.88065844],0
d2,1,0.570188,0.322368,[256 284] ; [100 101],[259.43319838 280.56680162] ; [ 96.56680162 104.43319838],0
n6,1,0.571548,0.3201,[466  72] ; [170  30],[463.64227642  74.35772358] ; [172.35772358  27.64227642],0
p7,1,0.597172,0.279282,[353 176] ; [128  70],[349.99862448 179.00137552] ; [131.00137552  66.99862448],0
p5,1,0.604178,0.26874,[ 65 473] ; [ 27 173],[ 67.06775068 470.93224932] ; [ 24.93224932 175.06775068],0
u4,1,0.660167,0.193321,[ 13 529] ; [  6 196],[ 13.84139785 528.15860215] ; [  5.15860215 196.84139785],0
s3,1,0.673623,0.177393,[307 229] ; [118  82],[309.51086957 226.48913043] ; [115.48913043  84.51086957],0
p3,1,0.704684,0.143645,[283 258] ; [102  99],[280.70754717 260.29245283] ; [104.29245283  96.70754717],0
n3,1,0.706695,0.1416,[78 23] ; [41 14],[77.04487179 23.95512821] ; [41.95512821 13.04487179],0
p6,1,0.789946,0.070959,[210 328] ; [ 74 121],[208.44747613 329.55252387] ; [ 75.55252387 119.44747613],0
p11,1,0.849031,0.036235,[453  89] ; [170  32],[453.85215054  88.14784946] ; [169.14784946  32.85215054],0
v1,1,0.853164,0.034256,[296 229] ; [109  87],[294.90291262 230.09708738] ; [110.09708738  85.90291262],0
s1,1,0.890075,0.019102,[ 15 519] ; [  6 194],[ 15.27792916 518.72207084] ; [  5.72207084 194.27792916],0
a4,1,0.901497,0.015319,[249 292] ; [ 94 108],[249.74831763 291.25168237] ; [ 93.25168237 108.74831763],0
v3,1,0.915507,0.011256,[208 309] ; [ 78 118],[207.38008415 309.61991585] ; [ 78.61991585 117.38008415],0
p1,1,0.973503,0.001103,[ 46 493] ; [ 17 184],[ 45.88783784 493.11216216] ; [ 17.11216216 183.88783784],0
