Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,1e-06,25.2,[63 27] ; [42 78],[45. 45.] ; [60. 60.],1
r3,1,0.355317,0.854379,[86  4] ; [110   9],[84.40191388  5.59808612] ; [111.59808612   7.40191388],0
n1,1,0.35843,0.843385,[6 6] ; [13 24],[4.65306122 7.34693878] ; [14.34693878 22.65306122],0
r2,1,0.377285,0.77953,[80  9] ; [111   8],[81.72596154  7.27403846] ; [109.27403846   9.72596154],0
p12,1,0.409763,0.679489,[ 6 83] ; [  5 115],[ 4.68421053 84.31578947] ; [  6.31578947 113.68421053],0
a3,1,0.443023,0.588441,[55 35] ; [67 53],[52.28571429 37.71428571] ; [69.71428571 50.28571429],0
a1,1,0.443574,0.58702,[ 2 88] ; [  5 116],[ 2.98578199 87.01421801] ; [  4.01421801 116.98578199],0
u3,1,0.457586,0.551794,[21 14] ; [27 25],[19.31034483 15.68965517] ; [28.68965517 23.31034483],0
a2,1,0.501433,0.451902,[ 4 86] ; [  8 113],[ 5.11848341 84.88151659] ; [  6.88151659 114.11848341],0
a4,1,0.509651,0.434783,[19 71] ; [30 90],[21. 69.] ; [28. 92.],0
a7,1,0.519992,0.413908,[52 37] ; [76 45],[54.24761905 34.75238095] ; [73.75238095 47.24761905],0
n3,1,0.580636,0.305207,[10  2] ; [28  9],[9.30612245 2.69387755] ; [28.69387755  8.30612245],0
v1,1,0.60938,0.261078,[45 44] ; [54 61],[43.19117647 45.80882353] ; [55.80882353 59.19117647],0
v4,1,0.6102,0.259884,[83  7] ; [110   7],[83.91304348  6.08695652] ; [109.08695652   7.91304348],0
d2,1,0.680138,0.16997,[13 77] ; [ 20 101],[14.07582938 75.92417062] ; [ 18.92417062 102.07582938],0
s2,1,0.694161,0.154617,[64 26] ; [83 38],[62.7014218 27.2985782] ; [84.2985782 36.7014218],0
d4,1,0.721516,0.127045,[55 35] ; [71 50],[53.74407583 36.25592417] ; [72.25592417 48.74407583],0
b4,1,0.759142,0.094008,[51 39] ; [66 55],[49.90521327 40.09478673] ; [67.09478673 53.90521327],0
p10,1,0.772614,0.083496,[67 22] ; [86 31],[66.10194175 22.89805825] ; [86.89805825 30.10194175],0
r1,1,0.819304,0.052185,[64 25] ; [88 32],[64.72727273 24.27272727] ; [87.27272727 32.72727273],0
n2,1,0.825283,0.048733,[11  1] ; [34  4],[10.8  1.2] ; [34.2  3.8],0
s4,1,0.864678,0.029044,[20 69] ; [26 95],[19.4952381 69.5047619] ; [26.5047619 94.4952381],0
b5,1,0.925893,0.008651,[50 40] ; [68 53],[50.33175355 39.66824645] ; [67.66824645 53.33175355],0
u2,1,0.934435,0.006768,[16 18] ; [24 28],[15.81395349 18.18604651] ; [24.18604651 27.81395349],0
r4,1,0.935262,0.006598,[77 13] ; [104  17],[77.20379147 12.79620853] ; [103.79620853  17.20379147],0
p9,1,0.989484,0.000174,[71 19] ; [93 25],[70.96153846 19.03846154] ; [93.03846154 24.96153846],0
u1,1,0.991183,0.000122,[ 3 87] ; [  4 117],[ 2.98578199 87.01421801] ; [  4.01421801 116.98578199],0
