Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p5,1,0.001729,9.817293,[ 9 82] ; [ 66 192],[19.55587393 71.44412607] ; [ 55.44412607 202.55587393],0
p1,1,0.113167,2.509423,[ 7 84] ; [ 36 220],[11.27665706 79.72334294] ; [ 31.72334294 224.27665706],0
b5,1,0.143589,2.139072,[55 36] ; [133 125],[49.02005731 41.97994269] ; [138.97994269 119.02005731],0
s4,1,0.145264,2.121292,[12 77] ; [ 52 202],[16.60641399 72.39358601] ; [ 47.39358601 206.60641399],0
a5,1,0.160506,1.969456,[67 24] ; [208  50],[71.70487106 19.29512894] ; [203.29512894  54.70487106],0
s3,1,0.191821,1.703572,[46 42] ; [153 101],[51.20467836 36.79532164] ; [147.79532164 106.20467836],0
d2,1,0.232981,1.422567,[41 50] ; [135 123],[45.89111748 45.10888252] ; [130.10888252 127.89111748],0
a3,1,0.266226,1.236088,[61 30] ; [188  69],[65.11206897 25.88793103] ; [183.88793103  73.11206897],0
r4,1,0.281456,1.160047,[81 10] ; [239  19],[83.43839542  7.56160458] ; [236.56160458  21.43839542],0
n5,1,0.287703,1.130341,[72 18] ; [218  39],[75.21613833 14.78386167] ; [214.78386167  42.21613833],0
s8,1,0.300469,1.072112,[43 47] ; [138 117],[47.2173913 42.7826087] ; [133.7826087 121.2173913],0
d1,1,0.31607,1.005138,[55 36] ; [171  87],[58.92836676 32.07163324] ; [167.07163324  90.92836676],0
r1,1,0.359031,0.84128,[73 17] ; [219  38],[75.73487032 14.26512968] ; [216.26512968  40.73487032],0
v2,1,0.364171,0.823457,[50 38] ; [157  95],[53.57647059 34.42352941] ; [153.42352941  98.57647059],0
r3,1,0.387733,0.746038,[85  6] ; [244  11],[86.52890173  4.47109827] ; [242.47109827  12.52890173],0
p2,1,0.406542,0.688892,[83  8] ; [241  16],[84.72413793  6.27586207] ; [239.27586207  17.72413793],0
v3,1,0.515511,0.422866,[38 50] ; [118 132],[40.61538462 47.38461538] ; [115.38461538 134.61538462],0
s6,1,0.530519,0.393398,[62 25] ; [186  63],[64.21428571 22.78571429] ; [183.78571429  65.21428571],0
u4,1,0.541153,0.373406,[ 2 89] ; [  9 248],[ 2.87643678 88.12356322] ; [  8.12356322 248.87643678],0
s2,1,0.541165,0.373384,[45 43] ; [140 115],[47.46355685 40.53644315] ; [137.53644315 117.46355685],0
v4,1,0.557399,0.344228,[87  2] ; [247   9],[86.16231884  2.83768116] ; [247.83768116   8.16231884],0
a8,1,0.571046,0.320935,[10 75] ; [ 33 199],[11.52996845 73.47003155] ; [ 31.47003155 200.52996845],0
a1,1,0.62414,0.240092,[ 5 86] ; [ 18 240],[ 5.99713467 85.00286533] ; [ 17.00286533 240.99713467],0
b3,1,0.646751,0.210021,[20 37] ; [62 99],[21.44036697 35.55963303] ; [ 60.55963303 100.44036697],0
b2,1,0.646751,0.210021,[20 37] ; [62 99],[21.44036697 35.55963303] ; [ 60.55963303 100.44036697],0
b4,1,0.719015,0.129439,[52 39] ; [153 105],[53.45272206 37.54727794] ; [151.54727794 106.45272206],0
a7,1,0.738215,0.111701,[66 25] ; [191  66],[67.20402299 23.79597701] ; [189.79597701  67.20402299],0
v1,1,0.738582,0.111377,[55 34] ; [162  92],[56.30612245 32.69387755] ; [160.69387755  93.30612245],0
u2,1,0.787356,0.072763,[18 12] ; [44 26],[18.6 11.4] ; [43.4 26.6],0
d4,1,0.800022,0.06417,[78 13] ; [223  34],[78.70977011 12.29022989] ; [222.29022989  34.70977011],0
s1,1,0.800528,0.063839,[ 2 88] ; [  7 251],[ 2.32758621 87.67241379] ; [  6.67241379 251.32758621],0
u3,1,0.806831,0.059788,[18 11] ; [41 28],[17.45918367 11.54081633] ; [41.54081633 27.45918367],0
d5,1,0.852523,0.034559,[75 16] ; [214  43],[75.57183908 15.42816092] ; [213.42816092  43.57183908],0
n1,1,0.886567,0.020349,[ 7 10] ; [16 21],[7.24074074 9.75925926] ; [15.75925926 21.24074074],0
d3,1,0.896435,0.016943,[68 23] ; [191  67],[67.53295129 23.46704871] ; [191.46704871  66.53295129],0
p11,1,0.922771,0.009398,[79 12] ; [225  33],[79.26647564 11.73352436] ; [224.73352436  33.26647564],0
b1,1,0.953447,0.003408,[37 54] ; [104 154],[36.76504298 54.23495702] ; [104.23495702 153.76504298],0
r2,1,0.969944,0.00142,[84  5] ; [240  14],[84.06997085  4.93002915] ; [239.93002915  14.06997085],0
